page,table_id,col_1,col_2,col_3,col_4,col_5
5,1,"Valeur reliée
principalement
au produit",Système produit-service,,,"Valeur reliée
principalement
au service"
5,1,,"Produit Service moins
plus tangible tangible",,,
5,1,Produit,A : o rienté produit,B : o rienté usage,C : o rienté résultat,Service
5,1,,"1. S ervice lié
au produit
2. Service conseil","3. Location long
terme
4. Location et
partage
5. Mutualisation","6. Impartition
7. Paiement pour
utilisation
8. Basé sur
les résultats",
22,1,,Michelin Solutions,Système d’autopartage,,
22,1,"Stabilisation des
revenus","En 2014, Michelin Solutions
a plus de 500 contrats signés
représentant plus de 400 mil-
lions € de chiffre d’affaires.","Les abonnés paient un
compte mensuel pour leur
utilisation des automobiles
durant le mois.",,
22,1,"Réduction des
coûts de
production","En restant propriétaire des
pneus, Michelin favorise
l’écoconception, le recreu-
sage et le rechapage.","En achetant une flotte d’au-
tos d’une même marque et
d’un même modèle.",,
22,1,"Hausse de satisfac-
tion et fidélisation
de la clientèle","Après une période d’essai, les
clients satisfaits s’engagent
dans un contrat de 4 ans
durant lequel Michelin s’en-
gage à des économies de
carburant.","Programmes de fidélisation
de la clientèle avec des par-
tenariats offrant des rabais
sur le transport en commun
pour les membres du
système.",,
23,1,,Michelin Solutions,Système d’autopartage,,
23,1,"Investissement et
immobilisation du
coût d’achat","L’investissement pour une
flotte de 100 camions de 18
roues à 300 $/pneu repré-
sente 540 000 $.","Le coût d’achat d’un véhi-
cule représente plusieurs
milliers de dollars
immobilisés.",,
23,1,"Stabilisation et
réduction des coûts",Paiement au km parcouru.,"Paiement au km et au temps
d’usage.",,
23,1,"Tranquillité
d’esprit","Suivi sur la pression des
pneus, rapports mensuels de
consommation d’essence et
remplacement des pneus.","Éviter tous les frais liés à
l’entretien de la voiture
(changement d’huile, pneus,
réparation, frais d’immatri-
culation, assurances).",,
23,1,"Personnalisation
de l’offre","Diagnostic personnalisé pour
définir les pistes de réduc-
tions de consommation
d’essence.","Segmentation des offres
d’abonnements selon les
besoins des adhérents (régu-
lier, longue distance, type
de voiture).",,
24,1,,Michelin Solutions,Système d’autopartage,,
24,1,"Réduction de la
pollution : (res-
sources naturelles,
émissions de GES)","Écoconception, recreusage et
reconditionnement des pneus.
Réduction de la consomma-
tion d’essence grâce à
l’écoconduite.","Chaque véhicule en autopar-
tage se substitue à environ 8
véhicules privés et crée un
incitatif au transport actif
ou collectif.",,
24,1,"Prolongation de la
durée de vie utile","Allongement de la durée de
vie des pneus à l’aide d’une
écoconception favorisant le
recreusage et le rechapage.","En restant propriétaire des
voitures, les entreprises
d’autopartage en optimisent
la durée de vie.",,
24,1,"Effets rebonds
potentiels","Substitution du transport de
marchandise par train vers le
transport routier plus
économique.","Donne accès à une voiture
pour des nouveaux usagers.",,
