page,table_id,col_1,col_2,col_3
14,1,Moyenne,Minimum,Maximum
14,1,"40,9 %
82
2002
20981
0,778
41,01
24,0 %
23,7 %
10,8 %","25,0 %
14
1983
400
0,40
1","56,8 %
320
2012
54000
0,93
700"
16,1,"Nombre
d’offres
acceptées","Nombre
d’offres
refusées","Taux
d’acceptation"
16,1,"1
23
80
219
378
835
103
16
11
3
2","12
29
71
88
67
29
6
1
0
6
0","7,69 %
44,23 %
52,98 %
71,34 %
84,94 %
96,64 %
94,50 %
94,12 %
100,00 %
33,33 %
100,00 %"
16,1,1671,309,
18,1,"Estimation de
l’effet de taille","Erreur
standard",
18,1,"0,4104","0,005",
20,1,"Écart type
du biais",t,
20,1,"0,796","-0,738",
20,2,H,I²,
20,2,4,"93,7 %",
20,3,Estimation,Écart type,
20,3,"0,4137
-0,0560
0,0158
0,0000
0,0000
-0,0062","0,0125
0,0104
0,0126
0,0001
0,0000
0,0161",
