page,table_id,col_1,col_2,col_3,col_4
15,1,Observation,Moyenne,Écart-type,Min
15,1,"546
546
546","4,901099
6,910256
1,758242","3,004785
4,886717
2,218392","0
0
0"
16,1,"Nombre
de groupe","Communication
interpersonnelle",Recherche,
16,1,1,"3,002","4,882",
16,1,9,"2,975","4,8789",
26,1,Définition,,,
26,1,,,,
26,1,Tranche d’âge,,,
26,1,Carré de l’âge,,,
26,1,"Niveau d’éducation le
plus élevé",,,
26,1,"Tranche de revenu
mensuel personnel",,,
26,1,Langue parlée,,,
26,1,"Situation
matrimoniale",,,
26,1,"Jouer le rôle de
conseiller dans son
entourage pour les
usages d’Internet.",,,
26,1,"Nombre
d’associations hors
tontines (culturelles,
sportive) auxquels le
répondant appartient.",,,
26,1,"Type de formation à
l’école",,,
27,1,Définition,,,
27,1,"Formation en
informatique",,,
27,1,"Nombre tontines
auxquels le
répondant appartient.",,,
27,1,Type de quartier,,,
27,1,"Améliorer les
performances
académiques ou
professionnelles
grâce à Internet",,,
27,1,"Le coût d’Internet est
le principal frein à
son utilisation.",,,
27,1,,,,
27,1,,,,
27,1,,,,
28,1,Observation,Moyenne,Écart-type,Min
28,1,"546
546
546
546
546
546
546
546
546
546
546
546
546
546
546
546
546
546","0,6446886
2,432234
6,820513
4,17033
2,93956
1,478022
1,24359
1,434066
0,7142857
0,7179487
0,1904762
1,620879
1,300366
0,8534799
1,868132
4,901099
6,910256
1,758242","0,4790464
0,9520549
4,914015
1,54276
1,88232
0,6721679
0,5291547
0,4960881
1,007703
1,100929
0,3930368
0,4856132
0,4822347
0,3539512
0,699286
3,004785
4,886717
2,218392","0
1
1
1
1
0
0
1
0
0
0
1
1
0
1
0
0
0"
29,1,"Communication
interpersonnelle","Navigation
(ou recherche)",,
29,1,"0,760**
(0,34)","0,902*
(1,23)",,
29,2,"-0,382
(0,25)
0,187
(0,63)
-0,054
(0,12)
0,180**
(0,09)
0,103
(0,09)
0,312*
(0,18)
0,241
(0,22)
-0,131
(0,30)
0,476***
(0,13)
-0,179
(0,12)
-0,758***
(0,29)
1,177***
(0,25)","0,249
(0,446)
0,316
-1363
-0,188
(0,215)
0,555***
(0,180)
0,706***
(0,177)
1,455***
(0,564)
-2,666***
-1185
1326
-1580
-0,1280
(0,392)
0,128
(0,217)
-1,991*
-1090
3,758***
(0,509)",,
30,1,"Communication
interpersonnelle","Navigation
(ou recherche)",,
30,1,"0,602**
(0,24)
0,181
(0,33)
0,648***
(0,17)","-1,237***
(0,470)
0,043
(0,583)
0,474
(0,306)",,
30,2,,"-45,262
(21,994)
18,068
(11,667)
14,019**
(6,677)
86,325**
(37,200)
-22,594**
(9,742)
23,599*
(12,661)
-58,491*
(29,946)
-15,060*
(8,721)",,
30,3,"3599,254
21","26,679
19,86",,
30,4,"0,3492","0,1205",,
30,5,"0,0000","0,0000",,
31,1,"Communication
interpersonnelle",Navigation (ou recherche),,
31,1,"-39,038*** -16,234***
(4,43) (3,29)","-37,143*** -17,773***
(4,77) (3,16)",,
31,2,"-0,485 -0,325*
(0,34) (0,20)
-0,747 0,019
(0,68) (0,48)
0,118 -0,024
(0,12) (0,09)
0,474*** 0,19***
(0,13) (0,07)
0,166 0,110
(0,12) (0,07)
0,335 0,234
(0,25) (0,14)
-0,296 0,240
(0,31) (0,18)","0,258 0,164
(0,55) (0,30)
-0,736 0,132
(1,06) (0,74)
0,092 -0,065
(0,20) (0,14)
0,539** 0,340***
(0,22) (0,11)
0,802*** 0,451***
(0,21) (0,12)
0,254 0,236
(0,41) (0,21)
-0,898* -0,067
(0,51) (0,27)",,
32,1,"Communication
interpersonnelle",Navigation (ou recherche),,
32,1,"-0,295 -0,181
(0,31) (0,21)
0,57*** 0,415***
(0,20) (0,10)
-0,188 -0,136
(0,18) (0,09)
-1,10*** -0,59***
(0,41) (0,23)
0,78** 0,871***
(0,32) (0,20)
1,09*** 0,59***
(0,35) (0,20)
-0,012 0,217
(0,45) (0,25)
0,927*** 0,537***
(0,24) (0,14)","-0,992** -0,839**
(0,50) (0,34)
-0,151 0,352*
(0,31) (0,16)
0,424 0,105
(0,30) (0,15)
-0,690 -0,123
(0,68) (0,35)
2,834*** 2,356***
(0,53) (0,32)
0,049 -0,825***
(0,60) (0,32)
-0,255 0,168
(0,73) (0,39)
0,407 0,282
(0,40) (0,21)",,
33,1,"Communication
interpersonnelle",Navigation (ou recherche),,
33,2,"-22,243
(24,45)
-70,629
(47,10)
12,137
(8,37)
27,95***
(9,91)
8,301
(8,58)
14,253
(16,83)
-28,766
(22,75)
-17,097
(18,53)","12,229
(40,11)
-55,195
(73,16)
9,148
(13,68)
25,788
(17,19)
37,39***
(14,23)
3,804
(27,49)
-58,553
(37,06)
-38,494
(31,36)",,
34,1,"Communication
interpersonnelle",Navigation (ou recherche),,
34,1,"27,179*
(15,98)
-6,442
(12,46)
-59,564*
(31,74)
15,610
(23,28)
54,855**
(27,75)
-4,243
(32,53)
47,11**
(18,54)","-27,384
(24,60)
28,702
(21,50)
-52,229
(51,94)
90,773**
(37,36)
52,825
(52,97)
-5,442
(53,19)
21,401
(30,85)",,
35,1,"Communication
interpersonnelle",Navigation (ou recherche),,
35,2,"4,294 17,675
4,63 11,51
(seuil de 30 %) (seuil de 10 %)","3,781 16,850
4,63 11,51
(seuil de 30 %) (seuil de 10 %)",,
35,3,"0,6189 0,0361","0,0718 0,0008",,
35,4,"0,0000 0,0000","0,0000 0,0000",,
