page,table_id,col_1
8,1,
8,1,
8,1,
8,1,
8,1,
8,1,
9,1,
9,1,
9,1,
9,1,
9,1,
10,1,
10,1,
10,1,
10,1,
10,1,
10,1,
11,1,"Ratio de
l’actif","Ratio du
surplus
primaire","Ratio du surplus
y compris
seigneuriage","Ratio de
la dette
titrisée"
11,1,"-3,4*","-3,36*","-2,9**","-3,62*"
11,1,"-3,42*","-3,37*","-3,61*","-3,61*"
11,1,"-5,57*","-5,59*","-5,60*","-4,18(b)"
12,1,
12,1,
12,1,
12,1,
12,1,
12,1,
12,1,
12,2,
12,2,
13,1,
13,1,
13,1,
13,1,
13,1,
13,1,
13,1,
14,1,
14,1,
15,1,
15,1,
16,1,
16,1,
16,2,
16,2,
17,1,Statistique F
17,1,"2,48349
5,90625"
18,1,
18,1,
18,1,
18,1,
18,1,
18,1,
18,1,
19,1,Statistique F
19,1,"1,50920"
19,1,"4,48205"
20,1,Statistique F
20,1,"0,44661"
20,1,"3,82324"
21,1,,,
21,1,,,
21,1,,,
21,1,,,
21,1,,,
21,1,,,
21,1,,,
21,1,,,
23,1,TMM
23,1,"5,26
5,17
5,27
5,17
5,19
4,7
4,25
4,25
4,33
4,18
4,24
4,22
4,29
4,18
4,07"
