page,table_id,col_1,col_2,col_3
9,1,"Test de
Student
Moyenne","Test du
ratio de la
variance
Écart type","Test de
Wilcoxon-
Mann-Whitney
Somme des rangs"
9,1,"6299,217","8179,766","5137,5(corrigé
pour prendre en
compte les ex"
9,1,"4033,917","3432,549","13198,5"
9,1,t,f,z
9,1,"1,8279*","5,6787***","2,211**"
9,1,"Welch
degré de
liberté","Degré de
liberté",Prob > |z|
9,1,"50,3454","45, 144","0,0271"
14,1,"Estimation 1
Coefficient","Estimation 2
Coefficient","Estimation 3
Coefficient"
14,1,"-0,27*
(0,15)","-0,37**
(0,16)","-0,23
(0,15)"
14,1,"0,23***
(0,04)","0,24***
(0,05)","0,23***
(0,05)"
14,1,"-0,62***
(0,20)","-0,66***
(0,21)","-0,60***
(0,22)"
14,1,"-0,45**
(0,18)","-0,47***
(0,18)","0,28*
(0,15)"
14,1,"0,00
(0,01)","0,00
(0,01)","0,00
(0,01)"
14,1,"0,12
(0,11)","-0,51**
(0,21)","0,12
(0,12)"
14,1,"-0,03
(0,21)","0,04
(0,22)","-0,01
(0,21)"
14,1,"0,12
(0,23)","0,11
(0,23)","0,09
(0,22)"
14,1,"0,37
(0,27)","0,32
(0,25)","0,35
(0,24)"
14,1,"0,35
(0,26)","0,37
(0,25)","0,33
(0,24)"
14,1,"0,50*
(0,26)","0,48*
(0,25)","0,48**
(0,24)"
14,1,"0,10
(0,17)","0,14
(0,16)","0,12
(0,16)"
14,1,"0,11
(0,14)","0,10
(0,13)","0,11
(0,12)"
15,1,"Estimation 1
Coefficient","Estimation 2
Coefficient","Estimation 3
Coefficient"
15,1,"0,32***
(0,11)","0,33***
(0,11)","0,33***
(0,10)"
15,1,,"0,76***
(0,25)",
15,1,,,"-0,80***
(0,26)"
15,1,,,
15,1,"6,56***
(0,29)","6,61***
(0,28)","6,57***
(0,26)"
15,1,"191,00","191,00","191,00"
15,1,"0,62","0,64","0,63"
16,1,"Estimation 1
Coefficient","Estimation 2
Coefficient","Estimation 3
Coefficient"
16,1,"-0,28*
(0,14)","-0,38***
(0,15)","-0,25*
(0,15)"
16,1,"0,66***
(0,09)","0,68***
(0,09)","0,65***
(0,09)"
16,1,"-0,19
(0,21)","-0,20
(0,20)","0,38**
(0,17)"
16,1,"0,17
(0,12)","0,17
(0,11)","0,17
(0,12)"
16,1,"0,17
(0,11)","-0,43**
(0,20)","0,17
(0,12)"
16,1,"0,13
(0,24)","0,19
(0,24)","0,15
(0,21)"
16,1,"0,30**
(0,15)","0,31**
(0,14)","0,30**
(0,14)"
16,1,"-0,00
(0,15)","0,03
(0,15)","0,01
(0,15)"
16,1,"0,12
(0,13)","0,12
(0,12)","0,12
(0,13)"
16,1,"0,30***
(0,11)","0,31***
(0,11)","0,31***
(0,11)"
16,1,,"0,73***
(0,24)",
16,1,,,"-0,62**
(0,29)"
16,1,,,
16,1,"6,30***
(0,30)","6,34***
(0,31)","6,30***
(0,29)"
16,1,191,191,191
16,1,"0,60","0,61","0,60"
18,1,Non (T = 0),,
18,1,"Y|T = 0 non observé
1",,
18,1,"Y|T = 0 observé
0",,
21,1,Coefficient,,
21,1,"2,265324**",,
21,1,"1,027101",,
21,1,"1,086777",,
21,1,"0,0988738**",,
21,1,"-0,760914",,
21,1,"-1,111167",,
21,1,"-0,4292757",,
21,1,"1,235281",,
21,1,"-0,2125497",,
21,1,"0,2549237",,
21,1,"1,069752*",,
21,1,"-3,343448***",,
21,1,"-2,981276**",,
21,1,191,,
21,1,"0,2658",,
22,1,,,
22,1,,,
22,2,,,
22,2,,,
22,2,,,
22,3,,,
22,3,,,
22,4,,,
22,4,,,
22,5,,,
22,5,,,
