page,table_id,col_1,col_2,col_3
7,1,Moyenne,Écart-type,Maximum
7,1,"336,61
66,13","227,69
72,4","969
285"
7,1,"97,22
35,17
262,17","49,40
22,63
134,27","239
102
580"
9,1,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,
10,1,"Nombre
ISET","Efficience
moyenne",Minimum,Maximum
10,1,4,"0,8588","0,6583",1
10,1,4,"0,8443","0,3770",1
10,1,5,"0,8043","0,4011",1
10,1,4,"0,7817","0,5945","0,8718"
10,1,3,"0,7532","0,4396",1
10,1,3,"0,7019","0,6725","0,7587"
10,1,23,"0,7968","0,3770",1
11,1,Région,"CRS
ET","VRS
PTE",SE
11,1,"NE
SE
SE
NO
SE
NE
CO
NO
NE
CE
CE
CE
CO
NO
SO
SO
SO
NO
NE
CE
CO
NE
SE","1,0000
1,0000
1,0000
1,0000
1,0000
1,0000
1,0000
1,0000
0,9923
0,8718
0,8384
0,8219
0,8200
0,7769
0,7587
0,6745
0,6725
0,6583
0,6281
0,5945
0,4396
0,4011
0,3770","1,0000
1,0000
1,0000
1,0000
1,0000
1,0000
1,0000
1,0000
0,9945
0,8736
0,8478
0,8306
0,8559
0,7916
1,0000
0,6761
0,9185
0,8600
0,8663
0,7213
0,9330
0,4864
0,9489","1,0000
1,0000
1,0000
1,0000
1,0000
1,0000
1,0000
1,0000
0,9978
0,9980
0,9890
0,9895
0,9580
0,9814
0,7587
0,9976
0,7322
0,7655
0,7251
0,8243
0,4711
0,8246
0,3974"
11,1,,"0,7968","0,8958","0,888"
