page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7
4,1,"Banque
centrale",,"Banque
commerciale",,"Système
décentralisé",,
4,1,Actif,Passif,Actif,Passif,Actif,Passif,Actif
4,1,RF,"B
RO","RO
LSFD
B
LANF
B","RF
DANF
B
DSFD
B","DSFD
B
L
M","LSFD
B
D
M","B
DANF
B
D
M"
18,1,"Taux créditeur
bancaire (r )
B","Part de marché
des IMF (p)",,,,,
18,1,5,5,,,,,
18,1,5,10,,,,,
18,1,5,15,,,,,
18,1,5,20,,,,,
18,1,5,25,,,,,
18,1,5,40,,,,,
18,1,5,50,,,,,
18,1,5,60,,,,,
18,1,5,75,,,,,
18,1,5,80,,,,,
