page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7
8,1,Taille du marché et de niveau de vie,,,Infrastructures,,,
8,1,Population a,"PIB b (US $
billions)","PIB par
tête c","Routes
revêtues d","Lignes
téléphoniques","Utilisateurs
d’internet e","Taux
d’alphabétisation"
27,1,"51,43
0,12
0,76","26,06
0,57
1,06","21,66
0,89
1,37",,,,
27,2,"Taux
d’inflation","Volatilité
du TCR","Déficit/
PIB",,,,
27,2,"Moyen
Mixte
Très élevé","Moyen
Élevé
Très élevée","Mixte*
Très élevé
Moyen",,,,
27,2,,,,,,,
27,2,"Mixte
Très élevé
Mixte
Faible
Très élevé","Mixte
Élevé
Faible
Faible
Élevé","Excédent
Faible
Moyen
Moyen
Très élevé",,,,
28,1,,,,,,,
28,1,,,,,,,
28,1,,,,,,,
28,1,,,,,,,
28,2,,,,,,,
29,1,"Dette/
PIB","Déficit/
PIB","Taux
d’inflation","Volatilité
du TCR",Groupe,"Dette/
PIB","Déficit/
PIB","Taux
d’inflation"
29,1,"72,8
274,8
75,6","-6,512
-21,284
-5,222","5,806
25,524
32,058","6,199
14,435
15,685","1
2
3
4
5","63,65
88,0
108,9
90,62
223,6","1,535
-1,320
-5,765
-7,926
-26,720","7,770
18,370
6,763
2,307
10,080"
30,1,"Différentiel
de Taux
d’inflation","Volatilité
du TCR","Différentiel
de Déficit/
PIB",,,,
30,1,Faible,Faible,Faible,,,,
30,1,Très élevé,Élevée,Faible,,,,
30,1,Très élevé,Élevée,Faible,,,,
30,1,Très élevé,Élevée,Très élevé,,,,
30,1,Faible,Faible,Moyen,,,,
33,1,"VINF a
95-07","VP b
95-06","CORCW
95-06","NV
95-07","AGR c
95-07","OUV d
95-07","DIV
03-07","VTOT
95-07"
33,1,"1,74
1,46
1,83
2,35
2,45
2,85
3,45
2,16
5,59
2,43
13,92
4,68
5,79
6,46
2,80","1,46
3,96
2,35
1,40
4,10
8,87
2,08
2,32
0,91
1,19
38,59
2,60
12,55
2,18
1,32","-0,745
0,555
0,258
0,054
0,628
0,258
0,012
-0,519
0,036
0,856
-0,099
-0,365
0,511
-0,183
-0,005","541,81
370,88
809,66
239,31
673,76
313,24
178,31
397,17
304,90
458,76
367,06
158,67
644,93
215,76
1590,20","33,14
32,28
24,12
39,83
16,73
40,28
58,45
36,92
32,14
36,62
18,77
71,16
25,62
46,67
8,28","40,66
32,25
84,82
40,76
68,56
82,36
86,09
69,50
97,16
99,22
52,91
69,65
87,32
58,27
90,30","5,10
2,00
6,90
2,40
19,50
11,00
1,70
1,80
7,40
5,00
3,30
3,70
1,30
4,70
11,00","8,54
7,50
10,30
75,02
0,82
22,77
30,00
11,97
7,54
12,45
32,94
30,00
34,39
30,00
6,66"
34,1,"Volatilité
du produit",,,,,,
34,1,Faible,"(2,362)",Faible,,,,
34,1,Élevé,"(5,454)",Élevée,,,,
34,1,Faible,"(1,198)","Très
élevée",,,,
34,1,"Très
élevé","(38,597)",Élevée,,,,
35,1,Niveau de vie,,"Corrélation des
cycles",,,,
35,1,Faible,"(360,5)",Négative,"(-0,169)",Moyenne,,
35,1,Moyen,"(591,5)",Élevée,"(0,562)",Moyenne,,
35,1,Faible,"(184,2)",Négative,"(-0,179)",Faible,,
35,1,Élevé,"(1590,2)",Faible,"(-0,005)",Élevée,,
36,1,Ouverture,,Volatilité du TCER,,"Diversification à
l’exportation",,
36,1,Élevée,"(87,09)",Faible,"(2,11)",Faible,"(5,76)",Moyenne
36,1,Moyenne,"(50,74)",Élevée,"(5,19)",Faible,"(3,76)",Moyenne
36,1,Élevée,"(68,55)",Faible,"(0,93)",Élevée,"(19,5)",Faible
36,1,Faible,"(40,76)",Faible,"(0,96)",faible,"(2,40)",Élevée
40,1,Définition,Observation,,,,,
40,1,"Produit intérieur brut en dollars
américains constants (2000=100)",1980-2007,,,,,
40,1,"Produit intérieur brut en dollars
américains constants (2000=100)",1980-2007,,,,,
40,1,"Indice des prix à la consommation
mensuelle (2000=100)",1980-2007,,,,,
40,1,"Déflateur du PIB en dollar américain
(2000=100)",1980-2007,,,,,
40,1,"Taux de change vis-à-vis du dollar
américain",1980-2007,,,,,
