page,table_id,col_1
16,1,Oui – Mandataire
16,1,"Oui – Élu par 2/3
des porteurs (écrit
ou réunion)"
16,1,"À tout moment,
à la demande de :
– l’émetteur;
– du RPC (ou
équivalent);
– 10 % du principal
restant dû"
16,2,"Vote représentant :
– 75 % des porteurs
– procédure écrite"
16,2,"Vote représentant :
– 66 2/3 % des porteurs
– à l’écrit ou en réunion"
16,3,"– Cas de défaut
– RPC ou 25 % des
porteurs"
16,3,"– Le défaut est levé
– 66 2/3 % des porteurs"
17,1,"Uniquement par le RPC :
– À sa discrétion
– Sur instruction d’un
minimum de 25 %
des porteurs
– Dans les 90 jours,
au-delà les poursuites
individuelles sont
autorisées"
17,1,"Au minimum 50 %
des porteurs qui sont
concernés par le litige"
17,1,Oui
17,1,"Obligations exclues : les
obligations détenues ou
contrôlées, directement
ou indirectement, par ou
au nom de l’émetteur ou
une de ses institutions."
17,1,"– Au cas par cas
– Fournir des
informations si 10 %
des créanciers en font
la demande"
