page,table_id,col_1,col_2,col_3,col_4
20,2,"0,0121***
(0,00364)","0,0138***
(0,00427)","0,0108***
(0,00264)",
20,2,"-0,130*
(0,0740)",,,
20,2,"0,0181
(0,0118)","0,00335
(0,00759)","-0,00669
(0,00414)",
20,2,,,,
20,2,"-7,876
(11,98)","-10,91
(13,88)","-8,510
(5,977)",
21,1,"AD(1,0)","AD(1,0)",XTREGAR,
21,1,"-1,028
(0,699)","-1,527
(0,958)","-1,157*
(0,670)",
21,1,261,261,232,
21,1,"0,535","0,521","0,2407",
21,1,"4,89","5,31","8,88",
21,1,"-0,1539
(0,029)","-0,1306
(0,062)","-0,0459
(0,543)",
21,1,,,,
21,1,,,,
21,1,,,"0,6961",
21,1,,,"0,9701",
21,1,13107,13682,13538,
21,1,(45886),(73454),(33427),
21,1,18261,17250,19055,
21,1,(64263),(92420),(47900),
23,1,,,,
23,1,,,,
23,1,,,,
23,1,,,,
23,1,,,,
23,1,,,,
23,1,,,,
23,1,,,,
23,1,,,,
23,1,,,,
23,2,,,,
23,2,,,,
23,2,,,,
23,2,,,,
23,2,,,,
23,2,,,,
23,2,,,,
23,2,,,,
23,2,,,,
23,2,,,,
23,3,,,,
23,3,,,,
23,3,,,,
23,3,,,,
23,3,,,,
23,3,,,,
23,3,,,,
23,3,,,,
23,3,,,,
23,3,,,,
24,1,,"AD(1,0)","AD(1,0)",XTREGAR
24,2,Sommet,12004,11956,12897
24,2,E.T,(31970),(33954),(24648)
24,2,Creux,18341,18264,19773
24,2,E.T,(48407),(51255),(38572)
24,2,Sommet,10928,11004,11714
24,2,E.T,(22029),(24311),(16796)
24,2,Creux,19417,19215,20956
24,2,E.T,(38467),(41612),(30720)
24,2,Sommet,10100,10257,10805
24,2,E.T,(17286),(19428),(13084)
24,2,Creux,20246,19962,21865
24,2,E.T,(33725),(36729),(27007)
24,3,Sommet,—,—,—
24,3,E.T,—,—,—
24,3,Creux,—,—,—
24,3,E.T,—,—,—
24,3,Sommet,—,—,—
24,3,E.T,—,—,—
24,3,Creux,—,—,—
24,3,E.T,—,—,—
25,1,,"AD(1,0)","AD(1,0)",XTREGAR
25,1,Sommet,14501,14290,14680
25,1,E.T,(244756),(190742),(72094)
25,1,Creux,15643,15656,17507
25,1,E.T,(263726),(208343),(86722)
25,2,Sommet,13107,13317,14305
25,2,E.T,(45886),(59500),(48853)
25,2,Creux,18261,17614,18288
25,2,E.T,(64263),(78465),(63326)
25,2,Sommet,11753,13682,13538
25,2,E.T,(27255),(73454),(33427)
25,2,Creux,19614,17250,19055
25,2,E.T,(45632),(92420),(47900)
25,2,Sommet,—,14226,12862
25,2,E.T,—,(109687),(25571)
25,2,Creux,—,16705,19731
25,2,E.T,—,(128652),(40044)
27,1,,,,
27,1,,,,
