page,table_id,col_1
9,1,"Travailleurs autonomes
Caractéristiques"
9,1,"• Ont un travail autonome
(incorporé ou non)
• N’ont pas d’emploi salarié
• Actifs durant une partie de l’année
• Travailleurs familiaux exclus
• Travailleurs autonomes agricoles exclus"
9,1,"• Ont un travail autonome
(incorporé ou non)
• Obtiennent la majorité de leurs revenus
du travail autonome
• Actifs durant une partie de l’année
• Travailleurs familiaux exclus
• Travailleurs autonomes agricoles exclus"
11,1,,
11,1,,
11,1,,
11,1,,
11,1,,
12,1,cebéuQ,oiratnO,atreblA,.B-.C,abotinaM,nawehctaksaS,"-ellevuoN
essocÉ","-evueN-erreT
rodarbaL","-ecnirP-ud-elÎ
drauodÉ","kciwsnurB
-uaevuoN"
12,2,"12,1 %","14,6 %","13,4 %","19,5 %","10,1 %","14,2 %","10,4 %","10,5 %","14,2 %","10,5 %"
12,2,"10,8 %","11,7 %","11,3 %","14,6 %","8,8 %","11,4 %","8,0 %","11,1 %","9,7 %","8,8 %"
12,2,"10,7 %","13,8 %","14,3 %","18,5 %","11,5 %","12,2 %","12,0 %","10,7 %","13,1 %","10,1 %"
12,2,"12,7 %","14,2 %","13,9 %","19,5 %","9,8 %","12,4 %","11,4 %","9,3 %","11,7 %","9,4 %"
12,2,"12,6 %","14,6 %","15,7 %","19,6 %","10,3 %","12,0 %","11,4 %","9,4 %","14,1 %","9,8 %"
12,2,"11,7 %","13,7 %","14,0 %","18,0 %","10,4 %","12,7 %","10,7 %","10,3 %","12,4 %","9,9 %"
12,3,"5,9 %","8,5 %","6,2 %","13,6 %","6,7 %","8,5 %","6,8 %","8,7 %","9,5 %","6,7 %"
12,3,"5,9 %","8,4 %","5,5 %","9,9 %","7,1 %","6,6 %","5,3 %","8,7 %","7,5 %","5,9 %"
12,3,"6,3 %","9,1 %","8,4 %","11,5 %","7,5 %","7,3 %","6,8 %","5,9 %","9,5 %","6,3 %"
12,3,"8,1 %","9,1 %","6,3 %","12,0 %","5,9 %","8,2 %","7,2 %","4,7 %","7,5 %","5,6 %"
12,3,"8,1 %","9,3 %","6,0 %","10,6 %","5,8 %","5,4 %","9,4 %","2,7 %","4,9 %","5,4 %"
12,3,"6,8 %","8,8 %","6,8 %","11,3 %","6,6 %","7,2 %","6,6 %","6,4 %","8,4 %","6,1 %"
13,1,Canada
13,1,"1,7 %"
13,1,"1,8 %"
13,1,"4,0 %"
13,1,"7,2 %"
13,1,"9,2 %"
13,1,"9,6 %"
13,1,"10,5 %"
13,1,"12,0 %"
13,1,"15,8 %"
13,1,"21,1 %"
14,1,Femme
14,1,"9,0 %"
14,1,"10,2 %"
14,1,"10,7 %"
14,1,"13,9 %"
14,1,"7,4 %"
14,1,"10,6 %"
14,1,"8,5 %"
14,1,"6,5 %"
14,1,"8,0 %"
14,1,"7,3 %"
14,1,"10,2 %"
17,1,Québec,,
17,1,"Variable par
le type d’em-
ploi exclusif
(Écart-type)","Variable par
le revenu
(Écart-type)","Variable par
le type d’em-
ploi exclusif
(Écart-type)"
17,1,"0,021***
(0,006)","0,016**
(0,005)","0,037***
(0,003)"
17,1,"0,074***
(0,005)","0,034***
(0,004)","0,093***
(0,002)"
17,1,,,
17,1,"0,000
(0,006)","-0,0025
(0,005)","-0,000
(0,003)"
17,1,"0,03***
(0,005)","0,024***
(0,005)","0,009**
(0,003)"
17,1,,,
17,1,"0,084***
(0,005)","0,063***
(0,005)","0,079***
(0,002)"
18,1,Québec,,
18,1,"Variable par
le type d’em-
ploi exclusif
(Écart-type)","Variable par
le revenu
(Écart-type)","Variable par
le type d’em-
ploi exclusif
(Écart-type)"
18,1,"0,090***
(0,005)","0,060***
(0,005)","0,109***
(0,002)"
18,1,"0,107***
(0,006)","0,066***
(0,005)","0,128***
(0,003)"
18,1,"0,209***
(0,013)","0,127***
(0,014)","0,211***
(0,006)"
18,1,"-0,016
(0,006)","0,0330
(0,005)","0,009**
(0,003)"
18,1,"0,010***
(0,001)","0,0023
(0,001)","0,004***
(0,000)"
18,1,,,
18,1,"-0,142***
(0,013)","-0,119***
(0,016)","-0,139***
(0,006)"
18,1,"-0,261***
(0,012)","-0,248***
(0,016)","-0,230***
(0,006)"
18,1,"-0,323***
(0,012)","-0,300***
(0,016)","-0,290***
(0,006)"
18,1,"-0,333***
(0,012)","-0,295***
(0,016)","-0,310***
(0,006)"
18,1,,,
18,1,"-0,0059","-0,009*","0,005*"
18,1,"(0,0045)
0,125***","(0,0039)
0,038***","(0,002)
0,117***"
18,1,"(0,007)
-0,008***","(0,005)
-0,008***","(0,003)
-0,005***"
18,1,"(0,001)","(0,001)","(0,000)"
18,1,"53604
0,97","46275
0,91","225500
0,97"
