page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
8,1,,,,,,,,,
8,1,,,,,,,,,
8,1,,,,,,,,,
8,1,,,,,,,,,
8,1,,,,,,,,,
8,1,,,,,,,,,
8,1,,,,,,,,,
9,1,Monétaire,,Obligations 10 ans,,,,,,
9,1,"1900-
2006","1971-
2006","1900-
2006","1971-
2006","1900-
2006",,,,
9,1,"0,6 %
1,6 %
2,3 %
-2,9 %
-3,8 %
-2,0 %
0,7 %
1,0 %
1,9 %
0,8 %
1,0 %","2,5 %
2,7 %
3,5 %
1,2 %
-0,3 %
0,4 %
1,8 %
1,9 %
2,4 %
0,4 %
1,3 %","1,3 %
2,0 %
3,0 %
-0,3 %
-1,8 %
-1,3 %
1,3 %
1,3 %
2,4 %
2,1 %
1,9 %","2,8 %
4,5 %
7,0 %
6,6 %
2,8 %
3,9 %
3,9 %
3,9 %
4,2 %
2,8 %
4,0 %","7,8 %
6,3 %
5,4 %
3,7 %
2,6 %
4,5 %
5,4 %
5,6 %
7,9 %
5,3 %
6,6 %",,,,
16,1,Pays,"Taux de croissance
du PIB/hbt",,,,,,,
16,1,"USA
France
Allemagne
Royaume-Uni
Japon","1,74 %
1,75 %
1,76 %
1,86 %
2,34 %",,,,,,,
16,1,"Chine
Corée du Sud
Taiwan
Inde
Russie","7,60 %
5,38 %
5,41 %
3,34 %
1,54 %",,,,,,,
16,1,"Gabon
Liberia
Zaire (RDC)
Zambie
Zimbabwe","1,29 %
-1,90 %
-2,76 %
-0,69 %
-0,26 %",,,,,,,
19,1,Pays,"Volatilité taux
de croissance","Effet
précaution",,,,,,
19,1,"États-Unis
France
Allemagne
Royaume-Uni
Japon","2,11 %
1,57 %
1,83 %
2,18 %
2,61 %","-0,13 %
-0,07 %
-0,10 %
-0,14 %
-0,20 %",,,,,,
19,1,"Chine
Corée du Sud
Taiwan
Inde
Russie","3,53 %
3,40 %
5,29 %
3,03 %
5,59 %","-0,37 %
-0,35 %
-0,84 %
-0,28 %
-0,94 %",,,,,,
19,1,"Gabon
Liberia
Zaire (RDC)
Zambie
Zimbabwe","9,63 %
19,58 %
5,31 %
4,01 %
6,50 %","-2,78 %
-11,50 %
-0,85 %
-0,48 %
-1,27 %",,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
