page,table_id,col_1
4,1,
4,1,
4,1,
4,1,
4,1,
4,1,
4,1,
4,2,
4,2,
4,2,
4,2,
4,2,
4,2,
4,2,
4,2,
4,2,
4,2,
4,2,
4,2,
4,2,
4,2,
4,2,
4,3,
4,3,
4,3,
4,3,
4,3,
4,3,
4,3,
4,3,
4,3,
4,3,
6,1,"Poids
Moyenne
OCDE","Poids
minimum"
6,1,"32,5","17,0
République slovaque"
6,1,"20,5","8,1
États-Unis"
6,1,"27,4","0,0
Nouvelle-Zélande"
6,1,"5,4","1,1
Estonie"
6,1,"14,2","8,3
Suède"
7,1,"43,6","8,1","25,7",,"12,8",,"9,9"
7,1,"49,8 5,8",,"16,1","14,2",,"14,1",
7,2,"35,6","21,6","32,1",,,"8,3"
7,2,"54,2",,"10,3","16,1","18,0",
7,3,"45,6","14,","0 17,4",,"11,5",,"11,5"
7,3,"43,7","14,4","9,7","12,8",,"19,4",
7,4,"32,5","20,5",,"27,4",,,"5,4","14,2"
7,4,"36,7",,"13,5","20,2","7,1","20,5",,
9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,e
10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,
10,2,
10,3,
10,3,
14,1,Avant
14,1,Moyenne Écart-type Min Max
14,1,"0,468 0,004 0,465 0,476"
14,1,"0,469 0,018 0,433 0,489"
14,1,"0,473 0,013 0,449 0,494"
14,1,"0,414 0,027 0,365 0,446"
14,1,"0,527 0,010 0,511 0,541"
14,1,"0,456 0,014 0,442 0,474"
14,1,"0,408 0,014 0,373 0,417"
14,1,"0,475 0,022 0,450 0,504"
14,1,"0,404 0,143 0,000 0,483"
14,1,"0,483 0,008 0,473 0,493"
14,1,"0,476 0,028 0,429 0,504"
14,1,"0,467 0,028 0,426 0,503"
14,1,"0,475 0,020 0,452 0,497"
14,1,"0,376 0,008 0,365 0,383"
14,1,"0,526 0,034 0,504 0,591"
14,1,"0,494 0,014 0,472 0,513"
15,1,Avant
15,1,Moyenne Écart-type Min Max
15,1,"0,477 0,057 0,386 0,557"
15,1,"0,435 0,044 0,345 0,488"
15,1,"0,339 0,007 0,330 0,345"
15,1,"0,441 0,034 0,383 0,482"
15,1,"0,497 0,030 0,453 0,532"
15,1,"0,437 0,024 0,417 0,484"
15,1,"0,462 0,024 0,408 0,488"
15,1,"0,407 0,035 0,351 0,447"
15,1,"0,497 0,033 0,467 0,542"
15,1,"0,501 0,033 0,436 0,542"
15,1,"0,433 0,018 0,416 0,458"
15,1,"0,439 0,013 0,423 0,452"
15,1,"0,462 0,015 0,447 0,493"
15,1,"0,421 0,018 0,389 0,446"
15,1,"0,391 0,026 0,372 0,409"
15,1,"0,470 0,000 0,470 0,470"
15,1,"0,483 0,047 0,338 0,519"
15,1,"0,454 0,031 0,406 0,486"
17,1,FE1,FE2,FE3,FE4
17,1,"0,5010
11,61
0,0051
0,37
-0,0008
-0,32
0,0003
0,9
-0,0010
-1,47","0,5091
12,17
0,0061
0,47
0,0006
0,29
0,0004
1,29
-0,0007
-1,06","0,4999
11,36
0,0041
0,3
-0,0004
-0,18
0,0003
0,98
-0,0011
-1,69","0,4993
11,56
0,0043
0,32
-0,0007
-0,32
0,0003
0,92
-0,0010
-1,49"
17,2,"-0,2796
-4,58
-0,1043
306
0,963","-0,2754
-5,35
0,0076
0,04
0,0687
0,31
-0,0512
-0,17
-0,5
306
0,965","-0,2553
-4,78
-0,0089
-0,9
306
0,964","-0,2768
-5,07
-0,0028
-0,34
306
0,963"
20,1,IV1,IV2,IV3,IV4
20,1,"0,5084
17,23
-0,0012
-0,18
0,0008
0,88
0,0003
1,05
-0,0011
-2,88
-0,2489
-4,9","0,507
16,86
-0,0008
-0,12
0,0007
0,83
0,0004
1,12
-0,0011
-2,73
-0,2083
-4,35
0,196
1,5
0,241
1,54
-0,0447
-0,21
0,0656
0,47","0,5083
16,34
-0,0018
-0,25
0,0011
1,38
0,0004
1,35
-0,0012
-3,11
-0,2056
-4,95
-0,009
-1,32","0,5074
16,94
0,0011
0,18
0,0009
1,05
0,0003
0,96
-0,0011
-2,81
-0,2294
-6,64
0,0082
1,53"
21,1,IV1,IV2,IV3,IV4
21,1,"Revenu en
t-1, taux
d’emploi
286,38
[0,000]
0,113
[0,736]
0,863
[0,353]","Taxes en
t-1, taux
d’emploi
45,9 à
93,5
[0,000
- 0,000]
0,486
[0,486]
0,119 à
0,652
[0,419-
0,730]","Ratio en
t-1, taux
d’emploi
108,72
[0,000]
0,489
[0,485]
0,388
[0,533]","Ratio en
t-1, taux
d’emploi
81,85
[0,000]
0,000
[0,986]
0,005
[0,943]"
21,1,"237
0,809","237
0,81","237
0,81","237
0,814"
22,1,FE6,FE7,FE8,FE9,FE10,FE11
22,1,"0,4855
14,53
0,0018
0,12
0,0025
1,29
0,0003
0,85
0,0011
1,63
-0,4154
-3,49
288
0,972","0,4920
10,61
0,0065
0,37
0,0009
0,56
0,0003
0,84
-0,0002
-0,26
-0,5327
-3,73
256
0,968","0,4679
7,66
0,0017
0,11
0,0011
0,6
0,0006
1,56
-0,0004
-0,39
-0,4950
-1,34
256
0,964","0,4733
8,93
0,0002
0,02
-0,0001
-0,03
0,0006
1,37
-0,0004
-0,42
-0,5036
-1,29
256
0,964","0,4717
10,6
0,0213
1,8
-0,0011
-0,52
0,0008
2,36
0,0005
0,68
-1,7351
-3,39
256
0,969","0,5290
4,54
-0,0193
-0,7
-0,0012
-0,29
-0,0004
-0,25
0,0008
0,31
-1,9624
-4,29
255
0,495"
