page,table_id,col_1,col_2,col_3,col_4,col_5
9,1,Bleus,Blancs,Rouges,Verts,Jaunes
9,1,57 000,26 000,25 950,12 000,6 010
9,1,"57 000 A
28 500 B
19 000 E
14 250 F
11 400 J
9 500 K
8 143
6","26 000 C
13 000 G
8 667 L
6 500
3","25 950 D
12 975 H
8 650
2","12 000 I
6 000
1","6 010
0"
10,1,Bleus,Blancs,Rouges,Verts,Jaunes
10,1,57 000,26 000,25 950,12 000,6 010
10,1,"40 714 A
19 000 B
11 400 E
8 143 I
6 333 J
5 182
5","18 571 C
8 667 F
5 200 K
3 714
3","18 536 D
8 650 G
5 190 L
3 707
3","8 571 H
4 000
1","4 293
0"
10,2,Bleus,Blancs,Rouges,Verts,Jaunes
10,2,57 000,26 000,25 950,12 000,6 010
10,2,"57 000 A
19 000 D
11 400 F
8 143 I
6 333 J
5 182
5","26 000 B
8 667 G
5 200 L
3 714
3","25 950 C
8 650 H
5 190
2","12 000 E
4 000
1","6 010 K
2 000
1"
11,1,Voix Quotient Restes,,,,
11,1,"57 000 ÷ 10 834 = 5 260
26 000 ÷ 10 834 = 2 400 (×) a
25 950 ÷ 10 834 = 2 395
12 000 ÷ 10 834 = 1 110
6 010 ÷ 10 834 = 550 (×) a
3 050 ÷ 10 834 = 280
¯¯¯¯¯",,,,
11,1,10 (2) b,,,,
11,2,Voix Quotient Restes,,,,
11,2,"57 000 ÷ 10 001 = 5 699 (×) a
26 000 ÷ 10 001 = 2 600
25 950 ÷ 10 001 = 2 595
12 000 ÷ 10 001 = 1 200
6 010 ÷ 10 001 = 601 (×) a
3 050 ÷ 10 001 = 305
¯¯¯¯¯",,,,
11,2,10 (2) b,,,,
