page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
4,1,,"Nombre
de
séances","Nombre de
séances
simultanées","Nombre
de
commu-
nications","Grande
conférence
SCSE/
Angers","Conférences
ADSEQ-
SCSE","Président
SCSE",Affiliation,"Sec. trés.
SCSE"
4,1,Québec1,4,1,7,,,"James
Hodgson",U. Laval,"André
Morin"
4,1,Ottawa,3,1,6,,,"Roland
Parenteau",HEC,
4,1,Montréal,4,1,9,,,Yves Dubé,U. Laval,
4,1,Québec,4,1,9,,,Yves Dubé,U. Laval,
4,1,Ottawa,4,1,7,,,Pierre Harvey,HEC,
4,1,"Université
de Montréal",4,1,13,,,"Charles
Lemelin",U. Laval,
4,1,"Université
Laval,
Québec",4,1,12,,,"Charles
Lemelin",U. Laval,
4,1,Sherbrooke,3,1,6,,,"André
Raynauld",U. de Mtl,
4,1,Québec,5,1,9,,,"André
Raynauld",U. de Mtl,
5,1,,"Nombre
de
séances","Nombre de
séances
simultanées","Nombre
de
commu-
nications","Grande
conférence
SCSE/
Angers","Conférences
ADSEQ-
SCSE","Président
SCSE",Affiliation,"Sec. trés.
SCSE"
5,1,ND,4,1,15,,,"F.-Albert
Angers",HEC,
5,1,Québec,3,1,6,,,"F.-Albert
Angers",HEC,
5,1,Sherbrooke,4,1,7,,,"Marcel
Daneau",U. Laval,
5,1,Ottawa,4,1,11,,,Gilles Paquet,"U.
Carleton",
5,1,"Université
de Montréal",13,2,20,,,?,,
5,1,"Université
Laval,
Québec",ND,ND,17,,,"Rodrigue
Tremblay",U. de Mtl,
5,1,"Université
Moncton",11,2,18,,,"Claude
Masson",U. Laval,
5,1,"Université
de
Sherbrooke",9,"4 (jr 1); 1
(jr 2)",22,"Samir
Amin + W.
Leontieff",,"Maurice
Bouchard",U. de Mtl,"Gilles
Desrochers"
6,1,,"Nombre
de
séances","Nombre de
séances
simultanées","Nombre
de
commu-
nications","Grande
conférence
SCSE/
Angers","Conférences
ADSEQ-
SCSE","Président
SCSE",Affiliation,"Sec. trés.
SCSE"
6,1,"UQTR,
Trois-
Rivières",5,en partie 2,16,,,"Marcel
Dagenais",U. de Mtl,
6,1,"année
manquante",,,,,,Roger Dehem,U. Laval,
6,1,"Université
de Montréal",12,2,43,,,"Gérald
Marion",U. de Mtl,"François
Vaillancourt"
6,1,"Université
Laval,
Québec",20,entre 3 et 5,58,,,"Bernard
Bonin",ENAP,
6,1,"Université
Sherbrooke",11,2 ou 3,45,,,"Robert
Lacroix",U. de Mtl,
6,1,UQAM,18,3 ou 4,53,,,"Gilles
Beausoleil",OPDQ,
6,1,UQTR,15,entre 2 et 4,33,,,"Gérard
Gaudet",U. Laval,"Daniel
Racette"
6,1,"Université
Laval,
Québec",17,entre 3 et 5,50,,,"Lise
Salvas-
Bronsard.",U. de Mtl,
7,1,,"Nombre
de
séances","Nombre de
séances
simultanées","Nombre
de
commu-
nications","Grande
conférence
SCSE/
Angers","Conférences
ADSEQ-
SCSE","Président
SCSE",Affiliation,"Sec. trés.
SCSE"
7,1,"UQAC,
Chicoutimi",13,3,38,"Jean-
Michel
Grandmont",,"Louise
Séguin-
Dulude",HEC,
7,1,Montréal,16,2,47,"Guy
Laroque",,"Michel
Truchon",U. Laval,
7,1,"Université
de
Sherbrooke",12,2,35,"Costas
Azariadis",,"Claude
Montmarquette",U. de Mtl,"Michel
Patry"
7,1,"Manoir du
Lac Delage",20,2 ou 3,57,"John
Helliwell",,Pierre Fortin,UQAM,
7,1,"Auberge du
Mont-
Gabriel",19,2 ou 3,58,"Olivier
Blanchard/
Maurice
Allais2",,"Philippe
Crabbé","U.
d’Ottawa",
7,1,"Auberge
Gray Rocks",16,2,46,Jean Tirole,,"John
McCallum","U.
McGill",
7,1,"Université
Laval,
Québec",17,2 ou 3,52,"Claude
Henry",,"Jean-Thomas
Bernard",U. Laval,"Robert
Gagné"
8,1,,"Nombre
de
séances","Nombre de
séances
simultanées","Nombre
de
commu-
nications","Grande
conférence
SCSE/
Angers","Conférences
ADSEQ-
SCSE","Président
SCSE",Affiliation,"Sec. trés.
SCSE"
8,1,"Auberge
Chéribourg,
Orford",17,2 ou 3,53,"Roger
Guesnerie",,"Camille
Bronsard",U. de Mtl,
8,1,UQAM,22,2 ou 3,66,"François
Bourguignon",,"Pierre
Lasserre",UQAM,
8,1,"Université
d’Ottawa",21,2 ou 3,68,"Marc
Nerlove",,"Denyse
Dagenais",HEC,"Martin
Coiteux"
8,1,"Manoir du
Lac Delage",21,"3; certai-
nes 1",56,Paul Romer,,Marcel Boyer,U. de Mtl,
8,1,"Manoir
St-Sauveur",18,2 ou 3,56,"Pierre
Pestiau",,"Bernard
Fortin",U. Laval,
8,1,"HEC
Montréal",31,5 ou 6,92,"Jean-
Jacques
Laffont","Peter
Howitt","Georges
Dionne",HEC,
8,1,"Hôtel
Radisson,
Québec",26,3 ou 4,83,"Jean-Pierre
Danthine","Gilles
Saint-Paul",Steve Ambler,UQAM,"Denis
Bélanger"
9,1,,"Nombre
de
séances","Nombre de
séances
simultanées","Nombre
de
commu-
nications","Grande
conférence
SCSE/
Angers","Conférences
ADSEQ-
SCSE","Président
SCSE",Affiliation,"Sec. trés.
SCSE"
