directory,metric,authors,bibliographies,content_tables,figures,id,keywords,pagination,rights,section_titles,tables,themes
ae49,soft_precision,0.0,0.0,,0.013519999999999999,0.0,,0.0,0.0,0.23314141414141418,0.0643529411764706,0.0
ae49,soft_recall,0.0,0.0,,0.0087,0.0,,0.0,0.0,0.35578787878787876,0.07570588235294118,0.0
ae49,soft_avg_similarity,0.0,0.0,,0.024080000000000004,0.0,,0.0,0.0,0.3354040404040403,0.0,0.0
ae49,levenshtein_precision,0.0,0.0,,0.013519999999999999,0.0,,0.0,0.0,0.23348484848484855,0.06680882352941175,0.0
ae49,levenshtein_recall,0.0,0.0,,0.0087,0.0,,0.0,0.0,0.35624242424242425,0.0786470588235294,0.0
ae49,levenshtein_avg_similarity,0.0,0.0,,0.024080000000000004,0.0,,0.0,0.0,0.3358585858585858,0.0,0.0
cqd27,soft_precision,0.0,0.0,,0.36512,0.0,0.0,0.0,0.0,0.32008,0.18188505747126438,0.0
cqd27,soft_recall,0.0,0.0,,0.4085466666666667,0.0,0.0,0.0,0.0,0.5167300000000002,0.23639080459770115,0.0
cqd27,soft_avg_similarity,0.0,0.0,,0.3024666666666666,0.0,0.0,0.0,0.0,0.49067,0.0,0.0
cqd27,levenshtein_precision,0.0,0.0,,0.3696933333333333,0.0,0.0,0.0,0.0,0.32008,0.19311494252873565,0.0
cqd27,levenshtein_recall,0.0,0.0,,0.4138800000000001,0.0,0.0,0.0,0.0,0.5167300000000002,0.2540804597701149,0.0
cqd27,levenshtein_avg_similarity,0.0,0.0,,0.3022133333333333,0.0,0.0,0.0,0.0,0.49067,0.0,0.0
haf18,soft_precision,0.0,,,0.1857837837837838,0.0,,0.0,0.0,0.3752187500000001,0.056826086956521735,0.0
haf18,soft_recall,0.0,,,0.20794594594594595,0.0,,0.0,0.0,0.4622916666666667,0.057086956521739125,0.0
haf18,soft_avg_similarity,0.0,,,0.1252702702702703,0.0,,0.0,0.0,0.43017708333333315,0.0,0.0
haf18,levenshtein_precision,0.0,,,0.1857837837837838,0.0,,0.0,0.0,0.3761666666666667,0.056826086956521735,0.0
haf18,levenshtein_recall,0.0,,,0.20794594594594595,0.0,,0.0,0.0,0.4633333333333334,0.057086956521739125,0.0
haf18,levenshtein_avg_similarity,0.0,,,0.1252972972972973,0.0,,0.0,0.0,0.43115624999999985,0.0,0.0
2cols,soft_precision,0.0,0.0,0.3036818181818182,0.034589743589743586,0.0,0.0,0.0,0.0,0.31911363636363643,0.054156249999999996,0.0
2cols,soft_recall,0.0,0.0,0.3145,0.03915384615384615,0.0,0.0,0.0,0.0,0.43756818181818175,0.05596875,0.0
2cols,soft_avg_similarity,0.0,0.0,0.29577272727272724,0.0898974358974359,0.0,0.0,0.0,0.0,0.40827272727272723,0.03121875,0.0
2cols,levenshtein_precision,0.0,0.0,0.7089545454545455,0.05058974358974359,0.0,0.0,0.0,0.0,0.31911363636363643,0.054156249999999996,0.0
2cols,levenshtein_recall,0.0,0.0,0.7279999999999999,0.056948717948717954,0.0,0.0,0.0,0.0,0.43756818181818175,0.05596875,0.0
2cols,levenshtein_avg_similarity,0.0,0.0,0.6672272727272728,0.10617948717948718,0.0,0.0,0.0,0.0,0.40827272727272723,0.0329375,0.0
