page,table_id,col_1
6,1,
6,1,
6,1,",euqimonocé
snossiop
esirtîam ud ruop sed eriatuanummoC arutaN(
stnemeganéma ne noitarobalé’l
ecruosser egarvuo’d BOCOD
,xueilim
,segarrab ,elaivufl eihtuA’l tnemeppolevéd
,xuae al euqimanyd ruop esirtîam sed
te sed ed noitarobalé’l têrétnI’d ed
sed sruetargim selocicsip noitcetorp egarvuo’d eéllav emsiruot
étilauq ,EGAS ,)0002
,uae setis al
ed"
6,1,"al sed te
ed etneréhoc sec sed ecneréhoc
te
eérbiliuqé snad
emsiruot noitca’l
euqitilop ed ,noitamina’d liesnoc al
noitseg ud larénég retilicaf rerussa
ed
tnemeppolevéd
al uae enu elôr ,noitanidrooc te noitamrofni’d ruop ne
à ne riovuomorp nu ,sétivitcelloc
reubirtnoc ecruosser seniamod éticacfife’l
remussa
srisiol
ed
- - -"
6,1,"²mk
503
1
:
3 noitnevretni’d
)3991( : séiralas
EIHTUA ed
eriotirreT
erbmoN"
7,1,"segaité ecruosser )…noitapicitna
sed
al
latnemetrapédretni ed
noitseg drob ,tatsnoc( segaité’d
ed
ed uaelbat uae neituos
nalp
ne
- - -"
7,1,"uae’l
ed
elcyc
ud
noitseg"
7,1,"evuefl
snossiop ,segarrab
ud
euqitsiruot
,snoitadnoni ,eigolocé
,sruetargim noitasirolav
,segaité"
7,1,"uae
ne
secruosser
laivufl
sed nissab
eérgétni
ud
ellehcé’l
noitseg
à"
7,1,"²mk
005
01
)7791( 5,6 :
noitnevretni’d
:
séiralas
ETNERAHC
ed
eriotirreT
erbmoN"
7,2,"eriotavresbo
ecnaruD
ecalp
0002
,ecnaruD
ne arutaN
esim
- -"
7,2,"seuqiluardyh
segarvuo
)seugid
sed
noitseg ,sliues("
7,2,"segasu
,sedilos
sed
stropsnart
noitseg
,lerutan
,seurc
sed eniomirtap
noitseg"
7,2,"snoitadnoni
sel
ertnoc
noitcetorp"
7,2,"²mk
052
41
)6791( 11 : noitnevretni’d
:
séiralas
ECNARUD
ed
eriotirreT
erbmoN"
7,3,"ud
neitertne’d
ruetcerid
segreb
ennoraG
sed
améhcs
te nalp
til
- -"
7,3,"segaité
sed
noitseg"
7,3,"eniomirtap
senoz
,sruetargim ,segasyap ,segreb
,stnattofl
sed
,elaivufl
snossiop te stehcéd
til
ud
euqimanyd
neitertne ,sedimuh
,segaité"
7,3,"ruop
siannorag
elanoitan
nissab
étéicos
ud
enu’d tnemeganéma’l
noitaérc"
7,3,"²mk
000
65
)3891( 21 : noitnevretni’d
:
séiralas
ENNORAG
ed
eriotirreT
erbmoN"
8,1,"-oripsa
rap
elaivufl
ecnaR
al
ed
egagard
egaruc"
8,1,"edragevuas
te
egagard
eniomirtap
,noitaruatser
ud"
8,1,"eiov
te
tnemeganéma al
ed
euqitsiruot
,noitseg
tnemeppolevéd
,neitertne elbagivan"
8,1,",ecnaR
euqitsiruot
te
ellI’d
lanac tnemeppolevéd
ud
noitseg"
8,1,"²mk
)0991(
238
ECNAR 12 : noitnevretni’d
:
séiralas
TE ed
eriotirreT
erbmoN
ELLI"
8,2,"ed
étilibarénluv sétivitca te te
ehcrehcer
SCP
enneirégil
sed noitarobalé’l
snoitadnoni al
al ed
ed seuqimonocé noitalumits noitavonni’l
P3 noitcudér MIRCID
à
eduté iuppa
xua
- - - -"
8,2,"xua
étilibarénluv
segarvuo
EGAS
sed
al
ed ,snoitadnoni noitatiolpxe ,seuqiluardyh
noitcudér xua
iuppa
- - -"
8,2,"ecruosser
/
,tnemennorivne
seénnod
sed al
eniomirtap
ed
noitnevérp(
noitseg
/
ehcrehcer
te ,snoitamrofni ud
euqiluardyh snoitadnoni noitasirolav
,)uae
ne"
8,2,"erioL
al
ed
euqiluardyh
tnemeganéma"
8,2,"²mk
061
56
83 : noitnevretni’d
:
séiralas
)3891(
ed
ERIOL eriotirreT
erbmoN"
8,3,"seurc
sed
noitasilédom"
8,3,"snoitadnoni
sed
noitnevérp"
8,3,",slerutan
xueilim
til
,snoitadnoni ud
neitertne"
8,3,"snoitadnoni
sel
ertnoc
noitcetorp"
