page,table_id,col_1,col_2,col_3,col_4
6,1,Paramètres analysés,Charge d’eau appliquée,,
6,1,,50 mL,100 mL,250 mL
6,1,pH,"7,92","8,02","7,43"
6,1,Conductivité électrique (µS/cm),6650,6600,6320
6,1,"NH+ (mg/L)
4",48,"43,75",50
6,1,Coliformes thermotolérants (UFC/100 mL),19x106,25x106,33x106
6,1,Streptocoques fécaux (UFC/100 mL),4x106,21x106,18x106
6,2,,,,
6,2,,,,
6,3,,,,
6,3,,,,
6,4,,,,
6,4,,,,
7,1,Paramètres analysés,Charge d’eau appliquée,,
7,1,,50 mL,100 mL,250 mL
7,1,pH,"7,32 (0,09)","6,10 (0,06)","5,70 (0,36)"
7,1,Conductivité électrique (µS/cm),"99,83 (11,53)","112 (49,67)","79,83 (7,03)"
7,1,"NH+ (mg/L)
4","0,84 (0,12)","1,06 (0,26)","0,99 (0,09)"
7,1,"Coliformes thermotolérants
(UFC/100 mL)",7 (4),3294 (2019),5884 (3819)
7,1,Streptocoques fécaux (UFC/100 mL),4 (3),574 (448),145 (183)
7,2,"Horizons de la
colonne de sol",Paramètres analysés,,,,,
7,2,,pH,CRE* (%),Fe (mg/g),C (mg/g),N (mg/g),P (mg/g)
7,2,"H
S","4,43","43,62","0,75","4,10","0,10","26,10"
7,2,"H
I","4,56","43,64","0,70","4,30","0,20","26,10"
