page,table_id,col_1,col_2,col_3,col_4,col_5,col_6
7,1,,Inuit (identité unique),,Autres identités,,"Population
totale"
7,1,,Nombre,%,Nombre,%,
7,1,Nunatsiavut (Lab.),2 309,"68,1",1 080,"31,9",3 389
7,1,Nunavik (Qc),7 628,"88,0",1 069,"12,0",8 697
7,1,Nunavut,20 489,"83,1",4 176,"16,9",24 665
7,1,Inuvialuit (T.N.-O.),3 199,"55,5",2 561,"44,5",5 760
7,1,Total,33 625,"79,1",8 886,"20,9",42 511
8,1,,Inuit Nunangat,Nunatsiavut,Nunavik,Nunavut,Inuvialuit
8,1,De 1989 à 1993,"67,8","66,7","66,5","66,9","73,1"
8,1,De 1994 à 1998,"67,7","65,9","64,4","69,4","69,3"
8,1,De 1999 à 2003,"66,9","65,3","62,8","68,2","70,2"
9,1,Caractéristiques,Canada,"Inuit
Nunangat","Population d’identité
inuite dans ces régions
(réponses unique
ou multiple)",,
9,1,% âgés de moins de 15 ans,"19,4","36,6","40,3",,
9,1,"% ayant fait des études secondaires
partielles","31,1","51,4","62,0",,
9,1,"% ayant fait des études universitaires
partielles","25,8","12,2","3,2",,
9,1,% sans emploi,"7,3","16,9","22,4",,
9,1,Taille moyenne du ménage,"3,6","5,1","5,4",,
9,1,"Revenu moyen par personne (arrondi
au millier près)",23 000 $,15 000 $,11 000 $,,
11,1,,,Taux de suicide pour 100 000 habitants,,,
11,1,,,TMNA,Intervalle de confiance à 95 %,,
11,1,,,,Lim. inf.,Lim. sup.,
11,1,Nunatsiavut (Lab.),"1989-1993
1994-1998
1999-2003","44,81
87,5
147,71","16,9
41,7
89,4","72,6
133,4
206,0",
11,1,Nunavik (Qc),"1989-1993
1994-1998
1999-2003","79,03
76,02
159,82,3","52,2
50,8
125,0","105,7
101,2
194,6",
11,1,Nunavut,"1989-1993
1994-1998
1999-2003","64,24
80,7
95,64","49,3
64,9
78,9","79,1
96,5
112,3",
11,1,Région des Inuvialuit (T.N.-O.),"1989-1993
1994-1998
1999-2003","21,76
26,85
69,95,6","5,4
8,1
38,5","38,0
45,5
101,2",
11,1,"Inuit Nunangat
(toutes les régions)","1989-1993
1994-1998
1999-2003","59,68
73,27
112,37,8","49,0
61,7
98,4","70,1
84,6
126,1",
11,1,Canada (population totale),"1989-1993
1994-1998
1999-2003","10,6
10,7
9,8","s. o.
s. o.
s. o.","s. o.
s. o.
s. o.",
12,1,,Moins de 30 ans,,,30 ans et plus,,
12,1,,TMNA,"Intervalle de confiance
à 95 %",,TMNA,"Intervalle de confiance
à 95 %",
12,1,,,Lim. inf.,Lim. sup.,,Lim. inf.,Lim. sup.
12,1,Canada,,,,,,
12,1,Total,"5,5","5,4","5,7","16,6","16,3","16,9"
12,1,Hommes,"8,6","8,3","8,9","25,9","25,3","26,4"
12,1,Femmes,"2,3","2,2","2,5","7,4","7,1","7,7"
12,1,Inuit Nunangat,,,,,,
12,1,Total,"141,0","122,9","161,8","65,1","50,2","84,4"
12,1,Hommes,"223,5","192,0","260,2","108,9","82,5","143,8"
12,1,Femmes,"53,0","38,4","73,2","16,7","8,0","35,1"
12,1,Région des Inuvialuit,,,,,,
12,1,Total,"59,2","30,8","113,8","94,2","52,8","167,8"
12,1,Hommes,"120,8","62,8","232,5","188,1","106,2","333,2"
12,1,Femmes,x,x,x,x,x,x
12,1,Nunavut,,,,,,
12,1,Total,"118,0","97,2","143,2","48,0","32,5","71,1"
12,1,Hommes,"196,5","159,4","242,1","76,4","49,8","117,2"
12,1,Femmes,"33,6","19,9","56,8",x,x,x
12,1,Nunavik,,,,,,
12,1,Total,"233,7","186,1","293,5","70,7","40,1","124,6"
12,1,Hommes,"366,2","284,3","471,7","111,8","60,0","208,3"
12,1,Femmes,"91,7","54,3","154,9",x,x,x
12,1,Nunatsiavut,,,,,,
12,1,Total,"177,8","111,9","282,7","132,1","64,2","272,0"
12,1,Hommes,"252,6","146,6","435,4","173,6","76,8","392,0"
12,1,Femmes,"97,6","40,5","235,4",x,x,x
18,1,"Caractéristiques
des collectivités",,"Taux de suicide
pour 100 000
habitants","Intervalle
de confiance
à 95%",,"Statistiquement
significatif ?"
18,1,,,,"Limite
infér.","Limite
supér.",
18,1,"Taux de fréquentation
scolaire des jeunes",Élevé,"50,9","38,4","63,3",Oui
18,1,,Faible,"92,8","84,2","101,3",
18,1,Ratio emploi-population,Élevé,"52,1","43,7","60,5",Oui
18,1,,Faible,"86,8","78,0","95,7",
18,1,"Satisfaction à l’égard
des possibilités d’emploi",Élevée,"69,8","57,7","81,8",Non
18,1,,Faible,"70,1","63,1","77,2",
19,1,"Caractéristiques
des collectivités",,"Taux de suicide
pour 100 000
habitants","Intervalle
de confiance
à 95%",,"Statistiquement
significatif ?"
19,1,,,,"Limite
infér.","Limite
supér.",
19,1,"% parlant une langue
autochtone à la maison",Élevé,"95,8","84,2","107,4",Oui
19,1,,Faible,"49,0","42,9","55,0",
19,1,"% de ménages comp-
tant un exploitant",Élevé,"99,6","85,3","113,8",Oui
19,1,,Faible,"55,4","49,4","61,4",
19,1,"% ayant passé un mois
dans la nature",Élevée,"62,2","42,8","81,6",Oui
19,1,,Faible,"87,3","79,0","95,6",
19,1,"% de ménages où la
moitié de la viande
consommée provient de
la chasse sur le territoire","Élevé
Faible","68,3
64,6","58,9
57,5","77,8
71,7",Non
21,1,"Caractéristiques
des collectivités",,"Taux de suicide
pour 100 000
habitants","Intervalle
de confiance
à 95%",,"Statistiquement
significatif ?"
21,1,,,,"Limite
infér.","Limite
supér.",
21,1,"% estimant qu’il y a
un problème de
consommation excessive
d’alcool au sein de la
collectivité","Élevé
Faible","55,3
81,5","48,6
71,4","61,9
91,6",Oui
21,1,"% estimant qu’il y a
un problème de
consommation abusive
de drogues au sein de la
collectivité","Élevé
Faible","57,6
65,4","50,0
57,9","65,2
72,8",Non
21,1,"% estimant qu’il y a un
problème d’abus sexuel
au sein de la collectivité","Élevé
Faible","61,1
70,5","53,3
62,2","68,9
78,8",Non
21,1,"% estimant qu’il y a un
problème de chômage
au sein de la collectivité","Élevé
Faible","81,8
51,7","72,7
44,6","90,8
58,9",Oui
21,1,"% estimant qu’il y a un
problème de violence
familiale au sein de la
collectivité","Élevé
Faible","56,5
74,8","49,0
66,2","64,0
83,4",Oui
21,1,"% estimant qu’il y a un
problème de suicide au
sein de la collectivité","Élevé
Faible","120,7
48,0","105,4
42,4","136,0
53,6",Oui
23,1,"Caractéristiques
des collectivités",,"Taux de suicide
pour 100 000
habitants","Intervalle
de confiance
à 95%",,"Statistiquement
significatif ?"
23,1,,,,"Limite
infér.","Limite
supér.",
23,1,"% ayant des liens étroits
avec des membres
de la famille",Élevé,"32,0","24,7","39,3",Oui
23,1,,Faible,"80,3","72,9","87,8",
23,1,% faisant du bénévolat,Élevé,"52,6","34,4","70,9",Non
23,1,,Faible,"71,6","65,2","78,0",
23,1,"% satisfaits des
installations récréatives",Élevée,"56,6","46,1","67,2",Oui
23,1,,Faible,"69,5","62,8","76,3",
23,1,"% consommant
fréquemment de l’alcool
de façon excessive",Élevée,"75,0","62,4","87,6",Non
23,1,,Faible,"68,6","61,4","75,8",
30,1,Liste des subdivisions de recensement / Collectivités visées par l’étude,,,,,
30,1,SDR96,SDR2001,Nom de la collectivité,Région,,
30,1,1010021,,Rigolet,Labrador,,
30,1,1010022,,"North West River *(non
comprise dans l’EAPA)",Labrador,,
30,1,1010044,,Makkovik,Labrador,,
30,1,1010048,,"Hopedale (non comprise
dans l’EAPA)",Labrador,,
30,1,1010056,,Nain,Labrador,,
30,1,1010059,,Postville,Labrador,,
30,1,2499075,,"Kuujjuarapik (Poste de
la Baleine)",Nunavik (Qc) – Côte de la Baie d’Hudson,,
30,1,2499080,,Umiujaq,Nunavik (Qc) – Côte de la Baie d’Hudson,,
30,1,2499085,,Inukjuaq (Port Harrison),Nunavik (Qc) – Côte de la Baie d’Hudson,,
30,1,2499090,,Kangiqsualujjuaq (VN),Nunavik – Ungava/Détroit d’Hudson,,
30,1,2499095,,Kuujjuaq (Fort Chimo),Nunavik – Ungava/Détroit d’Hudson,,
30,1,2499100,,Tasiujaq,Nunavik – Ungava/Détroit d’Hudson,,
30,1,2499105,,Aupaluk,Nunavik – Ungava/Détroit d’Hudson,,
