page,table_id,col_1,col_2,col_3,col_4,col_5
10,1,Variables,,"Population
totale",Statut d’immigration,
10,1,,,,Natifs,Immigrants
10,1,Variable dépendante,,,,
10,1,"Occupe
un emploi
surqualifié",non,"72,4","76,0","61,1"
10,1,,oui,"27,6","24,0","38,9"
10,1,Variable d’intérêt analytique,,,,
10,1,"Variable
composite
des
caractéristiques
des immigrants",natifs,"75,7","100,0","0,0"
10,1,,imm. récents,"1,8","0,0","7,2"
10,1,,imm. arrivés avant l’âge de 15 ans,"5,3","0,0","22,0"
10,1,,imm. nés dans un pays développé,"2,2","0,0","9,0"
10,1,,imm. nés en europe de l’est/europe centrale,"2,2","0,0","9,2"
10,1,,imm. nés aux philippines,"1,8","0,0","7,4"
10,1,,"imm. nés dans un pays arabe et diplômés d’un
pays développé","0,4","0,0","1,8"
10,1,,"imm. nés dans un pays arabe et diplômés d’un
autre pays","0,6","0,0","2,4"
10,1,,imm. nés en asie et diplômés d’un pays développé,"2,2","0,0","9,2"
10,1,,imm. nés en asie et diplômés d’un autre pays,"3,8","0,0","15,7"
10,1,,"imm. nés ailleurs (afr., am. lat., océanie) et
diplômés d’un pays développé","2,0","0,0","8,2"
10,1,,"imm. nés ailleurs (afr., am. lat., océanie) et
diplômés d’un autre pays","1,9","0,0","7,8"
10,1,Variables de contrôle,,,,
10,1,Sexe,hommes,"52,8","51,9","55,4"
10,1,,Femmes,"47,2","48,1","44,6"
11,1,Groupe d’âge,25-34 ans,"25,2","26,6","21,0"
11,1,,35-44 ans,"27,0","25,9","30,3"
11,1,,45-54 ans,"30,2","30,4","29,6"
11,1,,55-64 ans,"17,6","17,1","19,1"
11,1,"Lieu
de résidence",toronto,"17,3","10,2","39,7"
11,1,,montréal,"11,4","11,0","12,7"
11,1,,vancouver,"7,4","5,5","13,2"
11,1,,autres rmr/ar,"46,3","51,2","31,0"
11,1,,ailleurs au Canada,"16,5","20,7","3,3"
11,1,,inconnu,"1,1","1,5","0,1"
11,1,"Domaine
d’études",Domaines les moins à risque de surqualification,"43,3","42,0","47,2"
11,1,,Domaines les plus à risque de surqualification,"27,5","26,5","30,5"
11,1,,"autres (études générales, Services, inconnu)","29,2","31,5","22,3"
11,1,Variables reliées au capital humain,,,,
11,1,"Connaissance et
usage
des langues
officielles",Langue maternelle (Lm) officielle,"76,1","94,4","18,9"
11,1,,Lm non off./Langue d’usage officielle,"11,1","4,7","31,1"
11,1,,Lm non off./Langue d’usage non off.,"12,9","1,0","50,0"
11,1,"Niveau
de littératie",inférieur au niveau 3,"40,7","35,6","56,8"
11,1,,équivalent ou supérieur au niveau 3,"59,3","64,4","43,2"
11,1,n pondéré,,12 427 300,9 410 500,3 016 800
11,1,pourcentage pondéré,,"100,0","75,7","24,3"
13,1,Variables,,Population totale,,,,
13,1,,,Modèle 0,Modèle 1,Modèle 2,Modèle 3,Modèle 4
13,1,,,Rapports de cotes,,,,
13,1,Variable d’intérêt analytique,,,,,,
13,1,"Variable
composite des
caractéristiques
des immigrants",natifs (Cat. réf.),,,,,
13,1,,imm. récents,"5,27*","5,53*","3,78*","4,74*","3,37*"
13,1,,imm. arrivés avant l’âge de 15 ans,"1,07","1,12","0,97","1,08","0,95"
13,1,,imm. nés dans un pays développé,"0,96","0,97","0,86","0,94","0,84"
13,1,,"imm. nés en europe de l’est/
europe centrale","2,37*","2,60*","1,67","2,30*","1,54"
13,1,,imm. nés aux philippines,"6,44*","7,66*","5,23*","6,12*","4,35*"
13,1,,"imm. nés dans un pays arabe et
diplômés d’un pays développé","1,21","1,38","1,04","1,21","0,93"
13,1,,"imm. nés dans un pays arabe et
diplômés d’un autre pays","2,68*","3,07*","2,16*","2,50*","1,83"
13,1,,"imm. nés en asie et diplômés
d’un pays développé","1,68*","1,83*","1,15","1,65","1,08"
