page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
9,1,,,,,,,,,,,elgique,
9,1,,,,,,,,,% par âge,vers hors B,elgique,
9,1,,,,,,,,,"% par âge
% par âge","vers Belgiq
vers Wallo","ue
nie",
9,1,,,,,,,,,% par âge,vers comm,une,
9,1,,,,,,,,,% par âge,vers quarti,er,
9,1,,,,,,,,,,,,
9,1,,,,,,,,,,,,
9,1,,,,,,,,,,,,
9,1,,,,,,,,,,,,
10,1,,,,,,,,,,,"lgique
e
e",
10,1,,,,,,,"% des é
% des é
% des é","migrants
migrants
migrants","par âge ve
par âge ve
par âge ve","rs hors Be
rs Belgiqu
rs Walloni","lgique
e
e",
10,1,,,,,,,"% des é
% des é","migrants
migrants","par âge ve
par âge ve","rs commu
rs quartie","ne
r",
10,1,,,,,,,,,,,,
10,1,,,,,,,,,,,,
10,1,,,,,,,,,,,,
10,1,,,,,,,,,,,,
10,1,,,,,,,,,,,,
14,1,5.1 proportion d’émigrants dans l’ensemble des survivants,,,,,,,,,,,
14,1,5.2 proportion d’émigrants hors de son quartier dans l’ensemble des survivants,,,,,,,,,,,
16,1,"proportion d’émigrants
dans l’ensemble des survivants","proportion d’émigrants
hors de son quartier dans
l’ensemble des survivants","proportion d’émigrants
hors de sa commune dans
l’ensemble des survivants",,,,,,,,,
16,1,ville de liège,,,,,,,,,,,
16,1,,,,,,,,,,,,
16,1,ville de charleroi,,,,,,,,,,,
16,1,,,,,,,,,,,,
16,1,ville de namur,,,,,,,,,,,
16,1,,,,,,,,,,,,
16,1,ville de mons,,,,,,,,,,,
16,1,,,,,,,,,,,,
18,1,Émigrants vers,Nombre absolu,%,,,,,,,,,
18,1,même quartier,10 347,"15,9",,,,,,,,,
18,1,même commune,17 682,"27,2",,,,,,,,,
18,1,autre commune wallonne,27 244,"41,9",,,,,,,,,
18,1,Flandre ou Bruxelles,2 978,"4,6",,,,,,,,,
18,1,étranger,6 801,"10,5",,,,,,,,,
18,1,total général,65 052,"100,0",,,,,,,,,
19,1,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,,,,,,,,,,,
20,1,émigrants vers,"part de mouvements dans le total des mouvements
de la commune (%)",,,,,,,,,,
20,1,,charleroi,mons,liège,namur,total,,,,,,
20,1,même quartier,"16,9","14,1","16,1","15,5","16,0",,,,,,
20,1,même commune,"41,7","40,1","38,0","43,7","40,5",,,,,,
20,1,autre commune wallonne,"30,7","29,2","35,4","29,0","31,8",,,,,,
20,1,région flamande et région de Bruxelles-capitale,"2,9","3,8","1,9","3,5","2,8",,,,,,
20,1,étranger,"7,8","12,8","8,6","8,3","8,9",,,,,,
20,1,total des mouvements en nombres absolus,4 552,2 002,4 839,2 530,13 923,,,,,,
21,1,origine en ligne ; destination en colonne,,,,,,,,,,,
21,1,"typocrIsp origine/
destination","agglomération
de grande ville","Banlieue de
grande ville","autre
commune
dense",petite ville,"rural sous
influence
urbaine","rural hors
influence
urbaine","commune
touristique
ardennaise","total
général",,,
21,1,"agglomération de grande
ville",2 279,1 703,197,1 366,1 281,284,368,7 478,,,
21,1,Banlieue de grande ville,1 295,1 046,104,941,751,129,161,4 427,,,
21,1,autre commune dense,164,76,125,418,135,121,39,1 078,,,
21,1,petite ville,1 143,868,387,1 154,1 072,602,493,5 719,,,
21,1,rural sous influence urbaine,1 092,704,173,1 398,1 151,289,303,5 110,,,
21,1,rural hors influence urbaine,280,108,99,637,227,328,264,1 943,,,
21,1,"commune touristique
ardennaise",180,67,22,473,137,252,358,1 489,,,
21,1,total général,6 433,4 572,1 107,6 387,4 754,2 005,1 986,27 244,,,
21,1,origine/destination en %,,,,,,,,,,,
21,1,"agglomération de grande
ville","30,5","22,8","2,6","18,3","17,1","3,8","4,9","100,0",,,
21,1,Banlieue de grande ville,"29,3","23,6","2,3","21,3","17,0","2,9","3,6","100,0",,,
21,1,autre commune dense,"15,2","7,1","11,6","38,8","12,5","11,2","3,6","100,0",,,
21,1,petite ville,"20,0","15,2","6,8","20,2","18,7","10,5","8,6","100,0",,,
21,1,rural sous influence urbaine,"21,4","13,8","3,4","27,4","22,5","5,7","5,9","100,0",,,
21,1,rural hors influence urbaine,"14,4","5,6","5,1","32,8","11,7","16,9","13,6","100,0",,,
21,1,"commune touristique
ardennaise","12,1","4,5","1,5","31,8","9,2","16,9","24,0","100,0",,,
21,1,total général,"23,6","16,8","4,1","23,4","17,4","7,4","7,3","100,0",,,
