page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
13,1,"Région d’établissement
initiale1",Cohorte,,,,,,,
13,1,,1992,1996,2000,2004,1992,1996,2000,2004
13,1,,n,,,,%,,,
13,1,Total,43 935,29 949,31 291,40 363,"100,0","100,0","100,0","100,0"
13,1,RMR de Montréal,40 650,25 632,27 225,34 267,"92,5","85,6","87,0","84,9"
13,1,Hors RMR de Montréal,3 285,4 317,4 066,6 096,"7,5","14,4","13,0","15,1"
13,1,Métropoles régionales,2 126,2 961,2 560,3 912,"4,8","9,9","8,2","9,7"
13,1,Autres agglomérations,490,709,861,1 356,"1,1","2,4","2,8","3,4"
13,1,Hors agglomérations,669,647,645,828,"1,5","2,2","2,1","2,1"
13,1,,,,,,,,,
