page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
19,1,"Enfant par alliance
(nouvelle union)",*,*,"8,1","4,5","5,1","2,3","2,7",—,—,—,
19,1,"Enfant biologique
(nouvelle union)",*,*,"7,3","8,4","5,6","4,8","4,1","3,6",—,—,
19,1,1er enfant : par alliance,*,*,"4,1","1,3","2,8",—,—,—,—,—,
19,1,Enfant biologique,*,*,"4,1","1,3","2,8",—,—,—,—,—,
27,1,Nombre de répondants,Groupes d’âge,,,,,,,,,,
27,1,,34 à 43 ans,,44 à 53 ans,,54 à 63 ans,,64 à 73 ans,,74 à 83 ans,,
27,1,,Cohortes de naissance,,,,,,,,,,
27,1,,1963-1972,,1953-1962,,1943-1952,,1933-1942,,1923-1932,,
27,1,,Hommes,Femmes,Hommes,Femmes,Hommes,Femmes,Hommes,Femmes,Hommes,Femmes,
27,1,Trajectoires conjugales,1 997,2 352,1 925,2 444,1 743,2 206,1 131,1 472,427,677,
27,1,Trajectoires parentales,1 934,2 339,1 914,2 437,1 721,2 188,1 125,1 436,414,666,
