page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
7,1,,Groupes sociolinguistiques,,,,,,,,
7,1,,"AdJA et
apparentés","Fon et
apparentés","BAtonuM et
apparentés","dEndI et
apparentés","yoA/LoKPA
et apparentés","PEuLH
et apparentés","GuA/otAMArI
et apparentés","yoruBA et
apparentés",AutrES
7,1,"Langues
parlées","Adja
Pla
ouatchi
Mina
Péd Sahouè
Houéda
Péda
Xwla
Popo","Aïzo
Fon
Kotafon
tchi
Goun
Mahi
Wémè
Sèto
tori
Agouna","Bariba
Boko
Boo","dendi
djerma","yoa
Kabyè
Lokpa
dompargo
Koto
Koli
Pila-Pila
Soruba
Biyobè
taneka
Windji-windji
Foodo
Ani","Peulh
Fulfuldé
Gando","Berba
ottamari
Betyobé
Gabanga
Gourmantché
Hossori
nataimba
Waama
yendé
Bésorabè","yoruba
nago
Holli
Idaasha
Ifé
tchabé
Itcha
Manigri
Partogo
Mokolé","Zerma
Haoussa
cotimba
Autres"
7,1,nbre langues,9,10,3,2,13,3,10,10,–
7,1,Effectif 2002,1 030 685,2 655 336,619 940,168 863,271 044,470 542,411 749,829 509,95 467
7,1,%,15,39,9,3,4,7,6,14,2
7,1,Effectif 2013,1 525 310,3 857 512,968 013,318 137,456 687,882 642,625 174,1 206 850,108 870
7,1,% (I),15,39,10,3,4,9,6,12,1
7,1,"Locuteurs
ethniques",1 425 184,3 993 068,949 554,374 608,411 157,411 157,614 220,1 134 140,92 249
7,1,% (J),14,40,9,4,4,9,6,11,1
7,1,(J-I),-1,+1,-1,+1,0,0,0,-1,0
8,1,"Groupe
Ethnolinguistique",BÉNIN,,,AGGLOMÉRATIONS URBAINES,,,,,
8,1,,"Même ethnie
que le cM","Ethnie diffé-
rente du cM",Ensemble,"cotonou/
Porto-novo","Abomey/
Bohicon",Parakou,djougou,,
8,1,AdJA,9,62,12,13,10,25,35,,
8,1,Fon,2,29,3,14,3,11,18,,
8,1,BAtonnun,4,39,5,14,16,6,5,,
8,1,dEndI,4,40,5,16,19,45,38,,
8,1,yoA/LoKPA,11,57,13,9,13,5,2,,
