page,table_id,col_1,col_2,col_3,col_4
4,1,,Maroc,Algérie,Tunisie
4,1,1,France (26 998),France (18 780),France (10 812)
4,1,2,Allemagne (3 699),Canada (796)*,Allemagne (2 491)
4,1,3,Espagne (2 735),Royaume-Uni (335),Roumaine (868)
4,1,4,Canada (1 587)*,États-Unis (179),Ukraine (611)
4,1,5,Italie (1 207),Allemagne (158),Italie (611)
4,1,6,États-Unis (1 133),Suisse (127),Canada (583)*
9,1,Automne,Algérie,Maroc,Tunisie,Maghreb,Chine,France,Autres,Total
9,1,2001,176,908,661,1 745,146,3 742,4 829,10 462
9,1,2002,152,898,785,1 835,169,3 990,5 440,11 434
9,1,2003,219,903,801,1 923,214,4 401,5 719,12 257
9,1,2004,166,865,658,1 689,202,4 663,5 293,11 847
9,1,2005,183,908,592,1 683,226,4 851,5 274,12 034
9,1,2006,183,967,532,1 682,293,5 451,5 332,12 758
9,1,2007,198,954,533,1 685,347,5 811,5 175,13 018
9,1,2008,262,958,619,1 839,346,5 794,5 139,13 118
9,1,2009,308,1 016,704,2 028,353,6 570,5 498,14 449
9,1,2010*,307,908,679,1 894,412,7 315,5 769,15 390
9,1,Variation,"74,4 %","0,0 %","2,7 %","8,5 %","182,2 %","95,5 %","19,5 %","47,1 %"
9,1,Poids 2010,"2,0 %","5,9 %","4,4 %","12,3 %","2,7 %","47,5 %","37,5 %","100,0 %"
24,1,,2007-2008,,2008-2009,,2009-2010,,2010-2011*,,Évolution
24,1,,N,%,N,%,N,%,N,%,
24,1,1er cycle,1025,"60,8",1072,"58,3",1103,"54,4",1012,"53,4","−1,3 %"
24,1,2e cycle,541,"32,1",648,"35,2",762,"37,6",697,"36,8","28,8 %"
24,1,3e cycle,119,"7,1",119,"6,5",163,"8,0",185,"9,8","55,5 %"
24,1,Total,1685,100,1839,100,2028,100,1894,100,"12,4 %"
24,2,,2007-2008,,2008-2009,,2009-2010,,2010-2011*,,Évolution
24,2,,N,%,N,%,N,%,N,%,
24,2,1er cycle,18 655,"36,7",18 774,"37,0",19 973,"37,6",19 861,"37,4","6,5 %"
24,2,2e cycle,25 987,"51,0",25 875,"51,1",27 190,"51,2",27 564,"52,0","6,1 %"
24,2,3e cycle,6 239,"12,3",6 019,"11,9",5 903,"11,1",5 638,"10,6","−9,6 %"
24,2,Total,50 881,100,50 668,100,53 066,100,53 063,100,"4,3 %"
