page,table_id,col_1,col_2,col_3,col_4,col_5,col_6
9,1,Couples,Lieu de résidence,,,,
9,1,,Île de Montréal,"Reste de la RMR
de Montréal",Reste du Québec,Total,N
9,1,Anglais/Français,26,42,65,43,25 690
9,1,Français/Autre,31,36,27,31,18 555
9,1,Anglais/Autre,23,12,5,14,8 105
9,1,Autre/Autre,20,10,3,12,6 965
9,1,Total,100,100,100,100,59 315
10,1,Caractéristiques ethno-culturelles,,Pères (%),Mères (%),,
10,1,Langue maternelle,,,,,
10,1,,"Français
Anglais
Autre","35
28
36","39
29
32",,
10,1,Lieu de naissance,,,,,
10,1,,"Québec
Reste du Canada (ROC)
Pays francotrope
Pays non francotrope","57
9
21
13","60
10
16
14",,
10,1,Génération d’immigrants,,,,,
10,1,,"Immigrants
Canadiens de deuxième génération
Canadiens de troisième génération ou plus","34
18
47","30
18
52",,
10,1,Période d’immigration au Canada,,,,,
10,1,,"Non-immigrant
Avant 1976
Entre 1976 et 1994
Depuis 1995","67
9
16
8","71
6
14
10",,
10,1,Âge à l’immigration,,,,,
10,1,,"Non-immigrant
0-14 ans
15 ans et plus","67
10
23","71
9
20",,
10,1,Nombre d’observations,,59 315,59 315,,
10,2,Caractéristiques,,Familles (%),,,
10,2,Lieu de naissance,,,,,
10,2,,"Tous nés au Québec
Tous nés dans la même province du ROC
Tous nés ans le même pays francotrope
Tous nés dans le même pays non francotrope
Nés dans différentes provinces canadiennes
Nés dans différents pays","85
5
2
3
2
2",,,
10,2,Âge,,,,,
10,2,,"Tous les enfants de la famille ont entre 2 et 5 ans
Tous les enfants de la famille ont entre 6 et 17 ans
Tous les enfants de la famille ont entre 2 et 17 ans","23
62
15",,,
10,2,Nombre de familles,,59 315,,,
11,1,,,,,,
11,1,,,,,,
11,1,,,,,,
11,1,,,,,,
11,1,,,,,,
11,1,,,,,,
11,1,,,,,,
13,1,"Langue
transmise",Combinaison linguistique des couples,,,,
13,1,,Anglais/Français,Anglais/Autre,Français/Autre,Autre/Autre,Total
13,1,Anglais,34,83,9,37,33
13,1,Français,57,5,75,19,51
13,1,Autre,—,8,9,39,8
13,1,Réponse multiple,9,5,8,5,8
13,1,Total,100,100,100,100,100
14,1,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,,,,,,,,,,,
18,1,Variables,Modèle 1,Modèle 2,Modèle 3,,
18,1,"Langue maternelle de la mère
Réf. : Anglais",,,,,
18,1,Français,"0,005***","0,005***","0,006***",,
18,1,Autre,"0,134***","0,144***","0,134***",,
18,1,"Langue maternelle du père
Réf. : Anglais",,,,,
18,1,Français,"0,018***","0,019***","0,018***",,
18,1,Autre,"0,168***","0,180***","0,227***",,
18,1,"Lieu de résidence
Réf. : Île de Montréal",,,,,
18,1,Reste RMR,"0,508***","0,494***","0,475***",,
18,1,Reste Québec,"0,306***","0,251***","0,257***",,
18,1,"Lieu de naissance des enfants
Réf. : Tous nés au Québec",,,,,
18,1,Tous nés dans la même province du ROC,,"3,344***","3,521***",,
18,1,Tous nés dans le même pays francophone,,"0,153***","0,276***",,
18,1,Tous nés dans le même pays non francotrope,,"2,194***","2,825***",,
18,1,Nés dans différentes provinces canadiennes,,"1,723*","1,765*",,
18,1,Nés dans différents pays,,"0,778","1,188",,
18,1,"Âge des enfants
Réf. : 2-5 ans",,,,,
18,1,6-17 ans,,"1,308***","1,291**",,
18,1,2-17 ans,,"1,295","1,208",,
18,1,"Parcours migratoire des parents
Réf. : Père non immigrant/Mère canadienne de 3e génération ou plus",,,,,
18,1,Père non immigrant/Mère canadienne de 2e génération,,,"2,365***",,
18,1,Père non immigrant/Mère immigrante (arrivée avant 1976),,,"1,671**",,
18,1,Père non immigrant/Mère immigrante (arrivée entre 1976 et 1995),,,"0,843",,
18,1,Père non immigrant/Mère immigrante (arrivée depuis 1995),,,"0,994",,
18,1,Père immigrant/Mère canadienne de 3e génération ou plus,,,"0,636***",,
18,1,Père immigrant/Mère canadienne de 2e génération,,,"1,876***",,
18,1,Père immigrant / Mère immigrante (arrivée avant 1976),,,"1,245",,
18,1,Père immigrant / Mère immigrante (arrivée entre 1976 et 1995),,,"0,495***",,
18,1,Père immigrant / Mère immigrante (arrivée depuis 1995),,,"0,313***",,
