page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
8,1,,,,,,,,,,
8,1,,,,,,,,,,
8,1,,,,,,,,,,
8,1,,,,,,,,,,
8,1,,,,,,,,,,
8,1,,,,,,,,,,
9,1,Statut et temps écoulé depuis l’immigration,Rapports de risque,,,,,,,,
9,1,,Hommes,Femmes,,,,,,,
9,1,Immigrants — moins de 5 ans,"0,59","0,70",,,,,,,
9,1,Immigrants — 5 à 9 ans,"0,74","0,82",,,,,,,
9,1,Immigrants — 10 ans ou plus,"0,86","0,90",,,,,,,
9,1,Non-immigrants,"1,05","1,03",,,,,,,
9,1,Ensemble de la population (référence),"1,00","1,00",,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,
12,1,,Arrivées annuelles d’immigrants,"Fécondité, mortalité et émigration
différentielles des nouveaux
immigrants*",Natalité des nouveaux immigrants*,,,,,,
12,1,1. Scénario de référence,"Taux d’immigration annuel
de 7,5 pour mille",Oui,Oui,,,,,,
12,1,2. Immigration nulle,Aucune immigration dès 2006,Non applicable,Non applicable,,,,,,
12,1,3. Fécondité nulle des immigrants,"Taux d’immigration annuel
de 7,5 pour mille","Oui (non applicable pour
la fécondité)","Les immigrants ne donnent naissance
à aucun enfant dès 2006",,,,,,
20,1,,5-Fécondité convergente,"0,0","0,0","0,2","0,3","0,5","0,8","1,2","1,7","2,3","3,0","3,8"
20,1,,6-Mortalité convergente,"0,0","0,0","0,0","0,1","0,2","0,3","0,4","0,6","0,8","1,1","1,3"
20,1,,7-Émigration convergente,"0,0","0,0","-0,2","-0,3","-0,5","-0,7","-0,9","-1,1","-1,3","-1,5","-1,8"
20,1,Composantes,,,,,,,,,,,,
20,1,"Naissances
(en milliers)",4-Comportements convergents,0,7,10,14,22,27,31,39,46,55,64
20,1,,5-Fécondité convergente,0,8,12,17,24,31,37,44,53,60,71
20,1,,6-Mortalité convergente,0,0,0,0,0,1,1,1,3,2,4
20,1,,7-Émigration convergente,0,-1,-3,-3,-4,-5,-7,-9,-11,-13,-16
20,1,"Décès
(en milliers)",4-Comportements convergents,0,-2,-3,-6,-9,-14,-20,-23,-22,-21,-12
20,1,,5-Fécondité convergente,0,0,0,0,0,0,1,2,2,4,9
20,1,,6-Mortalité convergente,0,-2,-3,-5,-7,-11,-15,-15,-13,-10,-8
20,1,,7-Émigration convergente,0,0,0,0,-1,-2,-5,-8,-12,-13,-17
20,1,"Émigrants
(en milliers)",4-Comportements convergents,0,7,11,11,12,13,15,16,18,20,21
20,1,,5-Fécondité convergente,0,0,0,0,0,2,2,3,4,6,6
20,1,,6-Mortalité convergente,0,0,0,0,0,0,1,1,1,1,1
20,1,,7-Émigration convergente,0,7,11,11,12,12,13,13,14,15,15
21,1,,Scénario,2006,2016,2026,2036,2046,2056,2066,2076,2086,2096,2106
21,1,Indicateurs de la structure par âge,,,,,,,,,,,,
21,1,Âge médian,4-Comportements convergents,"0,0","0,0","-0,1","-0,2","-0,4","-0,6","-0,6","-0,6","-0,6","-0,6","-0,6"
21,1,,5-Fécondité convergente,"0,0","0,0","-0,1","-0,2","-0,5","-0,6","-0,7","-0,8","-0,9","-0,9","-0,9"
21,1,,6-Mortalité convergente,"0,0","0,0","0,0","0,0","0,1","0,2","0,2","0,3","0,4","0,4","0,5"
21,1,,7-Émigration convergente,"0,0","0,0","0,0","0,0","-0,1","-0,1","-0,1","-0,2","-0,2","-0,2","-0,2"
21,1,Âge moyen,4-Comportements convergents,"0,0","0,0","-0,1","-0,2","-0,3","-0,3","-0,3","-0,3","-0,3","-0,3","-0,2"
21,1,,5-Fécondité convergente,"0,0","0,0","-0,1","-0,2","-0,3","-0,4","-0,5","-0,6","-0,6","-0,7","-0,7"
21,1,,6-Mortalité convergente,"0,0","0,0","0,0","0,0","0,1","0,1","0,2","0,4","0,4","0,5","0,5"
21,1,,7-Émigration convergente,"0,0","0,0","0,0","0,0","0,0","0,0","-0,1","-0,1","-0,1","-0,1","-0,1"
21,1,"Proportion de personnes
âgées de moins de 15 ans",4-Comportements convergents,"0,0","0,1","0,3","0,3","0,4","0,5","0,6","0,6","0,6","0,6","0,6"
21,1,,5-Fécondité convergente,"0,0","0,1","0,3","0,3","0,4","0,5","0,6","0,6","0,6","0,6","0,7"
21,1,,6-Mortalité convergente,"0,0","0,0","0,0","0,0","0,0","-0,1","-0,1","-0,1","-0,2","-0,2","-0,2"
21,1,,7-Émigration convergente,"0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1"
21,1,"Proportion de personnes
âgées de 65 ans ou plus",4-Comportements convergents,"0,0","0,0","0,0","0,0","-0,1","-0,1","-0,2","-0,2","-0,1","-0,1","-0,1"
21,1,,5-Fécondité convergente,"0,0","0,0","-0,1","-0,2","-0,3","-0,4","-0,6","-0,7","-0,8","-0,8","-0,9"
21,1,,6-Mortalité convergente,"0,0","0,0","0,0","0,1","0,1","0,2","0,4","0,6","0,7","0,8","0,8"
21,1,,7-Émigration convergente,"0,0","0,0","0,1","0,1","0,1","0,0","0,0","0,0","-0,1","-0,1","-0,1"
