page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
20,1,Différence d’âge entre la femme et l’homme,,,,,,,,
20,1,Au moins 3 ans de plus,"0,054","0,065","0,076","0,078","0,044","0,075","0,083","0,076"
20,1,Un ou deux ans de plus,"0,103","0,099","0,101","0,098","0,090","0,109","0,120","0,119"
20,1,Aucune,"0,108","0,103","0,101","0,104","0,112","0,114","0,118","0,126"
20,1,Un ou deux ans de moins,"0,278","0,263","0,236","0,233","0,302","0,264","0,257","0,259"
20,1,Trois ou 4 ans de moins,"0,220","0,212","0,198","0,194","0,218","0,199","0,178","0,179"
21,1,,Francophones du Québec,,,,Anglophones de l’Ontario,,,
21,1,,1986,1996,2006,2011,1986,1996,2006,2011
21,1,Différence d’âge entre la femme et l’homme,,,,,,,,
21,1,Cinq à 7 ans de moins,"0,151","0,160","0,155","0,158","0,141","0,140","0,133","0,133"
21,1,Au moins 8 ans de moins,"0,086","0,099","0,133","0,135","0,095","0,100","0,112","0,108"
21,1,Présence d’enfants [Variables logiques],,,,,,,,
21,1,Présence d’enfants de 0 à 5 ans,"0,397","0,393","0,340","0,420","0,501","0,492","0,440","0,460"
21,1,Présence d’enfants de 6 à 14 ans,"0,545","0,507","0,488","0,458","0,493","0,527","0,503","0,489"
21,1,Présence d’enfants de 15 à 17 ans,"0,187","0,200","0,198","0,180","0,156","0,142","0,170","0,159"
21,1,Présence d’enfants de 18 à 24 ans,"0,184","0,187","0,180","0,175","0,154","0,136","0,158","0,142"
21,1,Propriétaires du logement,"0,745","0,748","0,758","0,734","0,772","0,740","0,808","0,774"
21,1,Effectifs,44 625,30 517,28 540,21 892,12 792,16 021,9 938,13 905
22,1,,,,,,,,,
22,1,"1986 1996 2006 2011 cebéuQ
1,00 1,00 1,00 1,00
0,80 0,80 0,80 0,80
ud
0,60 0,60 0,60 0,60
senohpocnarF
0,40 0,40 0,40 0,40
0,20 0,20 0,20 0,20
0,00 0,00 0,00 0,00
20 30 40 49 20 30 40 49 20 30 40 49 20 30 40 49
Âge Âge Âge Âge
1986 1996 2006 2011
oiratnO’l
1,00 1,00 1,00 1,00
0,80 0,80 0,80 0,80
0,60 0,60 0,60 0,60 ed
senohpolgnA
0,40 0,40 0,40 0,40
0,20 0,20 0,20 0,20
0,00 0,00 0,00 0,00
20 30 40 49 20 30 40 49 20 30 40 49 20 30 40 49
Âge Âge Âge Âge
Niveau 1 Niveau 2 Niveau 3 Niveau 4",,,,,,,,
22,2,,,,,,,,,
22,2,"1986 1996 2006 2011 cebéuQ
1,00 1,00 1,00 1,00
0,80 0,80 0,80 0,80
ud
0,60 0,60 0,60 0,60
senohpocnarF
0,40 0,40 0,40 0,40
0,20 0,20 0,20 0,20
0,00 0,00 0,00 0,00
20 30 40 49 20 30 40 49 20 30 40 49 20 30 40 49
Âge Âge Âge Âge",,,,,,,,
22,2,"1986 1996 2006 2011
oiratnO’l
1,00 1,00 1,00 1,00
0,80 0,80 0,80 0,80
0,60 0,60 0,60 0,60 ed
senohpolgnA
0,40 0,40 0,40 0,40
0,20 0,20 0,20 0,20
0,00 0,00 0,00 0,00
20 30 40 49 20 30 40 49 20 30 40 49 20 30 40 49
Âge Âge Âge Âge",,,,,,,,
22,3,"1986
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge","1996
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge","2006
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge","2011
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge",,,,,
22,4,,,,,,,,,
22,5,,,,,,,,,
22,6,,,,,,,,,
22,7,,,,,,,,,
