page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7
4,1,,1720-1799,,,1800-1839,,
4,1,Commune,Naissances,Décès,"Accroissement
naturel",Naissances,Décès,"Accroissement
naturel"
4,1,Région des étangs,,,,,,
4,1,St-Trivier,4855,5651,-1796,3718,3932,-214
4,1,St-Nizier,1955,1951,1114,2687,2761,1-74
4,1,Monthieux,1200,1138,1172,2870,2753,127
4,1,Val de Saône,,,,,,
4,1,Thoissey,3007,2377,1630,1950,1707,243
4,1,Mogneneins,3333,2882,1451,1541,1192,349
4,1,St Didier,6117,5093,1024,3742,2790,952
6,1,Solde naturel,Accroissement total,Solde migratoire estimé,,,,
6,1,-226,198,424,,,,
7,1,Quotients de mortalité,1770-1789,1800-1819,,,,
7,1,"q
1 0",310,290,,,,
7,1,"q
4 1",330,250,,,,
7,1,"q
5 5",140,140,,,,
7,1,"S
10",397,458,,,,
8,1,,1750-1789,1790-1828,,,,
8,1,"Pourcentage d’unions durant
moins de 5 ans","31,0 %","26,9 %",,,,
8,1,Durée médiane,"10,1 ans","11,5 ans",,,,
8,1,Durée moyenne,"11,4 ans","14,5 ans",,,,
8,1,Mode de distribution principal,4 ans,Moins de 1 an,,,,
8,1,Mode secondaire,Moins de 1 an,1 an,,,,
9,1,Âge de l’enfant,Orphelins de père,Orphelins de mère,Deux parents décédés,,,
9,1,5e anniversaire,"33,3","22,3","17,4",,,
9,1,10e anniversaire,"50,3","35,1","16,5",,,
9,1,15e anniversaire,"63,8","46,7","34,5",,,
9,1,20e anniversaire,"75,5","57,6","42,2",,,
9,1,25e anniversaire,"85,5","68,5","57,2",,,
10,1,Âge de l’enfant,Orphelins de père,Orphelins de mère,Deux parents décédés,,,
10,1,5e anniversaire,"13,3","11,5","0 3,3",,,
10,1,10e anniversaire,"30,3","24,7","0 9,6",,,
10,1,15e anniversaire,"42,5","36,5","19,6",,,
10,1,20e anniversaire,"56,8","47,6","33,0",,,
10,1,25e anniversaire,"68,0","58,0","44,8",,,
12,1,Dimension de la fratrie,Effectifs proportionnels (en %),,,,,
12,1,1,37,,,,,
12,1,2,27,,,,,
12,1,3,18,,,,,
12,1,4 et plus,18,,,,,
12,2,Périodes,Solde naturel,"Accroissement
total","Solde migratoire
(nombres absolus)","Solde migratoire
(en %)",,
12,2,1820-1841,-226,-198,-424,"-29,8",,
12,2,1846-1866,-109,-233,-124,"-17,8",,
12,2,1866-1886,-146,-168,-314,"-17,3",,
12,2,1886-1906,-155,1-68,-123,"1-7,5",,
12,2,1906-1926,-132,-153,-185,"-11,7",,
