page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7
11,1,"Commune de résidence
des enfants",1836,,1856,,1876,
11,1,,Effectif,%,Effectif,%,Effectif,%
11,1,Même commune,436,"85,7",382,"77,8",321,"71,3"
11,1,Même canton,116,"13,1",120,"14,1",121,"14,7"
11,1,Cantons proches,132,"16,3",136,"17,3",136,"18,0"
11,1,"Rennes et communes
limitrophes",115,"11,0",124,"14,9",125,"15,6"
11,1,Autres départements,116,"11,2",124,"14,9",115,"13,3"
11,1,Paris,112,"10,4",112,"10,4",112,"12,7"
11,1,Étranger,110,"10,0",110,"10,0",111,"10,2"
11,1,Indéterminés,112,"12,4",113,"10,6",119,"14,2"
11,1,Total,509,100,491,100,450,100
13,1,"Commune de résidence
des enfants",1836,,1856,,1876,
13,1,,Effectif,%,Effectif,%,Effectif,%
13,1,Même commune,218,"83,5",186,,159,"71,6"
13,1,Même canton,118,"13,1",113,,111,"15,0"
13,1,Cantons proches,113,"15,0",121,,119,"18,6"
13,1,"Rennes et communes
limitrophes",115,"11,9",112,,110,"14,5"
13,1,Autres départements,115,"11,9",120,,115,"12,3"
13,1,Paris,112,"10,8",111,,116,"12,7"
13,1,Étranger,110,"10,0",110,,111,"10,5"
13,1,Indéterminés,110,"13,8",111,,111,"15,0"
13,1,Total,261,100,254,,222,100
13,2,"Commune de résidence
des enfants",1836,,1856,,1876,
13,2,,Effectif,%,Effectif,%,Effectif,%
13,2,Même commune,218,"87,9",196,"82,7",162,"71,1"
13,2,Même canton,118,"13,2",117,"13,0",110,"14,4"
13,2,Cantons proches,119,"17,7",115,"16,3",117,"17,5"
13,2,"Rennes et communes
limitrophes",110,"10,0",112,"15,1",115,"16,6"
13,2,Autres départements,111,"10,4",114,"11,7",110,"14,4"
13,2,Paris,110,"10,0",111,"10,4",116,"12,6"
13,2,Étranger,110,"10,0",110,"10,0",110,"10,0"
13,2,Indéterminés,112,"10,8",112,"10,8",118,"13,5"
13,2,Total,248,100,237,100,228,100
15,1,"Nombre de
frères et sœurs",Mobilité (%),,,,Effectif,
15,1,,"Même
commune que
leurs parents","Mobilité
de courte
distance","Mobilité
de longue
distance",Inconnue,,
15,1,1836a,,,,,,
15,1,0 à 2,"89,3","16,0","11,8","3,0",168,
15,1,3 à 5,"86,3","11,3","11,3","1,3",240,
15,1,6 et plus,"79,0","11,0","16,0","4,0",100,
15,1,1856b,,,,,,
15,1,0 à 2,"88,1","17,5","14,5","0,0",134,
15,1,3 à 5,"75,1","11,6","13,4","0,0",277,
15,1,6 et plus,"72,7","18,2","19,1","0,0",177,
15,1,1876c,,,,,,
15,1,0 à 2,"82,6","16,7","18,1","2,7",149,
15,1,3 à 5,"63,5","17,2","14,2","5,2",233,
15,1,6 et plus,"73,5","10,3","11,8","4,4",168,
17,1,"Montant de
la succession
(en francs)","Sédentaires
(même commune)",,Mobilité,,,
17,1,,Effectif,%,"courte
distance","longue
distance",Ensemble,%
17,1,1836a,,,,,,
17,1,0-99,142,"119,6",15,10,15,"116,7"
17,1,100-999,171,"139,2",23,15,28,"37,3"
17,1,1000-4999,171,"139,2",17,15,32,"42,7"
17,1,5000-9999,140,"119,2",10,13,13,"114,0"
17,1,10 000 et plus,112,"112,8",14,13,17,"119,3"
17,1,Total,436,"100,0",49,26,75,"100,0"
17,1,1856b,,,,,,
17,1,0-99,137,"119,7",15,14,119,"118,4"
17,1,100-999,143,"137,6",26,15,141,"138,3"
17,1,1000-4999,157,"141,3",16,27,143,"140,2"
17,1,5000-9999,134,"118,9",14,10,114,"113,7"
17,1,10 000 et plus,119,"112,4",14,16,110,"119,4"
17,1,Total,380,"100,0",55,52,107,"100,0"
17,1,1876c,,,,,,
17,1,0-99,114,"114,6",17,13,110,"119,4"
17,1,100-999,191,"129,8",18,14,132,"129,9"
17,1,1000-4999,109,"135,7",16,17,133,"130,8"
17,1,5000-9999,152,"117,0",17,19,116,"114,9"
17,1,10 000 et plus,139,"112,8",19,17,116,"114,9"
17,1,Total,305,"100,0",57,50,107,"100,0"
18,1,"Montant de la part
d’héritage
(en francs)","Sédentaires
(même commune)
(%)",Mobilité,,,,
18,1,,,"courte distance
(%)","longue distance
(%)","Ensemble
(%)",,
18,1,1836a,,,,,,
18,1,0-99,"125,2","139,6","123,1","136,1",,
18,1,100-499,"142,9","139,6","169,2","145,9",,
18,1,500-999,"119,0","112,5","117,7","111,5",,
18,1,1000-1999,"118,7","112,1","110,0","111,6",,
18,1,2000-4999,"112,7","110,0","110,0","110,0",,
18,1,5000 et plus,"111,4","116,2","110,0","114,9",,
18,1,Total,"100,0
(n=436)","100,0
(n=48)","100,0
(n=13)","100,0
(n=61)",,
18,1,1856b,,,,,,
18,1,0-99,"127,1","137,3","132,7","135,0",,
18,1,100-499,"139,5","143,1","130,6","137,0",,
18,1,500-999,"119,2","111,8","112,2","112,0",,
18,1,1000-1999,"110,5","117,8","112,2","110,0",,
18,1,2000-4999,"111,8","110,0","112,0","111,0",,
18,1,5000 et plus,"111,8","110,0","110,2","115,0",,
18,1,Total,"100,0
(n=380)","100,0
(n=51)","100,0
(n=49)","100,0
(n=100)",,
18,1,1876c,,,,,,
18,1,0-99,"121,5","129,8","119,6","125,0",,
18,1,100-499,"127,4","115,8","133,3","124,1",,
18,1,500-999,"119,1","128,1","117,6","123,1",,
18,1,1000-1999,"122,1","115,8","111,8","113,9",,
18,1,2000-4999,"111,4","118,7","111,8","110,2",,
18,1,5000 et plus,"118,5","111,8","115,9","113,7",,
18,1,Total,"100,0
(n=307)","100,0
(n=57)","100,0
(n=51)","100,0
(n=108)",,
21,1,"Mobilité
de la fratrie",Type de fratrie,,,,Toutes fratries,
21,1,,"fratrie
de 2","fratrie
de 3","fratrie
de 4","fratrie de
5 et plus",%,Effectif
21,1,1836a,,,,,,
21,1,Sédentaire,180,190,168,162,174,191
