page,table_id,col_1,col_2,col_3
12,1,Langue maternelle,%,CV
12,1,Anglais seulement,"56,3","0,3"
12,1,Français seulement,"22,6","0,5"
12,1,Une seule autre languea,"18,2","0,8"
12,1,Anglais et français également,"0,6","5,4"
12,1,Anglais et autrea également,"0,7","4,5"
12,1,Français et autrea également,"0,1","12,1"
12,1,"Anglais, français et autrea également","0,1","16,0"
12,1,Non déclaré,"1,4","3,6"
12,1,Ne sais pas,"0,1","15,6"
12,1,Total,"100,0","0,0"
12,2,Compréhension de la langue maternelle,%,CV
12,2,"Oui, encore comprise","99,3","0,0"
12,2,"Non, n’est plus comprise","0,7","4,2"
12,2,Total,"100,0","0,0"
15,1,Compréhension du français,Provinces,,,
15,1,,"Nouveau-Brunswick/
Québec/Ontario",,Autres provinces,
15,1,,%,CV,%,CV
15,1,"Oui, encore compris","99,6","0,0","90,2","1,3"
15,1,"Non, n’est plus compris","0,4","12,7","9,9","11,8"
15,1,Total,"100,0","0,0","100,0","0,0"
16,1,"Compréhension d’une tierce
langue maternelle",Provinces,,,,,
16,1,,Atlantique,,Québec/Ontario,,Ouest,
16,1,,%,CV,%,CV,%,CV
16,1,"Oui, encore comprise","94,4","1,7","98,1","0,2","95,4","0,3"
16,1,"Non, n’est plus comprise","5,5E","28,6","1,9","9,5","4,5","6,4"
16,1,Total,"100,0","0,0","100,0","0,0","100,0","0,0"
16,2,"Compréhension d’une tierce
langue maternelle",Groupe d’âge,,,,,
16,2,,15 à 44 ans,,45 à 64 ans,,65 ans et plus,
16,2,,%,CV,%,CV,%,CV
16,2,"Oui, encore comprise","98,1","0,2","96,9","0,3","94,3","0,5"
16,2,"Non, n’est plus comprise","1,9","9,9","3,0","8,6","5,6","8,4"
16,2,Total,100,"0,0",100,"0,0",100,"0,0"
17,1,"Compréhension de la langue
maternelle (autres langues)",Pays de naissance,,,,,
17,1,,Canada,,Extérieur du Canada,,,
17,1,,,,"Amérique du
Nord et Europe",,Autres pays,
17,1,,%,CV,%,CV,%,CV
17,1,"Oui, encore compris","92,1","0,5","98,0","0,2","99,1","0,1"
17,1,"Non, n’est plus compris","7,9","5,9","1,9","11,5","0,9","15,9"
17,1,Total,100,"0,0",100,"0,0",100,"0,0"
18,1,"Compréhension
de la langue
maternelle
(autres langues)",Lieu de naissance,,,,,,,
18,1,,"Personnes nées
à l’extérieur
du Canada",,Personnes nées au Canada,,,,,
18,1,,,,"Canadiens de
2e génération
(2 parents nés
à l’extérieur)",,"Canadiens de
2e génération
(1 seul parent né
à l’extérieur)",,"Canadiens de
3e génération
ou plusa",
18,1,,%,CV,%,CV,%,CV,%,CV
18,1,"Oui, encore comprise","98,6","0,1","95,2","0,5","86,4","2,3","85,1","1,7"
18,1,"Non, n’est plus
comprise","1,3","9,1","4,8","10,8","13,6","14,4","14,8","9,9"
18,1,Total,"100,0","0,0","100,0","0,0","100,0","0,0","100,0","0,0"
20,1,,Année de recensement,,,,,
20,1,,2006,,,2001,,
20,1,,"Données du
recensement","Nouveau
calcula",Différence,"Données du
recensement","Nouveau
calcula",Différence
20,1,"Population
totale",199 616,221 550,21 934,199 091,220 967,21 876
20,1,"Transferts
linguistiques",134 256,156 190,21 934,132 460,154 336,21 876
20,1,"Taux de
transferts
linguistiques","67,3","70,5","3,2","66,5","69,8","3,3"
21,1,,Année de recensement,,,,,
21,1,,2006,,,2001,,
21,1,,"Données du
recensement","Nouveau
calcula",Différence,"Données du
recensement","Nouveau
calcula",Différence
21,1,"Population
totale",1 026 957,1 115 046,88 089,900 293,977 517,77 224
21,1,"Transferts
linguistiques",730 127,818 216,88 089,676 918,754 142,77 224
21,1,"Taux de
transferts
linguistiques","71,1","73,4","2,3","75,2","77,1","1,9"
21,2,,Année de recensement,,,,,
21,2,,2006,,,2001,,
21,2,,"Données du
recensement","Nouveau
calcula",Différence,"Données du
recensement","Nouveau
calcula",Différence
21,2,"Population
totale",4 277 705,4 334 048,56 343,3 594 157,3 641 497,47 340
21,2,"Transferts
linguistiques",1 478 987,1 535 330,56 343,1 257 618,1 304 958,47 340
21,2,"Taux de
transferts
linguistiques","34,6","35,4","0,8","35,0","35,8","0,8"
