page,table_id,col_1,col_2
9,1,Niveaux de compétence,Études ou formation habituellement exigées
9,1,a – professionnels et gestionnaires,"une formation universitaire (baccalauréat, maîtrise ou doctorat).
cette catégorie comprend aussi toutes les professions en gestion7."
9,1,B – technique,une formation collégiale ou un programme d’apprentissage.
9,1,c – Intermédiaire,"une formation de niveau secondaire ou une formation spécifique
à la profession, ou les deux."
9,1,d – élémentaire,une formation en cours d’emploi.
10,1,,,Niveau de compétence associé à l’emploi,,,
10,1,,,"D
Élémentaire","C
Intermédiaire","B
Technique","A
Professionnels et
gestionnaires"
18,1,,"(0,002)","(0,002)"
18,1,a (professionnels),"0,683***","0,722***"
18,1,,"(0,002)","(0,002)"
18,1,a (gestionnaires),"0,908***","0,930***"
18,1,,"(0,002)","(0,002)"
18,1,Niveaux de surqualification,,
18,1,1 niveau,"0,054***","0,059***"
18,1,,"(0,001)","(0,001)"
18,1,2 niveaux,"0,100***","0,104***"
18,1,,"(0,002)","(0,002)"
18,1,3 niveaux,"0,081***","0,121***"
18,1,,"(0,005)","(0,006)"
18,1,Niveaux de sous- qualification,,
18,1,1 niveau,"– 0,102***","– 0,099***"
18,1,,"(0,001)","(0,001)"
18,1,2 niveaux,"– 0,292***","– 0,305***"
18,1,,"(0,002)","(0,002)"
18,1,3 niveaux,"– 0,450***","– 0,465***"
18,1,,"(0,003)","(0,003)"
18,1,Âge,"0,060***","0,061***"
18,1,,"(0,0002)","(0,0003)"
18,1,Âge au carré,"– 0,001***","– 0,001***"
18,1,,"(0,0000)","(0,0000)"
18,1,homme,"0,241***","0,212***"
18,1,,"(0,001)","(0,001)"
18,1,Immigrant,"– 0,093***","– 0,088***"
18,1,,"(0,001)","(0,001)"
19,1,,2005,2010
19,1,résident temporaire,"– 0,187***","– 0,153***"
19,1,,"(0,005)","(0,004)"
19,1,membre d’une minorité visible,"– 0,132***","– 0,104***"
19,1,,"(0,001)","(0,001)"
19,1,constante,"4,711***","4,580***"
19,1,,"(0,006)","(0,008)"
19,1,Autres variables comprises dans la régression,,
19,1,province de travail,√,√
19,1,rmr de travail,√,√
19,1,secteur d’activité,√,√
19,1,état matrimonial,√,√
19,1,r2,"0,36","0,357"
19,1,n,2 181 260,2 057 420
