page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
8,1,,,,,,,,,,
8,1,,,,,,,,,,
8,1,,,,,,,,,,
8,1,,,,,,,,,,Âge moyen†
8,1,,,,,,,,,,"1932-41 : 18,2*"
8,1,,,,,,,,,,"1942-51 : 19,9*"
8,1,,,,,,,,,,"1952-61 : 20,3*"
8,1,,,,,,,,,,"1962-71 : 21,5"
8,1,,,,,,,,,,
8,2,,,,,,,,,,
8,2,,,,,,,,,,
8,2,,,,,,,,,Âge moyen†,
8,2,,,,,,,,,"1932-41 : 20,8*",
8,2,,,,,,,,,"1942-51 : 19,5*",
8,2,,,,,,,,,"1952-61 : 21,1*",
8,2,,,,,,,,,"1962-71 : 21,9",
8,2,,,,,,,,,,
10,1,,,,,,,,,,
10,1,,,,,,,,,,
10,1,,,,,,,,,,
10,1,,,,,,,,,,
10,1,,,,,,,,,,
10,1,*,,*,,,,,,,
10,2,,,,,,,,,,,
10,2,,,,,,,,,,,
10,2,*,,,*,,,*,,,,
10,2,,,,,,,,,,,
10,2,,,,,,,,,,,
12,1,,,,,,,,,,
12,1,,,,,,,,,,
15,1,,,,,,,,,,,,
15,1,,,,,,,,,,,,
15,1,,,,,,,,,,,,
15,1,,,,,,,,,,,,
15,2,,,,,,,,,,,,
15,2,†,,,,,,,,,,,
15,2,,,,,,,,,,,,
15,2,,,,,,,,,,,,
15,2,,,,,,,,,,,,
15,2,,,,,,,,,,,,
17,1,,,,,,,,,,
17,1,,,,,,,,,,
17,1,,,,,,,,,,
17,1,,,,,,,,,,
17,1,,,,,,,,,,
17,1,,,,,,,,,,
17,1,,,,,,,,,,
17,1,,,,,,,,,,
17,1,,,,,,,,,,
17,1,,,,,,,,,,
17,1,,,,,,,,,,
17,1,,,,,,,,,,
17,1,,,,,,,,,,
17,1,,,,,,,,,,
17,2,,,,,,,,,,
17,2,,,,,,,,,,
17,2,,,,,,,,,,
17,2,,,,,,,,,,
17,2,,,,,,,,,,
17,2,,,,,,,,,,
17,2,,,,,,,,,,
17,2,,,,,,,,,,
17,2,,,,,,,,,,
17,2,,,,,,,,,,
17,2,,,,,,,,,,
