page,table_id,col_1,col_2,col_3,col_4,col_5,col_6
27,1,r2,,,,,"0,145","0,142","0,140"
28,1,,GARÇONS,,,,,,
28,1,,Lecture,Écriture,Math.,Ensemble,"Lecture et
déchiffrement","Lecture et
compréhension","Connaissance
des nombres"
28,1,,Rapports de cotes,,,,Coefficients,,
28,1,"Modèle avec interaction
[Mariés, non séparés]",,,,,,,
28,1,"en union libre, non séparés","0,66","0,76","0,93","0,92","-0,124","0,497","-0,141"
28,1,"mariés, séparés","0,51","0,90","0,66","0,51","-1,046","-0,080","-0,724"
28,1,"en union libre, séparés","0,49†","0,60","0,66","0,40*","-0,239","1,375†","-0,055"
28,1,r2,,,,,"0,146","0,143","0,142"
28,1,n,555,555,546,553,633,605,630
30,1,"Variables de contrôle
[catégorie de référence]",FILLES,,,,,,
30,1,,Lecture,Écriture,Math.,Ensemble,"Lecture et
déchiffrement","Lecture et
compréhension","Connaissance
des nombres"
30,1,,Rapports de cotes,,,,Coefficients,,
30,1,Caractéristiques démographiques des enfants,,,,,,,
30,1,"Âge de l’enfant au 8e passage
(en mois)","1,11**","1,04","1,08*","1,09*","0,203**","0,310***","0,184***"
30,1,"Français uniquement [autres
langues avec ou sans français]","1,25","1,08","1,22","1,49","2,701***","3,287***","0,685†"
30,1,"Premier enfant du couple [rangs
supérieurs]","0,98","1,17","1,10","1,06","0,310","0,406","0,203"
30,1,"demi-fratrie d’une union antérieure
[sans demi-fratrie]","1,35","1,36","1,51","1,55","0,073","0,040","0,288"
30,1,Stimulation cognitive dans le milieu familial,,,,,,,
30,1,"Lecture régulière avant 29 mois
[après 29 mois ou jamais]","1,17","2,06*","1,71†","1,35","1,116†","0,844","0,026"
30,1,"Verbalisation de la mère forte
[faible ou moyenne]","1,21","0,98","1,48†","0,98","0,711","0,882*","0,152"
30,1,"40 livres pour enfants ou plus à la
maison [moins de 40]","1,70*","1,36","1,30","1,74*","0,496","0,866†","0,869*"
30,1,Milieu socio-économique et relationnel,,,,,,,
30,1,"nombre d’épisodes sous le seuil de
faible revenu","0,94","0,95","1,00","0,93","-0,189","-0,144","-0,216**"
31,1,"Variables de contrôle
[catégorie de référence]",FILLES,,,,,,
31,1,,Lecture,Écriture,Math.,Ensemble,"Lecture et
déchiffrement","Lecture et
compréhension","Connaissance
des nombres"
31,1,,Rapports de cotes,,,,Coefficients,,
31,1,"nombre d’épisodes en mauvaise
santé","0,94","0,87","1,01","0,94","-0,189","-0,275","-0,419**"
31,1,"Fonctionnement familial faible [bon
ou moyen]","0,83","0,87","0,90","0,83","-0,615","-0,200","-0,020"
31,1,"symptômes de dépression élevés
[faibles ou moyens]","1,10","1,02","1,04","1,14","-0,007","0,000","0,207"
31,1,mode de garde à 3 ½ ans [non gardé],,,,,,,
31,1,au domicile,"1,74","1,82","2,15†","1,77","0,604","0,083","0,793"
31,1,en milieu familial,"1,07","1,00","0,83","0,98","0,075","-0,116","-0,256"
31,1,en garderie,"0,94","0,85","1,23","0,97","-0,025","-0,623","-0,222"
31,1,Caractéristiques des parents à la naissance,,,,,,,
31,1,Âge de la mère [moyen (22 à 36 ans)],,,,,,,
31,1,mère jeune (22 ans et moins),"1,56","1,26","0,73","1,16","-0,057","-0,324","-0,561"
31,1,mère âgée (plus de 36 ans),"0,96","1,03","0,95","0,97","-0,156","-0,730","0,211"
31,1,Âge du père [moyen (25 à 39 ans)],,,,,,,
31,1,Père jeune (25 ans et moins),"0,51†","0,34*","0,67","0,67","-0,551","-1,131","-0,542"
31,1,Père âgé (plus de 39 ans),"1,07","1,43","1,13","1,33","1,585","1,123","0,546"
31,1,"nombre d’années de scolarité
de la mère","1,10†","1,16**","1,10†","1,12*","0,163","0,260**","0,146*"
32,1,"Variables de contrôle
[catégorie de référence]",FILLES,,,,,,
32,1,,Lecture,Écriture,Math.,Ensemble,"Lecture et
déchiffrement","Lecture et
compréhension","Connaissance
des nombres"
32,1,,Rapports de cotes,,,,Coefficients,,
32,1,"nombre d’années de scolarité
du père","1,14**","1,06","1,14**","1,10*","0,408***","0,259**","0,205***"
32,1,mère immigrante [née au Canada],"0,83","0,57","0,41*","0,55","2,197*","1,059","-0,335"
32,1,Constante,,,,,"-15,502*","-28,169***","-1,958"
32,1,"statistique F du test Wald pour l’in-
fluence conjointe de la scolarité de la
mère et du père (ddl = 2 ; ddl > 300)
1 2","10,86***","7,10***","9,58***","8,88***","16,08***","12,72***","12,07***"
32,1,n,618,613,614,623,705,688,697
33,1,"Variables de contrôle
[catégorie de référence]",GARÇONS,,,,,,
33,1,,Lecture,Écriture,Math.,Ensemble,"Lecture et
déchiffrement","Lecture et
compréhension","Connaissance
des nombres"
33,1,,Rapports de cotes,,,,Coefficients,,
33,1,Caractéristiques démographiques des enfants,,,,,,,
33,1,"Âge de l’enfant au 8e passage
(en mois)","1,00","1,07†","1,05","1,06","0,109","0,119†","0,092†"
33,1,"Français uniquement [autres
langues avec ou sans français]","1,03","0,98","1,14","0,94","2,119***","2,229***","0,215"
33,1,"Premier enfant du couple
[rangs supérieurs]","2,08**","2,61***","1,28","1,95**","0,941†","1,533***","0,551"
33,1,"demi-fratrie d’une union antérieure
[sans demi-fratrie]","0,24***","0,30*","0,44*","0,40*","-2,070**","-2,363***","0,059"
33,1,Stimulation cognitive dans le milieu familial,,,,,,,
33,1,"Lecture régulière avant 29 mois
[après 29 mois ou jamais]","1,00","1,65","1,57","1,41","0,136","0,630","0,447"
33,1,"Verbalisation de la mère forte
[faible ou moyenne]","2,00**","1,89*","1,54†","2,25**","0,639","1,144*","0,462"
33,1,"40 livres pour enfants ou plus à
la maison [moins de 40]","0,99","0,70","0,80","0,72","-0,207","-0,120","0,617"
33,1,Milieu socio-économique et relationnel,,,,,,,
33,1,"nombre d’épisodes sous le seuil de
faible revenu","1,03","1,08","1,06","1,13†","0,024","-0,094","-0,115"
34,1,"Variables de contrôle
[catégorie de référence]",GARÇONS,,,,,,
34,1,,Lecture,Écriture,Math.,Ensemble,"Lecture et
déchiffrement","Lecture et
compréhension","Connaissance
des nombres"
34,1,,Rapports de cotes,,,,Coefficients,,
34,1,"nombre d’épisodes en mauvaise
santé","0,78**","0,84†","0,84*","0,84†","-0,212","0,049","-0,079"
34,1,"Fonctionnement familial faible
[bon ou moyen]","1,52†","1,49","1,49","1,85*","0,434","0,306","0,169"
34,1,"symptômes de dépression élevés
[faibles ou moyens]","1,18","0,89","1,44","1,16","0,987†","0,242","0,813*"
34,1,mode de garde à 3 ½ ans [non gardé],,,,,,,
34,1,au domicile,"1,32","0,84","2,61*","0,76","0,425","0,680","1,612*"
34,1,en milieu familial,"1,41","1,43","1,43","1,38","0,768","0,611","0,850*"
34,1,en garderie,"0,74","0,68","0,87","0,88","0,321","0,153","0,341"
34,1,Caractéristiques des parents à la naissance,,,,,,,
34,1,Âge de la mère [moyen (22 à 36 ans)],,,,,,,
34,1,mère jeune (22 ans et moins),"0,75","0,77","0,94","0,66","-1,220","-1,422†","-0,812"
34,1,mère âgée (plus de 36 ans),"2,57*","1,87","1,50","2,48*","-1,820*","-0,754","-0,439"
34,1,Âge du père [moyen (25 à 39 ans)],,,,,,,
34,1,Père jeune (25 ans et moins),"0,83","1,01","0,75","1,01","-0,143","0,499","0,596"
34,1,Père âgé (plus de 39 ans),"0,30*","0,58","0,86","0,35*","0,351","0,416","0,285"
34,1,"nombre d’années de scolarité
de la mère","1,05","1,12*","1,10*","1,09†","0,390***","0,292**","0,262***"
35,1,"Variables de contrôle
[catégorie de référence]",GARÇONS,,,,,,
35,1,,Lecture,Écriture,Math.,Ensemble,"Lecture et
déchiffrement","Lecture et
compréhension","Connaissance
des nombres"
35,1,,Rapports de cotes,,,,Coefficients,,
35,1,"nombre d’années de scolarité
du père","1,06","1,06","1,08","1,05","0,218*","0,213*","0,149*"
35,1,mère immigrante [née au Canada],"0,83","0,77","0,56","0,54","3,326***","1,010","-0,317"
35,1,Constante,,,,,"-7,073","-11,120†","4,699"
35,1,"statistique F du test Wald pour l’in-
fluence conjointe de la scolarité de la
mère et du père (ddl = 2 ; ddl > 300)
1 2","2,31","4,20*","4,95**","2,76†","12,00***","9,49***","13,54***"
35,1,n,555,555,546,553,633,605,630
