page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7
14,1,"Lieu de résidence et type
de famille","Proportion d’enfants vivant au sein de
familles francophones (%)",,,,,"Nombre
d’enfants en 2011"
14,1,,1991,1996,2001,2006,2011,
14,1,Canada,,,,,,
14,1,"enfants de familles
exogames","18,1","18,6","19,7","21,3","22,1",255 305
14,1,"enfants de familles
endogames","81,9","81,4","80,3","78,7","77,9",902 305
14,1,Québec,,,,,,
14,1,"enfants de familles
exogames","7,4","7,7","8,5","10,0","10,9",101 485
14,1,"enfants de familles
endogames","92,6","92,3","91,5","90,0","89,1",825 820
15,1,"Lieu de résidence et type
de famille","Proportion d’enfants vivant au sein de
familles francophones (%)",,,,,"Nombre
d’enfants en 2011"
15,1,,1991,1996,2001,2006,2011,
15,1,Hors Québec,,,,,,
15,1,"enfants de familles
exogames","56,5","59,5","61,7","65,8","66,8",153 820
15,1,"enfants de familles
endogames","43,5","40,5","38,3","34,2","33,2",76 485
16,1,"Lieu de
résidence","Langue
maternelle
transmise",Type de famille,,,,
16,1,,,"Exogame
— mère
francophone
(%)","Exogame
— père
francophone
(%)","Exogame
— total
(%)","Endogame
(%)",
16,1,Québec,français,"82,5","64,8","74,2","99,5",
16,1,,anglais,"15,6","28,4","21,6","0,3",
16,1,,"autre
seulement","1,8","6,8","4,1","0,1",
16,1,,Total,"100,0","100,0","100,0","100,0",
17,1,"Lieu de
résidence","Langue
maternelle
transmise",Type de famille,,,,
17,1,,,"Exogame
— mère
francophone
(%)","Exogame
— père
francophone
(%)","Exogame
— total
(%)","Endogame
(%)",
17,1,"Reste du
Canada",français,"38,6","19,3","29,1","91,0",
17,1,,anglais,"60,6","78,7","69,5","8,5",
17,1,,"autre
seulement","0,8","2,0","1,4","0,5",
17,1,,Total,"100,0","100,0","100,0","100,0",
17,2,"Lieu de
résidence",Type de famille,1991,1996,2001,2006,2011
17,2,Québec,exogame maternelle,"78,6","80,3","80,8","81,2","82,5"
17,2,,exogame paternelle,"54,8","58,1","59,7","60,6","64,8"
17,2,,endogame,"99,7","99,6","99,6","99,4","99,5"
17,2,,Total,"97,3","97,4","97,2","96,6","96,8"
17,2,"Reste du
Canada",exogame maternelle,"23,0","27,2","29,6","34,1","38,6"
17,2,,exogame paternelle,"10,1","12,3","12,9","15,0","19,3"
17,2,,endogame,"91,2","91,8","91,6","91,9","91,0"
17,2,,Total,"49,5","49,0","48,3","47,8","49,7"
18,1,"Lieu de
résidence",Famille exogame maternelle,,Famille exogame paternelle,,,
