page,table_id,col_1,col_2,col_3,col_4,col_5,col_6
18,1,,,,,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,,,,,
20,1,,"Modèle 4
(qualifiés)","Modèle 5
(peu/pas qualifiés)",,,
20,1,Statut de résidence (immigrant récent),,,,,
20,1,temporaire récent†,"-0,008","-0,053***",,,
20,1,temporaire d’expérience†,"-0,039***","0,041***",,,
20,1,Pays de naissance (Europe),,,,,
20,1,états- unis†,"0,070***","-0,019**",,,
20,1,amérique latine†,"-0,063***","-0,059***",,,
20,1,asie†,"-0,160***","-0,115***",,,
20,1,autres pays†,"-0,089***","-0,065***",,,
20,1,Lieu de résidence (Calgary [Alberta]),,,,,
20,1,montréal (Québec) †,"-0,110***","-0,147***",,,
20,1,ottawa - gatineau (ontario/Québec) †,"-0,030***","-0,050***",,,
20,1,toronto (ontario) †,"-0,095***","-0,174***",,,
20,1,edmonton (alberta),"-0,002","0,020**",,,
20,1,vancouver (colombie- Britannique),"-0,056***","-0,082***",,,
20,1,autres régions métropolitaines†,"-0,113***","-0,078***",,,
20,1,Sexe (homme),,,,,
20,1,Femme†,"-0,146***","-0,160***",,,
20,1,Âge (25 à 34 ans),,,,,
20,1,15 à 24 ans,"-0,060***","-0,067***",,,
20,1,35 à 44 ans†,"0,115***","0,034***",,,
20,1,45 à 64 ans†,"0,103***","0,026***",,,
20,1,65 ans et plus,"0,008","-0,001",,,
20,1,Statut matrimonial (en couple),,,,,
20,1,célibataire†,"-0,035***","-0,018**",,,
20,1,séparé/divorcé,"0,009*","0,019**",,,
20,1,veuf,"-0,006","-0,001",,,
20,1,Langue (anglais seulement),,,,,
20,1,Français seulement†,"-0,055***","-0,047***",,,
20,1,anglais et français,"-0,020**","-0,002",,,
20,1,"ni anglais, ni français†","-0,060***","-0,055***",,,
21,1,,"Modèle 4
(qualifiés)","Modèle 5
(peu/pas qualifiés)",,,
21,1,Secteur d’activité (services gouvernementaux),,,,,
21,1,primaire†,"0,079***","-0,005",,,
21,1,secondaire†,"0,040***","-0,029**",,,
21,1,services à la production†,"0,052***","-0,076***",,,
21,1,services à la consommation†,"-0,104***","-0,212***",,,
21,1,Niveau de compétence de l’emploi,,,,,
21,1,0 gestion,ref.,,,,
21,1,a personnel professionnel,"0,029***",,,,
21,1,B niveau B de la cnp,"-0,176***",,,,
21,1,c niveau c de la cnp,,"0,043***",,,
21,1,d niveau d de la cnp,,ref.,,,
21,1,Adéquation formation- emploi (adéquat),,,,,
21,1,sous- qualifié†,"-0,081***","-0,021**",,,
21,1,surqualifié†,"-0,023**","0,008",,,
21,1,Semaines travaillées (49 à 52 semaines),,,,,
21,1,1 à 26 semaines†,"0,055***","0,218***",,,
21,1,27 à 39 semaines†,"-0,017**","0,041***",,,
21,1,40 à 48 semaines†,"-0,022***","0,038***",,,
21,1,Horaire de travail habituel en 2015 (temps partiel),,,,,
21,1,temps plein†,"0,194***","0,201***",,,
21,1,Heures de travail semaine précédant enquête,,,,,
21,1,heures (variable continue),"0,080***","0,096***",,,
21,1,R2 ajusté,"0,296***","0,218***",,,
21,1,N,32 185,23 860,,,
27,1,,Immigrants,,"Travailleurs
temporaires†",Total,
27,1,,"Établis
(≥ 5ans)","Récents
(< 5ans)",,,
27,1,Lieu de naissance,,,,,
27,1,états- unis,"1,5*","0,8*","6,0","1,9",
27,1,amérique centrale et du sud,"8,1*","6,5*","10,3","8,2",
27,1,europe,"21,5*","16,0*","23,1","21,2",
27,1,afrique,"8,5*","9,6*","6,4","8,4",
