page,table_id,col_1,col_2,col_3,col_4,col_5
10,1,,"hommes
(N : 6340)",,"Femmes
(N : 9115)",
10,1,,moyenne,proportion,moyenne,proportion
10,1,Variable dépendante,,,,
10,1,Valeur nette,241 932 $,,247 561 $,
10,1,Variables indépendantes,,,,
10,1,Genre (réf. homme),,"0,46",,"0,54"
10,1,Sans enfant dans le ménage (réf. avec enfants),,"0,96",,"0,83"
10,1,Revenu du ménage,39 618 $,,32 622 $,
10,1,Réception d’une maison en héritage (réf. non),,"0,04",,"0,04"
10,1,Actifs possédés,,,,
10,1,possession d’une maison (réf. non),,"0,33",,"0,38"
10,1,possession de fonds mutuels (réf. non),,"0,17",,"0,18"
10,1,possession d’une entreprise (réf. non),,"0,12",,"0,05"
10,1,Âge du répondant,45,,52,
10,1,Niveau d’éducation (réf. diplôme d’études secondaires),,"0,27",,"0,22"
10,1,pas de diplôme secondaire,,"0,20",,"0,26"
10,1,Diplôme d’une école de métier,,"0,33",,"0,33"
10,1,Diplôme universitaire,,"0,20",,"0,19"
10,1,Né au Canada (réf. non),,"0,80",,"0,80"
10,1,Statut matrimonial (ref. séparé),,"0,11",,"0,12"
10,1,En couple,,"0,04",,"0,02"
10,1,Divorcé,,"0,16",,"0,22"
10,1,Veuf,,"0,09",,"0,22"
10,1,Célibataire,,"0,60",,"0,42"
10,1,Région de résidence,,"0,27",,"0,27"
10,1,Atlantique,,"0,06",,"0,07"
10,1,Québec,,"0,27",,"0,27"
10,1,ontario,,"0,34",,"0,35"
10,1,prairies,,"0,18",,"0,16"
10,1,Colombie- Britannique,,"0,15",,"0,14"
13,1,,25e percentile,,50e percentile,,90e percentile,
13,1,,"Coeffi-
cient","écart-
type","Coeffi-
cient","écart-
type","Coeffi-
cient","écart-
type"
13,1,Variables indépendantes,,,,,,
13,1,Genre (réf. homme),466,881,-6 513,3 443,-45 771*,18 640
13,1,Sans enfant (réf. avec enfants),-792,1 472,-8 545,6 054,-21 351,23 000
13,1,Variables de contrôle,,,,,,
13,1,Âge,817*,88,4 007*,209,14 569*,704
13,1,Âge au carré,"7,23*","3,06","4,54","8,13","-152,43","30,55"
13,1,Niveau d’éducation (réf. diplôme d’études secondaires),,,,,,
13,1,pas de diplôme secondaire,-16 080*,2 111,-70 605*,5 454,-13 8164*,25 708
13,1,Diplôme d’une école de métier,2 583*,828,10 583*,3 958,-8 562,22 550
13,1,Diplôme universitaire,10 432*,1 747,43 289*,8 358,30 4932*,46 216
13,1,Immigrant (réf. né au Canada),-6 366*,1 317,-20 227*,4 463,-56 493*,25 005
13,1,Statut matrimonial (réf. séparé),,,,,,
13,1,En couple,-1 479,2 783,-11 305,27 480,27 3681*,93 117
13,1,Divorcé,1 688,2 840,21 856,12 060,85 715*,40 228
13,1,Veuf,25 219*,6 774,82 560*,13 121,193 226*,34 488
13,1,Célibataire,1 150,1 844,-1 777,7 153,59 971,36 637
13,1,Région de résidence (réf. ontario),,,,,,
13,1,Atlantique,-2 419,1 328,-18 218*,5 790,-66 452*,22 124
