page,table_id,col_1,col_2,col_3,col_4,col_5,col_6
9,1,,Type de famille recomposée,,,,"Répartition
selon le sexe
du répondant"
9,1,Sexe du répondant,"Avec belle-
mère","Avec beau-
père","Avec beau-père
et belle-mère",Total,
9,1,A — Épisodes en cours,,,,,
9,1,Hommes,"26,2","57,8","16,0","100,0","50,4"
9,1,Femmes,"17,3","77,3","5,4","100,0","49,6"
9,1,Total,"21,8","67,4","10,7","100,0","100,0"
9,2,B — Épisodes terminés,,,,,
9,2,Hommes,"55,9","40,1","4,0","100,0","34,3"
9,2,Femmes,"11,8","85,2","3,0","100,0","65,7"
9,2,Total,"26,9","69,8","3,4","100,0","100,0"
12,1,Familles avec beau-père,,,,,
12,1,,,,,,
12,1,Familles avec belle-mère,,,,,
12,1,Familles avec beau-père,,,,,
12,1,,,,,,
12,1,,,,,,
13,1,,,,,,
13,1,,,,,,
13,1,,,,,,
13,1,,,,,,
13,1,,"Familles-beau-père
Familles-belle-mère",,,,
13,1,Répondant – Femme Répondant – Homme Répondant – Parent Répondant – Beau-parent,,,,,
15,1,Facteurs,Sexe du répondant,,Rôle du répondant,,
15,1,,Femmes,Hommes,Parent,Beau-parent,
15,1,"Effets bruts
Type de famille recomposée (Avec beau-père)",,,,,
15,1,Avec belle-mère,"0,34***","3,37***","0,82","1,41",
15,1,"Effets nets
Type de famille recomposée (Avec beau-père)",,,,,
15,1,Avec belle-mère,"0,33***","5,67***","0,91","2,19 **",
15,1,Naissance d’un enfant du couple (Non),,,,,
15,1,Oui,"0,85","0,75","0,80 †","0,90",
15,1,Âge de la femme,"0,95**","1,04*","0,98†","1,05",
15,1,Âge de l’homme,"1,00","0,94**","0,99","0,95",
15,1,Âge du plus jeune enfant (0-4 ans),,,,,
15,1,5-11 ans,"0,81","0,48***","0,67 **","0,60",
15,1,12 ans ou plus,"0,97","0,89","0,88","1,15",
15,1,Nombre d’enfants (1 enfant),,,,,
15,1,2 enfants,"0,92","0,72","0,81","1,24",
15,1,3 enfants ou plus,"0,82","0,78","0,70†","2,02",
15,1,Période traversée par l’épisode (1970-1979),,,,,
15,1,Avant 1970,"0,42**","0,21 **","0,40 **","0,00",
15,1,1980-1989,"1,55*","1,57","1,66 **","1,17",
15,1,1990 et après,"2,76***","1,69","2,73***","0,71",
15,1,Région et Type d’union (Ailleurs au Canada — mariage),,,,,
15,1,Ailleurs au Canada — union libre,"1,20","1,26","1,17","2,01",
15,1,Québec — union libre,"1,39†","3,45***","1,61 **","2,98**",
15,1,Québec — mariage,"1,00","1,16","1,07","0,74",
15,1,N,1 306,672,1 478,500,
17,1,"Épisodes en cours
Épisodes terminés, départ des enfants
Épisodes terminés, rupture d'union",,,,,
17,1,,,,,,
17,2,,,49,,,
17,2,28,,,,,
17,2,,23,,,,
17,3,43,,,,,
17,3,,,30,,,
17,3,,26,,,,
18,1,31,,,,,
18,1,69,,,,,
18,2,51,,,,,
18,2,49,,,,,
18,3,64,,,,,
18,3,36,,,,,
18,4,18,,,,,
18,4,82,,,,,
18,5,20,,,,,
18,5,80,,,,,
18,6,9,,,,,
18,6,91,,,,,
18,7,,,,,,
18,7,,,,,,
19,1,,,53,,,
19,1,26,,,,,
19,1,,21,,,,
19,2,52,,,,,
19,2,,25,,,,
19,2,,,23,,,
19,3,,,45,,,
19,3,,29,,,,
19,3,26,,,,,
19,4,37,,,,,
19,4,,32,,,,
19,4,,,31,,,
