page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
2,1,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,
10,1,Variables,n,%,,,,,,,,,,,,,,
10,1,Variables mesurant l’état de santé,,,,,,,,,,,,,,,,
10,1,Nombre d’incapacités,,,,,,,,,,,,,,,,
10,1,1 incapacité,200,"34,4",,,,,,,,,,,,,,
10,1,2 incapacités,207,"35,6",,,,,,,,,,,,,,
10,1,3 incapacités ou plus,164,"28,2",,,,,,,,,,,,,,
10,1,"Non réponse (NR), ne sait pas (NSP)",11,"1,9",,,,,,,,,,,,,,
10,1,Type d’incapacité,,,,,,,,,,,,,,,,
10,1,incapacité d’audition,212,"36,4",,,,,,,,,,,,,,
10,1,incapacité de vision,88,"15,1",,,,,,,,,,,,,,
10,1,incapacité de mobilité,404,"69,4",,,,,,,,,,,,,,
10,1,incapacité d’agilité,356,"61,2",,,,,,,,,,,,,,
10,1,incapacité cognitive,119,"20,4",,,,,,,,,,,,,,
10,1,incapacités autres (physique ou parole),50,"8,6",,,,,,,,,,,,,,
10,1,"Non réponse (NR), ne sait pas (NSP)",11,"1,9",,,,,,,,,,,,,,
11,1,Variables,n,%,,,,,,,,,,,,,,
11,1,Variables mesurant la prédisposition face à l’utilisation des soins de santé,,,,,,,,,,,,,,,,
11,1,Sexe,,,,,,,,,,,,,,,,
11,1,femme,349,"60,0",,,,,,,,,,,,,,
11,1,Âge,,,,,,,,,,,,,,,,
11,1,65 à 69 ans,139,"23,9",,,,,,,,,,,,,,
11,1,70 à 74 ans,173,"29,7",,,,,,,,,,,,,,
11,1,75 à 79 ans,123,"21,1",,,,,,,,,,,,,,
11,1,80 ans et plus,146,"25,1",,,,,,,,,,,,,,
11,1,Scolarité,,,,,,,,,,,,,,,,
11,1,moins de 9 ans d’études,325,"55,8",,,,,,,,,,,,,,
11,1,9 à 13 ans (secondaire non terminé),142,"24,4",,,,,,,,,,,,,,
11,1,13 ans ou plus (diplôme d’études secondaires),104,"17,9",,,,,,,,,,,,,,
11,1,"Non réponse (NR), ne sait pas (NSP)",11,"1,9",,,,,,,,,,,,,,
11,1,Variables mesurant la capacité d’utilisation,,,,,,,,,,,,,,,,
11,1,Habite dans une région éloignée,57,"9,8",,,,,,,,,,,,,,
11,1,Reçoit de l’aide d’un réseau informel,343,"58,9",,,,,,,,,,,,,,
11,1,Reçoit de l’aide d’un réseau formel,38,"6,4",,,,,,,,,,,,,,
11,1,Autre variable,,,,,,,,,,,,,,,,
11,1,Observation incluant au moins une NR ou NSP,22,"3,8",,,,,,,,,,,,,,
16,1,Groupe d’âge,Nombre d’incapacités,,,Moyenne des coûts,,,,,,,,,,,,
16,1,,1,2,3 ou plus,,,,,,,,,,,,,
16,1,65 à 69 ans,495,873,1398,796,,,,,,,,,,,,
16,1,70 à 74 ans,697,887,940,858,,,,,,,,,,,,
16,1,75 à 79 ans,557,1121,1059,921,,,,,,,,,,,,
16,1,80 ans et plus,278,678,571,537***,,,,,,,,,,,,
16,1,Moyenne des coûts,540**,885,896,775,,,,,,,,,,,,
17,1,Groupe d’âge,Nombre d’incapacités,,,Moyenne des coûts,,,,,,,,,,,,
17,1,,1,2,3 ou plus,,,,,,,,,,,,,
17,1,65 à 69 ans,524,882,1736,872,,,,,,,,,,,,
17,1,70 à 74 ans,831,1109,1148,991,,,,,,,,,,,,
17,1,75 à 79 ans,865,1393,1563,1275,,,,,,,,,,,,
17,1,80 ans et plus,415,819,1255,921,,,,,,,,,,,,
17,1,Moyenne des coûts,677***,1046,1369**,1005,,,,,,,,,,,,
18,1,Type d’incapacité,CCPS,,CCPP,,,,,,,,,,,,,
18,1,,Coûts,"Rapport à
la moyenne",Coûts,"Rapport à
la moyenne",,,,,,,,,,,,
18,1,Audition,684,"0,88",1005,"1,00",,,,,,,,,,,,
18,1,Vision,934,"1,20",1420*,"1,41",,,,,,,,,,,,
18,1,Mobilité,836,"1,08",1138**,"1,13",,,,,,,,,,,,
18,1,Agilité,811,"1,05",1049,"1,04",,,,,,,,,,,,
18,1,Cognition,1147*,"1,48",1547**,"1,54",,,,,,,,,,,,
18,1,Autre,905,"1,17",833,"0,83",,,,,,,,,,,,
19,1,Variables,CCPS,CCPP,,,,,,,,,,,,,,
19,1,Scolarité,,,,,,,,,,,,,,,,
19,1,"Moins de 9 ans d’études
9 à 13 ans d’études
13 ans d’études ou plus","721
773
753","976
1 090
727*",,,,,,,,,,,,,,
19,1,Habite dans une région éloignée,,,,,,,,,,,,,,,,
19,1,"Oui
Non","580*
797","971
1 009",,,,,,,,,,,,,,
19,1,Aide du réseau informel,,,,,,,,,,,,,,,,
