page,table_id,col_1,col_2,col_3,col_4,col_5,col_6
15,1,,Basque,Espagnol,Basque et espagnol,Autre,Total
15,1,1986,"0,7","93,5","0,4","5,4",100
15,1,1991,"1,0","93,8","0,4","4,9",100
15,1,1996,"1,0","92,9","0,5","5,7",100
15,1,2001,"1,0","92,2","0,5","6,3",100
15,1,2006,"1,4","88,7","0,7","9,2",100
15,2,,Basque,Espagnol,Basque et espagnol,Autre,Total
15,2,1986,"28,7","65,8","5,4","0,2",100
15,2,1991,"28,1","67,0","4,7","0,2",100
15,2,1996,"27,3","67,4","5,1","0,2",100
15,2,2001,"26,6","68,1","5,2","0,2",100
15,2,2006,"26,2","67,8","5,9","0,2",100
16,1,,Euskaldunes,Quasi-euskaldunes,Erdaldunes,Total,
16,1,1986,"2,4","8,2","89,4",100,
16,1,1991,"2,7","9,0","88,3",100,
16,1,1996,"4,8","9,5","85,7",100,
16,1,2001,"5,3","13,3","81,4",100,
16,1,2006,"12,9","15,7","71,3",100,
16,2,,Euskaldunes,Quasi-euskaldunes,Erdaldunes,Total,
16,2,1986,"33,8","21,3","44,9",100,
16,2,1991,"35,4","24,0","40,6",100,
16,2,1996,"40,4","23,4","36,2",100,
16,2,2001,"42,3","26,7","31,0",100,
16,2,2006,"46,7","24,6","28,7",100,
