page,table_id,col_1,col_2
6,1,Niveau de compétence,Études/formation caractérisant habituellement les professions
6,1,A – professionnel et gestionnaires,"Une formation universitaire (baccalauréat, maîtrise ou doctorat)"
6,1,B – Technique,Une formation collégiale ou un programme d’apprentissage
6,1,C – Intermédiaire,"Une formation de niveau secondaire ou une formation spécifique à
la profession, ou les deux"
14,1,Europe ou autres pays,"1,56***","[1,46, 1,66]","1,56***","[1,46, 1,66]"
14,1,Afrique,"3,59***","[3,23, 3,98]","3,58***","[3,23, 3,98]"
14,1,"Asie ouest, Centr. et moy.-orient","2,80***","[2,44, 3,21]","2,80***","[2,44, 3,21]"
14,1,Asie,"4,07***","[3,62, 4,57]","4,09***","[3,64, 4,59]"
14,1,états-Unis,"0,64***","[0,57, 0,73]","0,64***","[0,57, 0,73]"
14,1,Domaine d’études [STGM],,,,
14,1,Commerce et administration,"1,58***","[1,52, 1,64]","1,58***","[1,53, 1,64]"
14,1,"Arts, sc. hum. et soc., droit","1,96***","[1,89, 2,03]","1,96***","[1,90, 2,03]"
14,1,Soins de santé,"0,52***","[0,49, 0,54]","0,51***","[0,49, 0,54]"
14,1,éducation et enseignement,"0,64***","[0,61, 0,67]","0,64***","[0,61-0,67]"
14,1,"métiers, services, res. nat. conserv.","1,59***","[1,51, 1,68]","1,59***","[1,51, 1,68]"
14,1,Interaction Sexe x Ménage,,,,
14,1,homme Enfant vs pas en couple,,,"1,72***","[1,61, 1,85]"
14,1,homme En couple vs pas en couple,,,"0,76***","[0,73, 0,80]"
14,1,Femme Enfant vs pas en couple,,,"1,47***","[1,37, 1,57]"
14,1,Femme En couple vs pas en couple,,,"0,86***","[0,83, 0,89]"
14,1,Interaction Région x Parle anglais,,,,
14,1,montréal Anglais vs Non,,,"0,77***","[0,74, 0,80]"
14,1,Québec Anglais vs Non,,,"0,74***","[0,69, 0,80]"
14,1,Sherb. ou Trois-Riv. Anglais vs Non,,,"0,77***","[0,68, 0,86]"
14,1,Gatineau Anglais vs Non,,,"0,86","[0,73, 1,01]"
14,1,Autres régions Anglais vs Non,,,"0,86***","[0,81, 0,90]"
14,1,-2 Log Likelihood,"1 144 776,3",,"1 144 776,3",
14,1,Khi-deux -2LL,"84192,9 (ddl = 27) p < 0,0001",,"84629,2 (ddl=33) p < 0,0001",
16,1,,Modèle 1,,Modèle 2,
16,1,,Sans effets d’interaction,,Avec effets d’interaction,
16,1,,RC,IC 95 %,RC,IC 95 %
16,1,Sexe [Femme],,,,
16,1,homme,"0,87***","[0,85, 0,88]",—,—
16,1,Groupe d’âge [35-44 ans],,,,
16,1,18-24 ans,"2,46***","[2,36, 2,56]","2,46***","[2,36, 2,57]"
16,1,25-29 ans,"1,20***","[1,17, 1,24]","1,20***","[1,17, 1,24]"
16,1,30-34 ans,"1,01","[0,98, 1,04]","1,01","[0,98, 1,04]"
16,1,45 ans et plus,"1,06***","[1,04, 1,09]","1,07***","[1,04, 1,09]"
16,1,Parle français [Non],,,,
16,1,oui,1,"[0,96, 1,05]",1,"[0,95, 1,05]"
16,1,Parle anglais [Non],,,,
16,1,oui,"0,69***","[0,68, 0,71]",—,—
16,1,Vit avec enfant(s) [Non],,,,
16,1,oui,"0,87***","[0,86, 0,89]","0,88***","[0,86, 0,89]"
16,1,Ménage [Pas en couple],,,,
16,1,En couple dans le ménage,"0,81***","[0,79, 0,82]",—,—
16,1,Enfant dans le ménage,"1,51***","[1,45, 1,57]",—,—
16,1,Région [Montréal],,,,
16,1,Québec,"0,94***","[0,92, 0,96]",—,—
16,1,Sherbrooke ou Trois-Rivières,"1,03","[0,99, 1,07]",—,—
16,1,Gatineau,"0,79***","[0,76, 0,82]",—,—
16,1,Autres régions du Québec,1,"[0,98, 1,02]",—,—
16,1,Immigrant [Non],,,,
16,1,oui,"1,24***","[1,21, 1,27]","1,24***","[1,21, 1,27]"
16,1,Minorité visible (inclut autochtones) [Non],,,,
16,1,oui,"1,33***","[1,30, 1,36]","1,33***","[1,30, 1,37]"
17,1,,Modèle 1,,Modèle 2,
17,1,,Sans effets d’interaction,,Avec effets d’interaction,
17,1,,RC,IC 95 %,RC,IC 95 %
17,1,Origine du diplôme [Canada],,,,
17,1,Amérique latine,"3,27***","[3,09, 3,46]","3,25***","[3,07, 3,44]"
17,1,Europe ou autres pays,"1,58***","[1,51, 1,65]","1,58***","[1,51, 1,65]"
