page,table_id,col_1,col_2,col_3,col_4,col_5,col_6
10,1,,,Données niveau national,,Résultats niveau local,
10,1,Âge (ans),"Effectifs
de femmes","Taux de
fécondité","Naissances
attendues","Naissances
observées","Taux de
fécondité"
10,1,15-19,39 528,"0,0044",174,351,"0,0089"
10,1,20-24,28 993,"0,0513",1 487,2 999,"0,1034"
10,1,25-29,24 158,"0,1111",2 684,5 412,"0,02240"
10,1,30-34,17 137,"0,1292",2 214,4 464,"0,2605"
10,1,35-39,15 006,"0,1089",1 634,3 295,"0,2196"
10,1,40-44,12 076,"0,0477",576,1 161,"0,0962"
10,1,45-49,9 397,"0,0023",22,44,"0,0046"
10,1,Total,146 294,"0,4549",8 791,17 726,"0,9173"
10,1,TFR,X,"2,2745",X,X,"4,5863"
10,1,CBR,X,X,"13,9","28,03",X
10,1,Naissances 2006,,17 726,,,
10,1,Population totale,,632 487,,,
11,1,Wilayates,"ISF direct
(1)","ISF indirect
(2)","Différence relative
(3) = [(1) − (2)]/1",Wilayates,"ISF direct
(1)","ISF indirect
(2)","Différence relative
(3) = [(1) − (2)]/1"
11,1,ADRAR,"4,60","4,38","0,048",CONSTANTINE,"2,21","2,14","0,032"
11,1,CHLEF,"2,84","2,69","0,053",MEDEA,"2,47","2,36","0,045"
11,1,LAGHOUAT,"3,28","3,18","0,03",MOSTAGANEM,"2,66","2,60","0,023"
11,1,OUM EL BOUAGHI,"2,68","2,63","0,019",M SILA,"3,61","3,49","0,033"
11,1,BATNA,"3,06","2,94","0,039",MASCARA,"2,57","2,51","0,023"
11,1,BEJAIA,"2,17","2,15","0,009",OUARGLA,"4,06","3,90","0,039"
11,1,BISKRA,"3,64","3,51","0,036",ORAN,"2,19","2,16","0,014"
11,1,BECHAR,"2,87","2,76","0,038",EL BAYADH,"3,57","3,43","0,039"
11,1,BLIDA,"2,32","2,27","0,022",ILLIZI,"4,81","4,61","0,042"
11,1,BOUIRA,"2,43","2,32","0,045",B. B. ARRERIDJ,"3,02","3,04","-0,007"
11,1,TAMANRASSET,"4,47","4,26","0,047",BOUMERDES,"2,32","2,20","0,052"
11,1,TEBESSA,"3,09","2,97","0,039",EL TARF,"2,23","2,11","0,054"
