page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7
8,1,,Âge,,,,,
8,1,,65-84 ans,,85-89 ans,,90 ans et plus,
8,1,,Présence d’un diplôme d’études universitaires,,,,,
8,1,Nombre de proches survivants,Avec,Sans,Avec,Sans,Avec,Sans
8,1,"trois, conjoint âgé de moins de 75 ans",1,6,,,,
8,1,"trois, conjoint âgé de 75 ans ou plus",2,7,,,,
8,1,deux,3,. . .,,,,
8,1,un seul,4,,,,,
8,1,Aucun,5,,,,,
9,1,Ménages privés,,,,,,,Institutions de santé,,,,,
9,1,2011,,2031,,2051,,Âge,2011,,2031,,2051,
9,1,1 614 511,"(32,2)",2 554 788,"(27,2)",2 704 844,"(23,9)",65-69 ans,7 796,"(3,5)",14 466,"(3,0)",18 632,"(1,9)"
9,1,1 185 886,"(23,7)",2 443 789,"(26,0)",2 443 198,"(21,6)",70-74 ans,13 031,"(5,9)",30 143,"(6,3)",34 027,"(3,5)"
9,1,902 514,"(18,0)",1 911 629,"(20,4)",2 107 393,"(18,6)",75-79 ans,24 035,"(10,8)",56 571,"(11,8)",72 078,"(7,5)"
9,1,682 548,"(13,6)",1 330 510,"(14,2)",1 758 802,"(15,5)",80-84 ans,45 228,"(20,4)",97 408,"(20,3)",145 958,"(15,2)"
9,1,400 727,"(8,0)",745 031,"(7,9)",1 310 963,"(11,6)",85-89 ans,57 612,"(26,0)",126 820,"(26,4)",252 738,"(26,6)"
9,1,174 628,"(3,5)",299 557,"(3,2)",730 103,"(6,5)",90-94 ans,51 673,"(23,3)",99 266,"(20,7)",277 477,"(28,8)"
9,1,42 862,"(0,9)",82 326,"(0,9)",222 441,"(2,0)",95-99 ans,19 420,"(8,8)",45 679,"(9,5)",134 222,"(13,9)"
9,1,6 577,"(0,1)",15 408,"(0,2)",40 276,"(0,4)",100 ans et plus,3 068,"(1,4)",10 160,"(2,1)",27 835,"(2,9)"
9,1,,,,,,,Niveau de scolarité,,,,,,
