page,table_id,col_1,col_2,col_3,col_4
11,1,,Langue initiale,Langue d’identification,Langue habituelle
11,1,Catalan,"31,6 %","37,2 %","35,6 %"
11,1,Espagnol,"55,0 %","46,5 %","45,9 %"
11,1,Toutes les deux,"3,8 %","8,8 %","11,9 %"
11,1,Arabe,"2,6 %","2,4 %","1,9 %"
11,1,Aranais,"0,1 %","0,0 %","0,0 %"
11,1,Roumain,"0,9 %","0,8 %","0,5 %"
11,1,Galicien,"0,6 %","0,1 %",---
11,1,Français,"0,5 %","0,2 %","0,2 %"
11,1,Portugais,"0,4 %","0,3 %",---
11,1,Russe,"0,3 %",---,---
11,1,Anglais,"0,4 %",---,---
11,1,Autres langues,"2,4 %","1,8 %","1,1 %"
11,1,Autres combinaisons,"0,5 %","0,7 %","1,7 %"
14,1,"seuqitsiugnil
segasU","enucua esnopér
)01",---,"4,0","2,1",---,"2,1","8,0","5,1","5,1","6,0","9,1"
14,1,,"snosianibmoc
seuqitsiugnil
sertua’d
snad
)9","4,0","6,0","1,0",---,"6,0","1,0","0,0","0,0","0,0",---
14,1,,"longapse snad sertua’d seugnal
ne te
)8","7,1","2,3","9,0",---,"2,2","8,0","3,0",---,---,"3,1"
14,1,,"nalatac snad sertua’d seugnal
ne te
)7","3,0","2,0","0,0",---,---,"0,0",---,"0,0",---,---
14,1,,"tnemelues
eugnal
snad enu ertua
)6","5,5","7,2","4,0",---,"0,1","2,0",---,"0,0","1,0","2,4"
14,1,,"tnemelue longapse
ne
s
)5","6,24","9,33","2,04","0,91","1,23","0,63","4,93","2,73","9,04","9,25"
14,1,,"longapse
nalatac
tôtulp ne’uq
ne
)4","0,6","0,9","6,8","7,7","7,9","5,7","5,9","4,5","1,5","0,4"
14,1,,"seugnal
snad xued
sel
)3","3,8","8,61","5,61","1,91","3,91","9,41","5,51","8,01","6,11","9,6"
14,1,,"longapse
nalatac
tôtulp ne’uq
ne
)2","6,3","8,01","5,9","3,51","5,01","0,11","9,9","3,7","2,7","3,3"
14,1,,"tnemelues nalatac
ne
)1","6,13","5,22","7,22","4,33","0,32","7,82","9,32","6,73","4,43","2,52"
14,1,"egasu’d
seniamoD",,"sennosrep
el
snad reyof
sel
tnaviv emêm
ceva
)a","sima
sel
ceva
)b","snisiov
sel
ceva
)c","sertua’d
stnaiduté
ceva
)d","seugèlloc
liavart
sel
ceva
ed
)e","titep
ecremmoc
el
snad
)f","sednarg
sel secafrus
snad
)g","seuqnab
sessiac engrapé’d
sel
snad
te
)h","lennosrep
el lacidém
ceva
)i","sellennosrep
sed
regidér
ruop seton
)j"
17,1,"euqitsiugnil
egasU","enucua esnopér
)01","5,0","4,1","1,3","7,3","6,0"
17,1,,"snosianibmoc
seuqitsiugnil
sertua’d
snad
)9",---,---,---,---,"5,0"
17,1,,"longapse snad sertua’d seugnal
ne te
)8","8,0","9,0","4,0",---,"6,1"
17,1,,"nalatac snad sertua’d seugnal
ne te
)7",---,---,---,---,"3,0"
