page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
8,1,"distance par rapport à la ville
la plus près (km)","45,9","32,9","37,1","29,6","27,8","27,8","37,9","29,0",–,,,,,,,
9,1,"Taux de croissance de la population
âgée de 0-24 ans entre 1986 et 2016",< - 75 %,"- 50
à 74,9 %","- 25
à 49,0 %","-0,1 à
24,9 %",> 0 %,"Ensemble
des petites
localités","Ensemble
des localités
du Québec",,,,,,,,,
9,1,nombre de localités,31,83,64,11,12,201a,,,,,,,,,,
9,1,Variation des effectifs de population,,,,,,,,,,,,,,,,
9,1,Effectif moyen des localités (2016),210,318,360,367,314,314,7 937,,,,,,,,,
9,1,"Croissance de l’effectif de la population,
1986-2016",- 5 343,- 8 375,- 1 801,818,1 801,-12 692,1 631 900,,,,,,,,,
9,1,"Croissance, en %, de la population,
1986-2016","- 45,1","- 24,6","- 7,4","25,5","108,6","-16,4","25,0",,,,,,,,,
9,1,"nombre de localités en décroissance
démographique continue depuis 1986",12,14,4,0,0,28,98,,,,,,,,,
9,1,"Croissance de l’effectif des 0-24 ans,
1986-2016",-4 040,- 8 690,- 4 180,- 240,490,-16 690,403 110,,,,,,,,,
9,1,"Croissance, en %, de l’effectif des 0-24
ans, 1986-2016","- 80,2","- 61,3","- 41,5","- 18,8","67,6","-52,9","21,7",,,,,,,,,
9,1,"Croissance de l’effectif des 65 ans et
plus, 1986-2016",855,2 625,2 130,430,380,-6 310,1 013 620,,,,,,,,,
9,1,Variables socio- économiques,,,,,,,,,,,,,,,,
9,1,Taux de migration pendulaire (2016),"74,6","81,7","88,9","84,7","60,2","80,9","47,8",,,,,,,,,
9,1,Taux d’activité (2016),"46,8","55,5","60,0","58,4","64,3","55,2","64,1",,,,,,,,,
9,1,Taux de chômage (2016),"19,2","11,6","8,6","5,5","12,3","10,9","7,2",,,,,,,,,
9,1,"% des travailleurs affectés au secteur
primaire (2016)","15,9","17,5","18,8","10,9","4,5","14,5","2,5",,,,,,,,,
9,1,"% des travailleurs affectés au secteur
secondaire (2016)","22,1","24,0","20,9","25,2","11,6","22,8","17,1",,,,,,,,,
