page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
5,1,"Groupes
d’âge",Burkina Faso,,,,Bénin,Ghana,Guinée,Mali,Sénégal
5,1,,1993a,1996b,2003a,2004c,2001a,2003a,2005a,2001a,2005a
5,1,0-19 ans,"59,1","58,4","58,2","57,3","57,2","54,1","57,3","58,3","55,5"
5,1,(0-14),"(49,6)","(47,9)","(47,7)","(47,1)","(48,4)","(44,4)","(48,4)","(50,1)","(44,5)"
5,1,[12-19],"[18,0]",—,"[18,8]","[18,0]","[22,8]","[24,4]","[23,8]","[22,8]","[24,3]"
5,1,20-64 ans,"36,9","37,4","38,0","38,7","38,7","41,0","38,1","38,1","40,1"
5,1,65 ans et plus,"3,8","4,0","3,8","3,9","4,0","4,8","4,5","3,5","4,3"
5,1,Non déclarés,"0,2","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1"
5,1,Total,"100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0"
11,1,Environnement familial,Enfants (%) [EDS 1993 (n = 15867)],,,,,,,,
11,1,,Groupes d’âge (ans),,,Sexe,,"Milieu
de résidence",,"Ensem-
ble",
11,1,,0-5,6-11,12-14,Garçon,Fille,Urbain,Rural,,
11,1,Type de ménage de résidence,,,,,,,,,
11,1,Père et mère biologiques,"87,2","73,4","68,4","79,7","77,1","68,9","80,2","78,4",
11,1,"(Père ou mère, CM)","(81,5)","(70,9)","(66,8)","(76,0)","(73,4)","(65,3)","(76,5)","(74,7)",
11,1,"(Père et mère, non CM)","(5,7)","(2,5)","(1,6)","(3,7)","(3,7)","(3,6)","(3,7)","(3,7)",
11,1,Mère seule,"7,1","6,6","7,1","7,1","6,7","11,2","6,1","6,9",
11,1,"(Mère, CM)","(1,9)","(2,4)","(2,8)","(2,4)","(2,1)","(4,8)","(1,8)","(2,2)",
11,1,"(Mère, non CM)","(5,2)","(4,2)","(4,3)","(4,7)","(4,6)","(6,4)","(4,3)","(4,7)",
11,1,Père seul,"1,9","6,0","6,6","4,6","4,1","5,1","4,2","4,3",
11,1,"(Père, CM)","(1,7)","(5,6)","(6,3)","(4,3)","(3,9)","(4,5)","(4,0)","(4,0)",
11,1,"(Père, non CM)","(0,2)","(0,4)","(0,3)","(0,3)","(0,2)","(0,6)","(0,2)","(0,3)",
11,1,Frère ou sœur,"0,1","0,7","1,7","0,7","0,5","1,0","0,5","0,6",
11,1,Grands-parents,"2,1","5,1","3,7","3,2","4,0","3,1","3,6","3,6",
11,1,Apparenté,"1,6","7,3","10,9","4,3","6,8","8,7","4,9","5,5",
11,1,Non-apparenté,"0,1","1,0","1,7","0,6","0,9","2,0","0,5","0,7",
11,1,,"p < 0,001",,,"p < 0,001",,"p < 0,001",,,
11,1,Type d’union du chef de ménage,,,,,,,,,
11,1,Sans union,"3,7","5,3","6,8","4,8","4,9","11,3","3,7","4,9",
11,1,Monogame,"46,3","43,0","43,1","44,3","44,5","59,8","41,6","44,4",
11,1,Polygame,"50,0","51,8","50,1","50,9","50,6","28,9","54,7","50,7",
11,1,,"p < 0,001",,,non sign.,,"p < 0,001",,,
11,1,Survie des parents,,,,,,,,,
11,1,Deux parents en vie,"96,4","90,3","86,3","92,2","92,2","90,7","92,5","92,2",
11,1,Père décédé et mère en vie,"2,4","5,5","7,4","4,6","4,5","5,8","4,3","4,5",
11,1,Mère décédée et père en vie,"0,8","3,0","3,6","2,3","2,1","2,0","2,2","2,2",
11,1,Deux parents décédés,"0,3","1,2","2,4","0,9","1,1","1,4","0,9","1,0",
11,1,Ne sait pas/Non déclarés,"0,0","0,1","0,2","0,0","0,1","0,1","0,1","0,1",
11,1,,"p < 0,001",,,non sign.,,"p < 0,001",,,
11,1,Nombre de personnes de moins de 20 ans par adulte dans le ménage,,,,,,,,,
11,1,0 à 1,"21,7","14,9","17,0","17,9","18,4","22,1","17,5","18,2",
11,1,De 1 à 2,"44,9","46,2","43,3","44,1","46,2","45,7","45,0","45,1",
11,1,Plus de 2,"33,4","38,9","39,7","38,0","35,4","32,2","37,5","36,7",
11,1,,"p < 0,001",,,"p < 0,01",,"p < 0,001",,,
12,1,Cohabitation avec des grands-parents,,,,,,,,,
12,1,Non,"74,0","71,0","69,6","72,3","71,7","71,0","72,2","72,0",
12,1,Oui,"26,0","29,0","30,5","27,7","28,3","29,1","27,8","28,0",
12,1,,"p < 0,001",,,Non sign.,,"p < 0,10",,,
12,2,Environnement familial,"Enfants (%), [EDS 2003 (n = 28351)]",,,,,,,,
12,2,,Groupes d’âge (ans),,,Sexe,,"Milieu
de résidence",,"Ensem-
ble",
12,2,,0-5,6-11,12-14,Garçon,Fille,Urbain,Rural,,
12,2,Type de ménage de résidence,,,,,,,,,
12,2,Père et mère biologiques,"85,4","74,5","66,3","78,1","77,1","65,7","79,5","77,6",
12,2,"(Père ou mère, CM)","(79,3)","(72,0)","(65,1)","(74,2)","(73,4)","(60,3)","(76,0)","(73,8)",
12,2,"(Père et mère, non CM)","(6,1)","(2,5)","(1,2)","(3,9)","(3,7)","(5,4)","(3,5)","(3,8)",
12,2,Mère seule,"9,7","7,3","8,3","8,5","8,4","14,3","7,5","8,5",
12,2,"(Mère, CM)","(3,3)","(3,1)","(4,2)","(3,4)","(3,2)","(6,6)","(2,8)","(3,3)",
12,2,"(Mère, non CM)","(6,4)","(4,2)","(4,1)","(5,1)","(5,2)","(7,7)","(4,7)","(5,2)",
12,2,Père seul,"1,9","6,7","9,0","5,6","4,6","4,5","5,2","5,1",
12,2,"(Père, CM)","(1,6)","(6,2)","(8,3)","(5,1)","(4,2)","(3,8)","(4,8)","(4,6)",
12,2,"(Père, non CM)","(0,3)","(0,5)","(0,7)","(0,5)","(0,4)","(0,7)","(0,4)","(0,5)",
12,2,Frère ou sœur,"0,1","0,8","1,7","0,7","0,6","1,0","0,6","0,6",
12,2,Grands-parents,"1,6","3,9","2,9","2,4","3,1","4,1","2,5","2,8",
12,2,Apparenté,"1,1","5,8","8,8","4,1","4,6","7,9","3,8","4,4",
12,2,Non-apparenté,"0,3","1,1","2,9","0,7","1,5","2,5","0,9","1,1",
12,2,,"p < 0,001",,,"p < 0,001",,"p < 0,001",,,
12,2,Type d’union du chef de ménage,,,,,,,,,
12,2,Sans union,"5,9","6,8","10,0","6,9","7,0","16,1","5,5","7,0",
12,2,Monogame,"47,0","44,6","42,4","45,1","45,4","57,4","43,2","45,2",
12,2,Polygame,"47,1","48,6","47,7","48,0","47,7","26,5","51,3","47,8",
12,2,,"p < 0,001",,,Non sign.,,"p < 0,001",,,
12,2,Survie des parents,,,,,,,,,
12,2,Deux parents en vie,"96,7","91,0","85,6","92,1","92,7","87,4","93,2","92,4",
12,2,Père décédé et mère en vie,"2,3","5,3","8,2","4,7","4,4","8,3","3,9","4,5",
12,2,Mère décédée et père en vie,"0,8","2,7","3,9","2,3","1,9","2,3","2,1","2,1",
13,1,Deux parents décédés,"0,2","0,9","1,7","0,7","0,8","1,5","0,6","0,7",
13,1,Ne sait pas/Non déclarés,"0,0","0,2","0,6","0,2","0,2","0,6","0,1","0,2",
13,1,,"p < 0,001",,,Non sign.,,"p < 0,001",,,
13,1,Nombre de personnes de moins de 20 ans par adulte dans le ménage,,,,,,,,,
13,1,0 à 1,"22,6","16,3","17,4","18,5","19,7","33,0","16,8","19,1",
13,1,Plus de 1 à 2,"46,3","47,1","43,4","45,8","46,5","46,2","46,1","46,1",
13,1,Plus de 2,"31,1","36,6","39,2","35,7","33,8","20,8","37,1","34,8",
13,1,,"p < 0,001",,,"p < 0,10",,"p < 0,001",,,
13,1,Cohabitation avec des grands-parents,,,,,,,,,
13,1,Non,"73,5","72,4","72,3","73,0","72,6","68,7","73,5","72,8",
13,1,Oui,"26,5","27,7","27,7","27,0","27,4","31,3","26,5","27,2",
13,1,,Non sign.,,,Non sign.,,"p < 0,001",,,
13,2,Environnement familial,"Adolescents ( %), [ENA 2004 (n=5636)]",,,,,,,,
