directory,metric,authors,bibliographies,content_tables,figures,id,keywords,pagination,rights,section_titles,tables,themes
ae49,soft_precision,0.0,0.7885252525252523,,0.0,0.0,,0.0,0.0,0.7647171717171718,0.012249999999999999,0.0
ae49,soft_recall,0.0,0.7553434343434342,,0.0,0.0,,0.0,0.0,0.7027575757575757,0.006617647058823529,0.0
ae49,soft_avg_similarity,0.0,0.7090707070707069,,0.0,0.0,,0.0,0.0,0.6785858585858585,0.0,0.0
ae49,levenshtein_precision,0.0,0.8179595959595959,,0.0,0.0,,0.0,0.0,0.7647171717171718,0.012249999999999999,0.0
ae49,levenshtein_recall,0.0,0.784727272727273,,0.0,0.0,,0.0,0.0,0.7027575757575757,0.006617647058823529,0.0
ae49,levenshtein_avg_similarity,0.0,0.7379191919191918,,0.0,0.0,,0.0,0.0,0.6785959595959595,0.0,0.0
cqd27,soft_precision,0.0,0.7236300000000001,,0.0,0.0,0.0,0.0,0.0,0.7205499999999999,0.07126436781609195,0.0
cqd27,soft_recall,0.0,0.7096400000000003,,0.0,0.0,0.0,0.0,0.0,0.8056,0.02552873563218391,0.0
cqd27,soft_avg_similarity,0.0,0.6621600000000002,,0.0,0.0,0.0,0.0,0.0,0.7979499999999998,0.0,0.0
cqd27,levenshtein_precision,0.0,0.8009200000000001,,0.0,0.0,0.0,0.0,0.0,0.7205499999999999,0.07126436781609195,0.0
cqd27,levenshtein_recall,0.0,0.78641,,0.0,0.0,0.0,0.0,0.0,0.8056,0.02552873563218391,0.0
cqd27,levenshtein_avg_similarity,0.0,0.7380399999999999,,0.0,0.0,0.0,0.0,0.0,0.7979499999999998,0.0,0.0
haf18,soft_precision,0.0,,,0.0,0.0,,0.0,0.0,0.6143854166666666,0.0,0.0
haf18,soft_recall,0.0,,,0.0,0.0,,0.0,0.0,0.38398958333333316,0.0,0.0
haf18,soft_avg_similarity,0.0,,,0.0,0.0,,0.0,0.0,0.3780937499999999,0.0,0.0
haf18,levenshtein_precision,0.0,,,0.0,0.0,,0.0,0.0,0.6143854166666666,0.0,0.0
haf18,levenshtein_recall,0.0,,,0.0,0.0,,0.0,0.0,0.38398958333333316,0.0,0.0
haf18,levenshtein_avg_similarity,0.0,,,0.0,0.0,,0.0,0.0,0.3780937499999999,0.0,0.0
2cols,soft_precision,0.0,0.47430232558139535,0.22559090909090915,0.0,0.0,0.0,0.0,0.0,0.6933181818181819,0.2553125,0.0
2cols,soft_recall,0.0,0.42920930232558147,0.19163636363636363,0.0,0.0,0.0,0.0,0.0,0.7340681818181818,0.21090625,0.0
2cols,soft_avg_similarity,0.0,0.4112558139534885,0.18381818181818185,0.0,0.0,0.0,0.0,0.0,0.700409090909091,0.22321875000000002,0.0
2cols,levenshtein_precision,0.0,0.5199069767441861,0.5518181818181819,0.0,0.0,0.0,0.0,0.0,0.6933181818181819,0.2553125,0.0
2cols,levenshtein_recall,0.0,0.4688139534883721,0.4502272727272727,0.0,0.0,0.0,0.0,0.0,0.7340681818181818,0.21090625,0.0
2cols,levenshtein_avg_similarity,0.0,0.45011627906976737,0.4137272727272727,0.0,0.0,0.0,0.0,0.0,0.7004545454545454,0.261125,0.0
