field,strict,soft,levenshtein
title,0.0,0.811,0.811
overline,0.0,0.0,0.0
subtitle,0.0,0.0,0.0
abstract,0.0,0.996,0.996
language,0.0,1.0,1.0
date,0.0,0.0,0.0
issue_number,0.0,0.0,0.0
volume,0.0,0.0,0.0
acknowledgements,0.0,0.98,0.98
authors,0.0,0.0,0.0
editorial_team,0.0,0.0,0.0
body,0.0,0.0,0.0
tables,0.0,0.0,0.0
figures,0.0,0.0,0.0
keywords,0.889,0.889,0.889
themes,0.0,0.0,0.0
biographical_notes,0.0,0.0,0.0
id,0.0,0.0,0.0
pagination,0.0,0.0,0.0
rights,0.0,0.0,0.0
bibliographies,0.774,0.903,0.903
