field,strict,soft,levenshtein
title,0.0,1.0,1.0
overline,0.0,0.0,0.0
subtitle,0.0,0.0,0.0
abstract,0.0,0.995,0.995
language,0.0,1.0,1.0
date,0.0,0.0,0.0
issue_number,0.0,0.0,0.0
volume,0.0,0.0,0.0
acknowledgements,0.0,0.948,0.948
authors,0.0,0.0,0.0
editorial_team,0.0,0.0,0.0
body,0.0,0.667,0.667
tables,0.0,0.0,0.0
figures,0.0,0.0,0.0
keywords,0.8,1.067,1.067
themes,0.0,0.0,0.0
biographical_notes,0.0,0.0,0.0
id,0.0,0.0,0.0
pagination,0.0,0.0,0.0
rights,0.0,0.0,0.0
bibliographies,0.493,0.957,0.957
