field,strict,soft,levenshtein
title,0.0,0.553,0.553
overline,0.0,0.0,0.0
subtitle,0.0,0.0,0.0
abstract,0.0,0.992,0.993
language,0.0,1.0,1.0
date,0.0,0.0,0.0
issue_number,0.0,0.0,0.0
volume,0.0,0.0,0.0
acknowledgements,0.0,0.979,0.979
authors,0.0,0.75,0.75
editorial_team,0.0,0.0,0.0
body,0.0,0.0,0.0
tables,0.0,0.0,0.0
figures,0.0,0.0,0.0
keywords,0.87,0.957,0.957
themes,0.0,0.0,0.0
biographical_notes,0.0,0.0,0.0
id,0.5,0.5,0.5
pagination,0.0,0.0,0.0
rights,0.0,0.0,0.0
bibliographies,0.744,0.949,0.949
