page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
15,1,,"Couples
anglophones",,"Couples
francophones",,"Couples
mixtes","Autres
origines",total,
15,1,Élites et notables,16,"12,2 %",10,"7,5 %",5,1,32,"10,3 %"
15,1,Professionnels,5,"3,8 %",6,"4,5 %",3,0,14,"4,5 %"
15,1,Commerçants,31,"23,7 %",9,"6,7 %",9,2,51,"16,4 %"
15,1,Métiers et services,50,"38,2 %",79,"59,0 %",19,1,149,"47,9 %"
15,1,Cultivateurs et yeomen,3,"2,3 %",2,"1,5 %",0,0,5,"1,6 %"
15,1,Ouvriers et journaliers,7,"5,3 %",18,"13,4 %",3,1,29,"9,3 %"
15,1,Inconnus,19,"14,5 %",10,"7,5 %",2,0,31,"10,0 %"
15,1,,131,100 %,134,"100,1 %",41,5,311,"100,0 %"
18,1,,Couples,,,,,,,
18,1,,Anglophones,,Bilingues/autres,,Francophones,,total,
18,1,Veufs,7,"9,3 %",14,"56,0 %",358,"56,3 %",379,"51,5 %"
18,1,Veuves,68,"90,7 %",11,"44,0 %",278,"43,7 %",357,"48,5 %"
18,1,total,75,"100,0 %",25,"100,0 %",636,"100,0 %",736,"100,0 %"
