page,table_id,col_1,col_2,col_3
15,1,Enjeux des litiges,1880-1890 (n = 60),1920-1930 (n = 132)
15,1,Échanges marchands,"0,0 %","25,8 %"
15,1,Services professionnels,"1,7 %","0,0 %"
15,1,Immeubles,"1,7 %","3,0 %"
15,1,Contrats,"10,0 %","9,1 %"
15,1,Billets promissoires et équivalents,"60,0 %","17,4 %"
15,1,Déconfitures financières,"5,0 %","12,9 %"
15,1,Régulation étatique,"0,0 %","2,3 %"
15,1,"Dommages matériels, physiques et moraux","6,7 %","25,0 %"
15,1,Divers et enjeux inconnus,"15,0 %","4,5 %"
