page,table_id,col_1,col_2,col_3,col_4,col_5,col_6
5,1,Enjeux,Dossiers,,Enjeux,Dossiers,
5,1,,n,%,,n,%
5,1,1- Échanges marchands,23,"3,3",6- Déconfitures financières,47,"6,8"
5,1,2- Services professionnels,13,"1,9",7- Affaires familiales,47,"6,8"
5,1,3- Immeubles,69,"10,0",8- Régulation étatique,35,"5,1"
5,1,4- Contrats,49,"7,1","9- Dommages matériels,
physiques et moraux",75,"10,9"
5,1,"5- Billets promissoires
et équivalentsa",199,"28,9",10- Divers et enjeux inconnus,132,"19,2"
