page,table_id,col_1,col_2,col_3,col_4
7,1,Variables,,N,Moyenne*
7,1,Approche de l’article,,,
7,1,,Histoire culturelle,501,"0,307"
7,1,,Histoire politique,501,"0,130"
7,1,,Histoire sociale,501,"0,363"
7,1,,"Historiographie/Épistémologie/
Méthodologie",501,"0,124"
7,1,,Histoire économique,501,"0,076"
7,1,Auteur.e.s,,,
7,1,,Nombre d’auteur.e.s par article,501,"1,182"
7,1,,Articles avec au moins un auteur,501,"0,701"
7,1,,Articles avec au moins une auteure,501,"0,361"
7,1,Pays d’affiliation des auteur.e.s par article,,,
7,1,,Canada,501,"0,152"
7,1,,Québec,501,"0,756"
7,1,,Europe,501,"0,066"
7,1,,Autre,501,"0,048"
7,1,Statut des auteur.e.s par article (2005 à 2018)**,,,
7,1,,Professeur.e,163,"0,509"
7,1,,Étudiant.e,163,"0,313"
7,1,,Autre,163,"0,135"
7,1,,Chercheur.e autonome,163,"0,067"
7,1,,Chercheur.e postdoctoral.e,163,"0,037"
7,1,Espace de l’analyse,,,
7,1,,Québec,501,"0,749"
7,1,,Montréal,501,"0,144"
7,1,,Canada,501,"0,846"
7,1,,Canada hors Québec,501,"0,098"
7,1,,Hors Canada (Autre),501,"0,154"
14,1,Volume,"Histoire
culturelle","Histoire
politique","Histoire
sociale","Histoire
économique",Autres
14,1,36 à 41 : 1982-1988,"12,4","11,3","45,4","18,6","12,4"
14,1,42 à 47 : 1988-1994,"21,8","9,2","50,6","9,2","9,2"
14,1,48 à 53 : 1994-2000,"25,3","13,9","36,7","6,3","17,7"
14,1,54 à 59 : 2000-2006,"39,1","11,5","29,9","1,1","18,4"
14,1,60 à 65 : 2006-2012,"42,9","18,2","29,9","3,9","5,2"
14,1,66 à 71 : 2012-2018,"48,6","14,9","21,6","4,1","10,8"
14,1,Moyenne,"31,7","13,2","35,7","7,2","12,3"
33,1,Institution,N,%,Province
33,2,Total,480*,100,
34,1,N,%,% cumul.,
34,2,501,100,,
35,1,,,"Affiliation
montréalaise",,"Affiliation québécoise
(incluant Montréal)",,"Affiliation québécoise
(excluant Montréal)",
35,1,,,Coef.,sig.,Coef.,sig.,Coef.,sig.
35,1,"Espace
d’analyse",Montréal,"0,1914",***,"0,0601",,"-0,1435",**
35,1,,Québec,"0,0894",*,"0,3357",***,"0,2103",***
35,1,,Canada,"0,0732",,"0,2353",***,"0,1365",**
35,1,,Hors-Québec,"-0,0417",,"-0,2046",***,"-0,1414",**
