page,table_id,col_1,col_2,col_3,col_4,col_5
8,1,,1800-1820,,1880-1900,
8,1,,"Nombre
d’inventaires",%,"Nombre
d’inventaires",%
8,1,Aucune division,60,"63,8",22,"40,0"
8,1,1-2,17,"18,0",12,"21,8"
8,1,3-4,15,"16,0",7,"12,7"
8,1,5-6,2,"2,1",4,"7,3"
8,1,7-8,-,-,7,"12,7"
8,1,9 et plus,-,-,3,"5,5"
8,1,Total,94,"99,9a",55,100
10,1,,Aucun,1,2,3 et plus,Total
10,1,Nombre de poêles,,,,,
10,1,1800-1820,"27
(22,7%)","70
(58,8%)","16
(13,4%)","6
(5,0%)","119
(99,9%)a"
10,1,1880-1900,"22
(26,2%)","41
(48,8%)","13
(15,5%)","8
(9,5%)","84
(100%)"
10,1,Nombre de luminaires,,,,,
10,1,1800-1820,"35
(29,4%)","34
(28,6%)","24
(20,2%)","26
(21,9%)","119
(100,1%)a"
10,1,1880-1900,"22
(26,2%)","10
(11,9%)","10
(11,9%)","42
(50,0%)","84
(100%)"
12,1,,"1800-1820
(119 inventaires)",,,"1880-1900
(84 inventaires)",,
12,1,,"Nombre
d’inventaires","%
des
inventaires","Quantité
moyenne
lorsque
présent","Nombre
d’inventaires","%
des
inventaires","Quantité
moyenne
lorsque
présent"
12,1,Meubles fonctionnels,,,,,,
12,1,Armoirea,29,"24,4","1,6",47,"60,0","1,8"
12,1,Buffet,51,"42,9","1,2",25,"29,8","1,3"
12,1,Coffre,95,"79,8","2,0",24,"28,6","1,5"
12,1,Table,100,"84,0","2,2",68,"81,0","3,2"
12,1,Chaise,103,"86,6","8,0",71,"84,5","13,9"
12,1,Meubles d’apparat,,,,,,
12,1,Horlogeb,6,"5,0","1,3",54,"64,3","1,4"
12,1,Sofa,17,"14,3","1,2",23,"27,4","1,6"
12,1,Canapé,-,-,-,19,"22,6","1,2"
12,1,Commode,6,"5,0","1,3",31,"36,9","1,2"
12,1,Chiffonnier,-,-,-,22,"26,2","1,3"
12,1,Objets de luxe,,,,,,
12,1,Argenterie,12,"10,1","14,6",6,"7,1","26,6"
18,1,,"1800-1820
(94 inventaires)",,,"1880-1900
(55 inventaires)",,
18,1,,"Nombre
d’inventaires","%
des
inventaires","Quantité
moyenne
lorsque
présenta","Nombre
d’inventaires","%
des
inventaires","Quantité
moyenne
lorsque
présenta"
18,1,"Bœufsb /
Vaches",35 / 81,"37,2 / 86,2","1,7 / 2,6",14 / 42,"25,5 / 76,4","1,9 / 3,5"
18,1,"Chevaux /
Juments",41 / 58,"43,6 / 61,7","1,1 / 1,3",19 / 25,"34,5 / 45,5","1,5 / 1,4"
18,1,"Moutons /
Brebis",43 / 39,"45,7 / 41,5","7,4 / 5,5",21 / 20,"38,2 / 36,4","6,8 / 5,6"
18,1,"Porcs /
Truies",66 / 22,"70,2 / 23,4","4,0 / 1,4",31 / 5,"56,4 / 9,1","3,2 / 1,2"
21,1,,1800-1820a,,1880-1900b,
21,1,"Valeur des dettes
actives","Nombre
d’inventaires",%,"Nombre
d’inventaires",%
21,1,Aucune dette active,33,"35,5",14,"25,5"
21,1,1-299,50,"53,8",24,"43,6"
21,1,300-599,4,"4,3",4,"7,3"
21,1,600-899,2,"2,2",2,"3,6"
21,1,900-1 299,3,"3,2",5,"9,1"
21,1,1 300 et plus,1,"1,1",6,"10,9"
21,1,Total,93c,"100,1d",55,100
24,1,,1800-1820a,,1880-1900b,
24,1,Valeur des dettes passives,"Nombre
d’inventaires",%,"Nombre
d’inventaires",%
24,1,Aucune dette passive,7,"7,4",3,"5,5"
24,1,1-499,50,"53,2",29,"52,7"
24,1,500-999,20,"21,3",13,"23,6"
24,1,1 000-1 499,7,"7,4",5,"9,1"
24,1,1 500-1 999,6,"6,4",2,"3,6"
24,1,2 000 et plus,4,"4,3",3,"5,5"
24,1,Total,94,"100,1c",55,100
28,1,,1800-1820,,1880-1900,
28,1,Valeur des actifs mobiliersa,"Nombre
d’inventaires",%,"Nombre
d’inventaires",%
28,1,0-500,22,"23,4",6,"10,9"
28,1,501-1 000,25,"26,6",6,"10,9"
28,1,1 001-2 000,26,"27,7",21,"38,2"
28,1,2 001-3 000,16,"17,0",5,"9,1"
28,1,3 001-4 000,4,"4,3",7,"12,7"
28,1,4 001-5 000,1,"1,1",4,"7,3"
28,1,5 001 et plus,-,-,6,"10,9"
28,1,Total,94,"100,1b",55,100
