page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7
13,1,,"Ouest
du Mississippi
(Ouest)",,"Du Mississipi
aux Appalaches
(Centre)",,"Est des
Appalaches (Est)",
13,1,,"CF
R","CF
D","CF
R","CF
D","CF
R","CF
D"
13,1,Âge,,,,,,
13,1,0-14,22,23,25,27,32,34
13,1,15-29,27,28,28,28,29,29
13,1,30-44,24,24,21,21,21,20
13,1,45-59,18,17,16,15,12,12
13,1,60-74,7,7,7,7,5,4
13,1,75+,2,1,2,2,1,1
13,1,Statut matrimonial (15 ans +),,,,,,
13,1,Célibataire,41,41,37,38,38,39
13,1,Marié,53,53,57,57,57,57
13,1,Veuf,5,5,5,4,5,4
13,1,Divorcé,1,1,1,1,0,0
13,1,Génération,,,,,,
13,1,1,35,35,33,34,44,45
13,1,2,65,65,67,66,56,55
13,1,% Sachant parler anglais (10 ans +),,,,,,
13,1,Oui,99,98,98,98,89,88
13,1,% Sachant lire et écrire (10 ans +),,,,,,
13,1,Oui,94,94,90,91,87,87
13,1,% Vivant en milieu urbain,,,,,,
13,1,Urbain,42,40,53,53,75,78
13,1,Nombre de cas,58 792,33 582,81 648,44 056,351 306,214 143
13,1,"Rapport de
masculinité",119,144,108,121,101,104
14,1,,"Ouest du
Mississippi
(Ouest)",,"Entre
Appalaches
et Mississippi
(Centre)",,"Est des
Appalaches
(Est)",
14,1,,"CF
R","CF
D","CF
R","CF
D","CF
R","CF
D"
14,1,Âge,,,,,,
14,1,0-14,26,33,27,33,32,35
14,1,15-29,31,31,30,29,31,31
14,1,30-44,23,18,22,18,20,18
14,1,45-59,14,12,14,13,12,11
14,1,60-74,5,5,6,6,4,4
14,1,75+,1,1,1,1,1,1
14,1,Statut matrimonial (15 ans +),,,,,,
14,1,Célibataire,27,37,28,36,34,38
14,1,Mariée,64,55,62,56,58,55
14,1,Veuve,8,7,9,8,8,7
14,1,Divorcée,1,1,1,0,0,0
14,1,Génération,,,,,,
14,1,1,26,28,28,30,44,45
14,1,2,74,72,72,70,56,55
14,1,% Sachant parler anglais (10 ans +),,,,,,
14,1,Oui,96,94,96,94,79,76
14,1,% Sachant lire et écrire (10 ans +),,,,,,
14,1,Oui,96,94,94,93,89,90
14,1,% Vivant en milieu urbain,,,,,,
14,1,Urbain,46,42,57,55,77,80
14,1,Nombre de cas,49 222,23 390,75 619,36 382,349 495,206 631
