page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
23,2,"Valeur moyenne
en livres ancien
cours",211,115,401,329,42,-,308,1 406,991
23,2,"Valeur moyenne
en % des actifs
mobiliers","15,0","8,2","28,5","23,4","3,0",-,"21,9","100,0","70,5"
25,1,,Catégorie selon la valeur en livres1 des actifs mobiliers,,,,,,,
25,1,,Carence2,"Moins
de 250 #","De 250 à
499 #","De 500 à
999 #","De 1000
à 1999 #","2000 #
et plus",Total,
25,1,Journaliers,12,23,6,7,-,-,48,
25,1,Cultivateurs-journ.,-,7,8,3,3,1,22,
25,1,Cordonnier-journ.,-,-,1,-,-,-,1,
25,1,Mendiant-journ.,1,-,-,-,-,-,1,
25,1,Total,13,30,15,10,3,1,72,
25,1,% sur 72 cas,"18,0","41,7","20,8","13,9","4,2","1,4","100,0",
25,2,,Catégorie selon la valeur en livres1 des actifs mobiliers,,,,,,,
25,2,,Carence2,"Moins
de 250 #","De 250
à 499 #","De 500
à 999 #","De 1000
à 1999 #","De 2000 #
à 3999 #","4000 #
et plus",Total
25,2,Nombre,19,97,135,167,145,101,41,705
25,2,"% sur
705 cas","2,7","13,8","19,1","23,7","20,6","14,3","5,8","100,0"
