page,table_id,col_1,col_2
7,1,Décennie,Nombre de baux
7,1,1720-1729,119
7,1,1730-1739,123
7,1,1740-1749,153
7,1,1750-1759,120
7,1,1760-1769,94
7,1,1770-1779,73
7,1,Total,682
9,1,Catégorie professionnelle,Nombre de bailleurs,Nombre de preneurs
9,1,Officier civil et militaire,58,4
9,1,Marchand et bourgeois,123,11
9,1,Seigneur,22,–
9,1,Communauté religieuse et clergé,38,–
9,1,Employé subalterne de l’administration,3,–
9,1,Artisan et petit commerçant,38,35
9,1,« Laboureur »,–,107
9,1,Paysan (i.e. « Habitants),120,308
9,1,Journalier,9,6
9,1,Autre,8,3
9,1,Inconnu,355,257
9,1,Total,774,731
11,1,Nature des biens,"Ville de Montréal
et faubourgs","Montréal
rural",Île Jésus,Chambly,Total
11,1,"Exploitation complète
(maison, terre
labourable, bâtiments)",149,216,72,27,464
11,1,"Terre sans bâtiment
(sauf une grange)",46,79,40,6,171
11,1,"Parcelle faisant partie
d’un plus grand terrain",3,6,1,–,10
11,1,Pâturage,1,–,-,–,1
11,1,Prairie,3,14,-,–,17
11,1,"Domaine seigneurial
et arrière-fief",1,16,2,–,19
11,1,Total,203,331,115,33,682
12,1,Date,9 avril 1754,8 octobre 1753,9 avril 1754
12,1,"Profession
du bailleur",Négociant,"« Habitant » (terre louée
par une veuve)",« Habitant »
12,1,"Superficie de la terre
(arpents)",135,60,81
12,1,"Superficie en terre
labourable",71,30,15 à 20
12,1,Bœufs,"2 bœufs de 8 ans 150#
2 bœufs de 4 ans 120#
2 bœufs de 4 ans 100#","2 bœufs de 9 ans 145#
2 taureaux, 18 mois 48#",2 jeunes bœufs 60#
12,1,Vaches,"1 vache de 8 ans 40#
1 vache de 3 ans 40#
1 vache de 9 ans 30#
1 vache de 4 ans 30#
1 vache de 3 ans 35#",1 vache de 4 ans 30#,2 vaches de 7 ans 70#
12,1,Cheval,1 jument de 8 ans 40#,1 jument de 6 ans 35#,1 jument de 6 ans 0#
12,1,Moutons,"8 grands moutons
6 agneaux de l’année",2 moutons 10#,
12,1,Volaille,"12 poules, 1 coq","6 poules, 1 coq",
13,1,"Superficie/
Décennie",1-19,20-39,40-59,60-79,80-99,"100-
119","120-
139","140-
149","Plus
de 150",Total
13,1,1720-29,4,5,9,4,1,,,,1,24
13,1,1730-39,7,6,2,2,2,,,,,19
13,1,1740-49,,4,1,4,,1,,,,10
13,1,1750-59,1,3,2,1,,2,,,,9
13,1,1760-69,,2,2,1,1,,,,,6
13,1,1770-79,,2,3,3,2,,,,1,11
13,1,Total,12,22,19,15,6,3,,,2,79
15,1,,Bail 1726,Aveu 1731,Bail 1743,Bail 1753,Bail 1754,"Bail
1757"
15,1,"Superficie
en valeur","60 arpents
(terre labourable,
prairie, pâturage)","54 arpents de
terre labourable
8 arpents de
prairie",,,,
15,1,Verger,1,,,,,
15,1,Jardin,,,1,1,1,1
15,1,Maison,1,1,1,1,1,1
15,1,Grange,1,1,1,1,1,1
15,1,Étable,2,1,1,1 ou 2,1,1
15,1,Écurie,,,1,1,1,1
15,1,Poulailler,1,,,,1,
15,1,Bergerie,,,1,1,1,1
15,1,Laiterie,,,1,,,
15,1,Bœufs,,,"4 bœufs 230#
4 taureaux 74#",,"7 bœufs
de tire
1 taureau,
3 ans",
15,1,Vaches,,,"6 vaches 168#
2 taures 24#",,9 vaches,
15,1,Chevaux,,,1 cheval 30#,,"1 jument
1 cheval
1 pouliche",
15,1,Moutons,,,"25 moutons
150#",,"29 adultes
9 agneaux",
15,1,Cochons,,,"8 grands 18 mois
8 petits 3 mois","12 à
engraisser",,
15,1,Volaille,60 poules,,"3 dindes, 1 coq
4 oies, 1 jar
6 cannes, 1
canard
50 poules, 1 coq",,"6 dindes,
1 coq
3 oies,
1 jar
3 canes,
1 jar
54 poules,
1 coq",
16,1,Date et notaire,"BAnQM, M.not. Lepailleur,
4 avril 1720","BAnQM, M. not. David,
8 novembre 1723"
16,1,Superficie,?,231 arpents
16,1,Bailleur,"Anne-Marie Chapaux, veuve
de Jean Soumande, marchand
de Montréal","Anne-Marie Chapaux, veuve
de Jean Soumande, marchand
de Montréal"
16,1,Preneur,"Richard Ossant, natif de
L’Ange-Gardien près de Québec,
40 ans, dit « laboureur », marié
depuis 1703.","Étienne Bré, natif du Dauphiné,
demeurant à Montréal, 29 ans,
se marie en février 1724."
16,1,Cheptel vif et mort,Pas de mention,Pas de mention
16,1,Bâtiments,Une maison,"Une maison, une grange"
16,1,Description de la terre,"14 arpents de terre en abattis
brûlés","6 arpents en guérets
6 arpents à la pioche
3,5 arpents de bois abattu"
16,1,Durée,"2 ans, avec possibilité
de renouvellement",5 ans
16,1,Paiement et conditions,"Mettre à la charrue 8 des 14
arpents en abattis brûlés
« de sorte que la charrue puisse
y passer aisément, comme il se
fait aux terres nouvellement
ouvertes ; ôter les petites
souches et quant aux autres qui
ne sont pas arrachables, il aura
soin de les piocher. »
Le preneur pourra garder
la production de ce qu’il peut
mettre en valeur.","Rendre 15 arpents en guérets, soit
rendre les 15 arpents ci-dessus en
terre labourable et les labours
effectués.
Si le preneur effectue plus de
défrichement, il lui sera payé par
le bailleur."
20,1,Nature des biens,"Biens foncier en
pleine propriété","Biens fonciers
successoraux",Total
20,1,"Exploitation complète
(maison, terre labourable,
bâtiments)",333,131,464
20,1,"Terre sans bâtiment
(sauf une grange)",101,70,171
20,1,"Parcelle faisant partie d’un
plus grand terrain",9,1,10
20,1,Pâturage,1,-,1
20,1,Prairie,11,6,17
20,1,"Domaine seigneurial
et arrière-fief",19,-,19
20,1,Total,474,208,682
22,1,Cheptel fourni,Nombre de baux
22,1,Par le bailleur,317
22,1,Par le bailleur mais non décrit,54
22,1,Par le preneur,1
22,1,Par les deux,40
22,1,Pas de mention,270
22,1,Total,682
22,2,Semence fournie,Nombre de baux
22,2,À moitié,141
22,2,"Par le bailleur, la première année, avec
remboursement de la moitié par le preneur",102
22,2,Par le bailleur sans remboursement,4
22,2,Par le bailleur,9
22,2,Par le preneur,6
22,2,Pas de mention,420
22,2,Total,682
23,1,Type de paiement,Nombre de baux
23,1,Argent,58
23,1,Argent et travail,14
23,1,Nature,490
23,1,Nature et argent,36
23,1,Nature et travail,40
23,1,"Nature, argent et travail",3
23,1,Travail,37
23,1,Inconnu,4
23,1,Total,682
28,1,Durée en mois,Nombre de baux
28,1,Moins de 12,17
28,1,12,129
28,1,24,34
28,1,36,329
28,1,48,10
