page,table_id,col_1,col_2,col_3
4,1,Ap,C1,C2
4,1,"0,30
0,17
0,05
63,4
28,1
8,4
1,3","0,20
0,26
0,07
44,8
42,4
12,9
1,3","0,50
0,37
0,09
14,9
66,4
18,7
0,9"
